證券名稱,成交股數,成交筆數,成交金額,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,最後揭示買價,最後揭示買量,最後揭示賣價,最後揭示賣量,本益比,Unnamed: 16
台泥,4861219,"2,131",135587517,28.00,28.10,27.75,27.95,+,0.25,27.90,5,27.95,98,15.70,
亞泥,2490969,"1,184",69378219,27.80,28.00,27.70,27.80,+,0.05,27.80,52,27.85,35,14.18,
嘉泥,700598,95,6665866,9.50,9.58,9.50,9.55,-,0.05,9.55,11,9.59,10,0.00,
環泥,541536,221,12051319,22.40,22.45,22.15,22.25,-,0.3,22.25,41,22.30,19,11.07,
幸福,317260,171,3191913,10.15,10.15,10.00,10.05,-,0.1,10.00,97,10.05,4,8.45,
信大,44835,20,449000,10.05,10.05,10.00,10.05,,0.0,9.98,23,10.05,5,251.25,
東泥,142500,87,2185424,15.30,15.60,15.00,15.60,,0.0,15.10,2,15.60,6,91.76,
味全,1968398,914,34773112,18.10,18.30,17.35,17.55,-,0.55,17.50,25,17.55,7,0.00,
味王,99023,52,2265506,23.25,23.30,22.75,22.90,+,0.15,22.80,3,22.95,2,14.05,
大成,1855787,839,37689710,19.95,20.60,19.90,20.15,+,0.3,20.15,57,20.20,21,23.16,
大飲,25004,19,378760,15.25,15.25,15.00,15.15,+,0.15,14.95,1,15.20,3,34.43,
卜蜂,358004,192,8266262,23.00,23.20,22.95,23.00,+,0.05,23.00,47,23.15,20,8.78,
統一,4301367,"2,374",239924769,55.70,55.90,55.60,55.60,-,0.1,55.60,270,55.70,45,21.80,
愛之味,11123681,"3,410",101943299,9.40,9.45,8.96,9.00,-,0.23,9.00,160,9.02,76,100.00,
泰山,265952,144,3172915,12.00,12.00,11.85,11.90,-,0.05,11.90,10,11.95,127,56.67,
福壽,20507,25,302298,14.80,14.80,14.60,14.80,+,0.1,14.65,2,14.80,20,37.95,
台榮,11021,24,116264,10.55,10.60,10.50,10.55,,0.0,10.55,4,10.60,9,22.45,
福懋油,146104,87,3733937,25.50,25.80,25.40,25.75,+,0.45,25.60,3,25.75,1,34.33,
佳格,1318941,905,105788980,79.20,80.90,79.20,80.10,+,0.9,80.10,2,80.20,21,23.84,
聯華,161468,111,3071706,19.00,19.10,18.95,19.05,,0.0,19.00,19,19.05,6,11.41,
聯華食,51421,48,1446471,28.20,28.35,27.90,28.25,+,0.05,27.90,2,28.25,3,11.21,
大統益,36080,37,2702680,75.30,75.30,74.80,74.80,-,0.1,74.80,12,75.20,12,10.92,
天仁,32902,20,1178040,36.00,36.00,35.60,35.80,-,0.2,35.75,1,36.20,2,17.55,
黑松,79300,105,2484517,31.70,31.70,31.15,31.25,-,0.45,31.20,31,31.35,1,19.41,
興泰,31250,16,593675,19.00,19.10,18.95,19.05,+,0.05,19.00,2,19.15,8,0.00,
宏亞,3006,7,62733,20.90,20.90,20.80,20.80,-,0.1,20.70,4,20.85,2,23.37,
綠悅-KY,227000,167,28159500,126.50,126.50,123.00,123.00,-,1.5,123.00,27,123.50,2,10.93,
台塑,3476491,"1,747",256760218,73.50,74.20,73.20,74.00,+,0.9,74.00,17,74.10,33,19.22,
南亞,3896733,"1,832",228780594,59.00,59.00,58.20,58.70,-,0.1,58.70,79,58.80,12,13.84,
台聚,1059046,382,14131402,13.50,13.50,13.25,13.30,-,0.1,13.30,3,13.35,23,19.00,
華夏,1347857,793,19912437,14.90,14.90,14.65,14.75,-,0.15,14.75,17,14.80,71,15.69,
三芳,140287,139,5528446,39.70,39.90,39.20,39.20,-,0.5,39.20,18,39.30,5,13.95,
亞聚,274259,223,4784154,17.50,17.60,17.35,17.40,-,0.1,17.40,56,17.50,43,17.58,
台達化,337018,159,2572599,7.79,7.79,7.57,7.57,-,0.12,7.57,7,7.59,3,0.00,
台苯,8441338,"2,119",144675609,17.20,17.25,16.95,17.20,+,0.2,17.15,28,17.20,459,26.46,
國喬,3880900,"1,393",62020143,16.15,16.15,15.85,15.85,-,0.3,15.85,31,15.90,27,11.83,
國喬特,0,0,0,--,--,--,--,,0.0,21.25,2,22.50,8,0.00,
聯成,2409023,789,22675852,9.30,9.49,9.30,9.43,+,0.17,9.43,21,9.44,16,471.50,
中石化,3796588,"1,169",30783389,8.18,8.25,8.06,8.09,-,0.08,8.08,17,8.09,6,13.05,
達新,11045,17,254535,23.00,23.10,23.00,23.10,-,0.1,22.90,5,23.20,3,15.40,
上曜,51000,24,496930,9.80,9.80,9.70,9.80,,0.0,9.69,1,9.80,11,0.00,
東陽,3646997,"1,913",146282275,40.10,40.50,39.80,40.00,+,0.1,39.95,12,40.00,153,22.47,
大洋,81000,52,2107400,26.45,26.45,25.85,25.95,-,0.35,25.95,2,26.00,3,324.38,
永裕,23660,20,579651,24.60,24.60,24.40,24.50,-,0.05,24.45,1,24.50,2,9.53,
地球,49006,31,555666,11.30,11.40,11.30,11.40,+,0.05,11.30,10,11.40,2,17.27,
恆大,77000,31,1609400,20.85,20.95,20.85,20.90,,0.0,20.85,58,20.90,8,20.69,
台化,2541708,"1,138",178883360,70.60,70.60,70.10,70.30,+,0.3,70.30,30,70.40,5,26.63,
再生-KY,860152,497,16031424,18.95,18.95,18.50,18.50,-,0.25,18.50,28,18.55,2,11.14,
廣華-KY,403010,321,48381690,120.00,121.50,119.00,119.00,-,1.5,119.00,43,119.50,14,13.42,
昭輝,931200,672,59190000,65.00,65.20,62.70,62.90,-,1.2,62.80,4,63.00,12,14.39,
勝悅-KY,122452,104,8058506,66.20,66.40,65.50,65.50,-,0.5,65.50,1,65.60,12,8.25,
遠東新,2870923,"1,224",74629376,26.05,26.15,25.80,26.15,+,0.25,26.10,22,26.15,45,15.66,
新纖,1263025,523,10960230,8.60,8.75,8.55,8.71,+,0.12,8.71,45,8.74,6,15.55,
南染,47024,37,1119576,23.80,24.00,23.80,24.00,+,0.2,23.80,2,23.95,1,14.46,
宏洲,94865,21,702399,7.54,7.54,7.40,7.45,,0.0,7.40,9,7.45,1,0.00,
東和,150886,54,1005861,6.63,6.70,6.62,6.62,-,0.01,6.62,4,6.68,4,82.75,
廣豐,44770,35,811895,18.10,18.20,18.10,18.20,,0.0,18.10,18,18.20,5,16.40,
嘉裕,2097554,690,10988169,5.08,5.38,5.04,5.37,+,0.29,5.36,27,5.37,51,0.00,
東華,11529,31,59203,5.15,5.16,5.15,5.16,+,0.16,5.20,10,5.35,6,0.00,
新紡,244102,219,8963222,34.35,37.75,34.35,37.70,+,2.75,37.30,11,37.70,1,117.81,
利華,1174005,49,8113961,6.92,6.95,6.91,6.95,+,0.02,6.93,4,6.95,16,0.00,
大魯閣,1489761,631,32927227,22.00,22.45,21.60,22.15,+,0.15,22.10,2,22.15,10,0.00,
福懋,1548642,629,45531682,29.85,29.85,29.05,29.80,+,0.1,29.70,21,29.80,2,17.43,
中福,52302,50,256533,4.93,4.93,4.88,4.91,+,0.03,4.91,3,4.92,9,0.00,
華友聯,36048,16,1455864,40.15,40.70,40.15,40.70,+,0.6,40.40,1,40.45,2,0.00,
勤益控,93134,28,1125520,12.15,12.15,12.05,12.15,,0.0,12.05,4,12.15,8,29.63,
裕豐,6370,6,29353,4.60,4.70,4.60,4.60,-,0.1,4.60,3,4.69,5,20.91,
中和,553451,75,8009959,14.60,14.60,13.90,13.90,-,0.2,13.90,2,13.95,1,463.33,
南紡,219861,142,3117277,14.30,14.30,14.10,14.20,-,0.1,14.15,3,14.20,50,21.52,
大東,117202,68,806494,6.91,6.92,6.78,6.91,,0.0,6.82,14,6.91,8,0.00,
名軒,66892,40,1135724,16.80,17.05,16.80,16.90,-,0.2,16.90,1,17.00,2,7.04,
立益,4428,4,23127,5.14,5.44,5.14,5.44,+,0.3,5.14,2,5.44,1,28.63,
力麗,302259,160,2729751,9.09,9.09,9.01,9.05,+,0.04,9.03,2,9.05,48,21.05,
大宇,44201,41,403359,9.13,9.15,9.03,9.14,+,0.06,9.04,2,9.14,8,16.32,
宏和,33356,30,742738,22.55,22.55,22.00,22.40,,0.0,22.35,5,22.40,1,0.00,
力鵬,295082,144,2448643,8.38,8.38,8.25,8.25,-,0.01,8.25,72,8.30,93,137.50,
佳和,37031,24,219602,6.00,6.01,5.90,5.90,-,0.11,5.80,15,5.90,39,0.00,
年興,191973,124,4041624,21.00,21.40,20.80,21.40,+,0.45,21.35,14,21.40,5,15.40,
宏益,442088,235,10215366,23.25,23.30,22.90,22.90,-,0.3,22.90,18,22.95,2,7.95,
大將,12921,12,108933,8.46,8.53,8.40,8.40,-,0.03,8.40,2,8.44,1,15.27,
台富,38966,46,349164,8.93,9.00,8.92,8.99,+,0.01,8.95,2,8.99,14,11.10,
集盛,1441119,742,11861274,8.32,8.32,8.16,8.16,-,0.11,8.16,126,8.18,4,35.48,
怡華,22001,8,112205,5.10,5.10,5.10,5.10,,0.0,4.59,2,5.00,2,0.00,
宜進,1086107,401,12245292,11.30,11.35,11.20,11.20,-,0.1,11.20,49,11.25,6,6.44,
聯發,214000,104,2060490,9.65,9.67,9.57,9.60,-,0.03,9.60,40,9.63,5,10.91,
宏遠,1960128,968,29520220,15.00,15.15,14.95,14.95,+,0.2,14.95,96,15.00,13,15.41,
強盛,93000,39,1513050,16.30,16.30,16.20,16.20,-,0.15,16.20,2,16.30,3,23.14,
得力,1247896,753,41319406,33.40,33.45,32.90,33.05,-,0.2,33.05,8,33.15,10,7.15,
偉全,39200,19,576839,14.75,14.80,14.50,14.80,+,0.25,14.60,1,14.80,5,13.58,
聚隆,46654,57,814766,17.55,17.55,17.35,17.50,-,0.05,17.50,3,17.55,1,54.69,
南緯,670129,251,10139835,15.15,15.35,14.95,14.95,-,0.15,14.95,60,15.00,7,57.50,
昶和,27000,10,261650,9.78,9.78,9.59,9.73,+,0.02,9.53,1,9.75,1,0.00,
理隆,9000,5,110300,12.20,12.70,12.20,12.70,-,0.15,12.50,2,12.70,1,0.00,
大統新創,26000,9,474850,18.25,18.30,17.90,18.30,X,0.0,18.35,1,18.95,1,24.73,
首利,244023,98,1183792,4.95,4.95,4.80,4.86,-,0.03,4.82,11,4.88,42,0.00,
三洋紡,11506,14,158229,13.90,13.95,13.70,13.75,-,0.2,13.75,2,13.95,1,0.00,
台南,446000,193,13212700,29.90,30.20,29.25,29.50,-,0.3,29.35,12,29.50,3,26.58,
弘裕,220035,76,1982325,9.08,9.08,8.98,9.01,-,0.06,9.01,2,9.07,7,10.24,
本盟,58000,35,524590,9.15,9.20,8.95,9.20,-,0.3,8.93,1,9.20,1,0.00,
儒鴻,1099028,771,485384180,446.00,448.00,435.00,435.00,-,11.0,435.00,40,437.00,1,29.12,
聚陽,403542,350,93477928,232.00,234.00,231.00,232.00,+,0.5,231.00,9,232.00,99,21.83,
士電,82769,41,3269531,39.40,39.55,39.40,39.50,-,0.15,39.50,23,39.55,11,17.10,
東元,961976,620,25421656,26.45,26.50,26.30,26.35,-,0.05,26.35,52,26.40,10,15.78,
正道,190142,71,2805138,15.00,15.00,14.65,14.85,-,0.05,14.70,1,14.85,5,51.21,
永大,464346,397,21450557,45.85,46.40,45.80,46.40,+,0.7,46.20,12,46.40,42,9.91,
瑞利,2385116,633,12942136,5.08,5.59,5.01,5.59,+,0.5,5.59,92,--,0,0.00,
中興電,749432,389,12564647,16.90,16.90,16.70,16.75,-,0.15,16.75,3,16.85,53,8.25,
亞力,177026,81,1453048,8.20,8.27,8.08,8.27,+,0.04,8.25,2,8.27,1,9.85,
力山,262000,75,2720350,10.30,10.50,10.25,10.40,-,0.05,10.35,1,10.40,19,8.97,
川飛,6005,11,128105,22.00,22.00,21.00,21.00,,0.0,20.65,1,21.15,1,5.01,
利奇,139200,78,1596570,11.50,11.55,11.40,11.45,,0.0,11.35,54,11.45,26,14.14,
華城,285060,86,4464386,15.45,15.80,15.45,15.70,+,0.1,15.65,6,15.70,3,13.89,
大億,201000,149,17424900,86.80,87.00,85.90,86.50,-,0.3,86.50,130,86.60,1,14.34,
堤維西,848666,452,19577250,23.35,23.35,22.85,22.95,-,0.15,22.90,52,22.95,26,10.02,
耿鼎,1678219,474,11683110,7.00,7.10,6.80,6.81,-,0.12,6.81,11,6.88,4,0.00,
江申,115100,113,9268049,82.40,82.40,79.60,80.50,-,2.4,80.50,1,80.60,2,15.57,
日馳,133281,99,1938250,14.75,14.80,14.35,14.35,-,0.35,14.35,9,14.55,11,8.15,
