證券名稱,成交股數,成交筆數,成交金額,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,最後揭示買價,最後揭示買量,最後揭示賣價,最後揭示賣量,本益比,Unnamed: 16
台泥,6149275,"2,267",208898800,33.70,34.25,33.70,33.90,-,0.05,33.90,181,33.95,423,14.13,
亞泥,2243281,"1,327",73472009,32.65,33.00,32.55,32.85,,0.0,32.75,3,32.85,178,12.93,
嘉泥,115035,69,1171349,10.30,10.35,10.10,10.10,-,0.2,10.10,78,10.20,13,0.0,
環泥,361102,193,7762300,21.45,21.80,21.40,21.55,+,0.15,21.50,40,21.55,14,10.07,
幸福,418000,144,4397300,10.50,10.60,10.45,10.55,+,0.05,10.55,31,10.60,112,9.09,
信大,23000,18,234450,10.25,10.25,10.05,10.25,,0.0,10.10,2,10.25,5,51.25,
東泥,45052,35,596286,13.05,13.40,13.00,13.30,,0.0,13.20,2,13.30,1,78.24,
味全,1037696,530,19764499,19.35,19.50,18.85,18.90,-,0.35,18.90,77,19.00,16,0.0,
味王,39592,42,770333,19.60,19.60,19.40,19.50,-,0.1,19.40,61,19.55,2,14.66,
大成,1126678,592,19803712,17.35,17.90,17.35,17.50,+,0.2,17.50,66,17.60,17,16.06,
大飲,53020,36,786098,15.05,15.20,14.70,14.80,-,0.1,14.70,2,14.80,4,38.95,
卜蜂,433661,225,8600754,19.75,20.05,19.60,19.60,-,0.05,19.60,20,19.65,2,7.05,
統一,9071656,"3,882",512160474,57.00,57.20,56.00,56.10,-,1.4,56.00,306,56.10,47,24.39,
愛之味,713921,277,4550279,6.45,6.46,6.30,6.30,-,0.1,6.30,28,6.33,2,0.0,
泰山,287647,146,3040591,10.45,10.65,10.45,10.55,+,0.05,10.55,14,10.60,1,81.15,
福壽,32119,14,470037,14.55,14.70,14.55,14.70,+,0.05,14.65,1,14.70,5,44.55,
台榮,87000,35,858110,9.92,9.97,9.78,9.90,,0.0,9.82,2,9.90,26,41.25,
福懋油,131039,22,2923015,22.25,22.50,22.00,22.35,+,0.1,22.30,5,22.55,1,97.17,
佳格,1261793,997,89855789,72.50,72.70,70.30,70.50,-,1.8,70.40,43,70.50,1,20.2,
聯華,864197,475,16074178,18.40,18.70,18.40,18.65,+,0.25,18.60,54,18.65,2,10.03,
聯華食,60897,47,1574740,25.95,26.25,25.60,25.60,-,0.35,25.60,2,25.70,6,12.31,
大統益,67082,41,4767130,71.30,71.40,70.90,70.90,-,0.5,70.90,18,71.00,3,11.7,
天仁,6080,6,230440,38.30,38.30,37.80,37.80,-,0.2,37.80,4,38.15,1,17.91,
黑松,126840,89,4283719,34.45,34.60,33.50,33.55,-,0.35,33.50,4,33.55,3,24.31,
興泰,14000,11,249100,17.90,17.90,17.70,17.80,-,0.1,17.80,1,17.90,13,0.0,
宏亞,14080,7,291330,20.80,20.95,20.50,20.50,-,0.35,20.55,1,20.80,1,22.53,
綠悅-KY,139300,118,16164300,117.00,117.00,115.00,115.50,,0.0,115.50,19,116.00,1,10.7,
台塑,3411134,"1,769",232541013,67.60,68.70,67.60,68.30,,0.0,68.10,1,68.30,138,20.21,
南亞,5060096,"1,978",288231772,57.00,57.40,56.70,57.00,-,0.4,57.00,144,57.10,1,13.73,
台聚,2274409,723,29229883,13.00,13.10,12.70,12.70,-,0.25,12.70,22,12.75,9,15.88,
華夏,8002180,"2,035",105318640,13.15,13.35,12.95,13.05,+,0.05,13.00,228,13.05,90,15.17,
三芳,658552,563,24228870,36.50,37.30,36.05,36.05,-,0.2,36.05,3,36.10,5,13.87,
亞聚,884578,437,15242232,17.45,17.60,16.90,16.90,-,0.55,16.90,25,17.00,4,14.82,
台達化,1843425,579,16349279,8.96,9.13,8.66,8.66,-,0.3,8.66,2,8.67,1,0.0,
台苯,1356390,501,17493052,12.95,13.05,12.80,12.85,-,0.05,12.80,164,12.85,16,40.16,
國喬,4314116,"1,547",71974673,16.90,17.00,16.45,16.60,-,0.25,16.60,6,16.65,66,11.94,
國喬特,12000,3,246750,20.50,20.90,20.50,20.90,X,0.0,20.50,1,20.90,2,0.0,
聯成,3000769,769,27618033,9.20,9.28,9.12,9.28,+,0.08,9.22,61,9.28,35,25.08,
中石化,9092989,"2,692",76591362,8.55,8.55,8.31,8.33,-,0.17,8.33,51,8.34,12,12.43,
達新,22025,16,485457,22.10,22.10,21.90,22.10,,0.0,22.00,2,22.20,2,17.0,
上曜,232286,92,2249993,9.66,9.80,9.65,9.72,+,0.06,9.65,7,9.69,1,0.0,
東陽,884066,512,24834274,28.30,28.45,27.80,27.80,-,0.15,27.80,29,27.85,3,20.75,
大洋,229000,128,6230000,27.20,27.50,26.95,27.00,-,0.05,27.00,36,27.05,1,0.0,
永裕,58360,36,1395490,24.00,24.10,23.65,23.65,-,0.3,23.65,9,23.80,2,8.63,
地球,35000,21,356200,10.15,10.30,10.10,10.15,,0.0,10.05,8,10.20,7,19.15,
恆大,78000,40,1513500,19.40,19.45,19.35,19.45,,0.0,19.40,50,19.45,33,25.59,
台化,3828522,"2,123",258528720,66.80,68.40,66.80,67.10,-,0.5,67.10,18,67.30,2,26.01,
再生-KY,1707491,733,24426586,14.40,14.80,13.95,14.00,-,0.25,14.00,82,14.15,18,5.83,
廣華-KY,518762,372,40639539,79.70,80.90,76.30,76.30,-,3.4,76.30,7,76.70,5,8.98,
昭輝,1174020,458,97897586,83.10,84.90,82.60,83.50,,0.0,83.00,2,83.50,260,23.19,
勝悅-KY,284650,243,16449825,58.20,59.00,57.10,57.20,-,1.0,57.20,2,57.50,1,5.66,
遠東新,6923876,"2,743",196973265,28.40,28.90,28.15,28.30,-,0.05,28.25,4,28.30,294,13.48,
新纖,1207643,474,9976538,8.32,8.38,8.17,8.17,-,0.11,8.17,10,8.18,31,18.57,
南染,72094,18,1715177,23.70,24.00,23.60,23.80,+,0.35,23.80,33,23.90,1,13.92,
宏洲,196197,47,1400688,7.15,7.16,7.11,7.15,-,0.04,7.15,7,7.16,2,0.0,
