公司代號,公司名稱,合計：共 811 家,毛利率(%)(營業毛利)/(營業收入),營業利益率(%)(營業利益)/(營業收入),營業收入(百萬元),稅前純益率(%)(稅前純益)/(營業收入),稅後純益率(%)(稅後純益)/(營業收入)
1101,台泥,,21.06,17.10,88684.64,17.97,14.16
1102,亞泥,,13.80,10.29,57234.89,16.80,14.40
1103,嘉泥,,5.44,-7.35,2818.00,7.91,6.79
1104,環球水泥,,9.13,3.09,4242.33,26.26,24.60
1108,幸福水泥,,14.48,9.21,3732.29,9.63,7.93
1109,信大水泥,,20.27,9.92,3629.21,9.83,7.58
1110,東泥,,10.36,6.42,1485.76,11.42,11.32
1201,味全公司,,29.80,4.54,21764.29,2.63,1.32
1203,味王公司,,23.82,8.86,4514.17,8.80,5.92
1210,大成長城,,9.18,1.60,67482.42,2.31,1.92
1213,大飲,,15.01,3.39,567.75,4.29,3.23
1215,卜蜂企業,,11.55,5.20,13008.76,5.48,4.38
1216,統一,,31.74,4.71,327273.40,5.69,4.57
1217,愛之味,,29.46,-7.55,3509.91,-9.63,-9.97
1218,泰山企業,,15.23,-0.91,7062.84,1.17,1.06
1219,福壽實業,,6.35,0.39,7803.62,0.77,0.66
1220,台榮,,9.17,1.85,2497.98,2.36,1.97
1225,福懋油,,4.43,0.24,9150.57,-0.12,-0.16
1227,佳格,,28.67,11.63,15792.97,12.03,9.95
1229,聯華實業,,12.10,3.66,3913.75,41.21,39.23
1231,聯華食品,,20.14,2.05,4380.20,2.58,2.19
1232,大統益,,6.55,4.03,16344.54,4.38,3.61
1233,天仁,,60.08,12.25,1605.46,13.75,11.49
1234,黑松,,31.42,0.71,4688.91,8.41,6.69
1235,興泰,,6.18,-11.59,145.61,94.32,93.74
1236,宏亞食品,,24.53,0.79,1753.67,7.69,7.34
1256,鮮活果汁-KY,,31.63,19.97,1658.05,20.26,12.75
1262,綠悅-KY,,34.59,29.22,4682.57,28.97,21.78
1301,台塑,,7.27,2.36,166359.73,12.54,11.12
1303,南亞塑膠,,9.36,3.89,245576.45,12.27,11.96
1304,台聚,,6.99,1.39,46688.25,1.99,1.51
1305,華夏,,9.06,2.00,11339.99,2.25,1.63
1307,三芳化工,,24.77,10.22,8338.29,10.40,8.67
1308,亞聚,,10.52,7.32,4383.99,11.04,9.55
1309,台達化工,,1.05,-2.30,15912.61,-2.64,-2.54
