公司代號,公司名稱,合計：共 835 家,毛利率(%)(營業毛利)/(營業收入),營業利益率(%)(營業利益)/(營業收入),營業收入(百萬元),稅前純益率(%)(稅前純益)/(營業收入),稅後純益率(%)(稅後純益)/(營業收入)
1101,台泥,,20.49,16.42,58589.69,16.79,13.01
1102,亞泥,,14.73,11.09,37450.91,18.41,15.70
1103,嘉泥,,6.89,-6.07,1909.50,1.60,0.61
1104,環球水泥,,8.85,3.13,2835.55,26.26,24.19
1108,幸福水泥,,14.64,9.44,2495.61,10.54,8.77
1109,信大水泥,,22.42,12.82,2685.15,12.40,9.39
1110,東泥,,12.52,9.31,1004.31,10.37,10.43
1201,味全公司,,30.58,5.43,13996.77,4.42,2.70
1203,味王公司,,24.55,10.53,3076.90,10.31,7.11
1210,大成長城,,9.57,1.95,44414.71,2.13,1.69
1213,大飲,,14.18,1.67,324.21,2.01,1.08
1215,卜蜂企業,,11.92,5.49,8467.62,5.80,4.64
1216,統一,,31.82,4.98,214454.67,6.47,5.32
1217,愛之味,,28.19,-13.45,1956.78,-15.42,-15.94
1218,泰山企業,,14.17,-2.29,4438.10,0.11,0.06
1219,福壽實業,,6.83,0.76,5065.90,1.18,1.01
1220,台榮,,9.22,2.57,1560.18,2.96,2.46
1225,福懋油,,5.59,1.25,6047.93,0.88,0.72
1227,佳格,,27.10,10.51,9927.83,10.63,8.75
1229,聯華實業,,11.89,3.94,2577.94,45.96,43.37
1231,聯華食品,,20.18,1.28,2670.00,1.91,1.59
1232,大統益,,7.19,4.65,10929.84,4.90,4.01
1233,天仁,,60.23,13.13,1070.56,14.96,12.54
1234,黑松,,28.51,-4.03,2704.50,5.70,4.38
1235,興泰,,7.19,-5.99,100.91,62.98,62.91
1236,宏亞食品,,23.70,0.13,1132.16,10.70,10.35
1256,鮮活果汁-KY,,31.72,20.50,1037.24,20.74,12.73
1262,綠悅-KY,,34.38,29.04,3090.99,29.26,22.13
1301,台塑,,7.15,2.29,111018.85,11.53,9.89
1303,南亞塑膠,,9.39,3.88,160688.98,11.93,12.27
1304,台聚,,7.65,2.02,30115.00,1.83,1.31
1305,華夏,,9.51,2.52,7706.27,2.44,1.77
1307,三芳化工,,25.75,10.99,5527.92,10.86,9.04
1308,亞聚,,11.05,7.89,2912.13,10.79,9.19
1309,台達化工,,1.18,-2.27,10085.12,-2.97,-2.90
1310,台苯,,1.13,-0.41,9555.41,3.72,3.29
