公司代號,公司名稱,合計：共 816 家,毛利率(%)(營業毛利)/(營業收入),營業利益率(%)(營業利益)/(營業收入),營業收入(百萬元),稅前純益率(%)(稅前純益)/(營業收入),稅後純益率(%)(稅後純益)/(營業收入)
1101,台泥,,16.57,12.53,52784.23,13.17,10.99
1102,亞泥,,10.60,6.97,32112.81,14.90,13.41
1103,嘉泥,,-1.57,-12.79,1792.34,-0.81,0.81
1104,環球水泥,,9.67,1.76,2465.35,21.96,21.11
1108,幸福水泥,,12.55,7.29,2325.41,5.92,4.56
1109,信大水泥,,15.90,4.81,1926.41,6.47,5.54
1110,東泥,,14.17,11.21,947.88,7.01,8.26
1201,味全公司,,32.11,5.07,14278.48,5.04,3.20
1203,味王公司,,20.77,7.01,3069.52,8.50,6.93
1210,大成長城,,8.33,0.35,42614.91,0.78,0.53
1213,大飲,,15.81,0.94,334.01,1.60,1.10
1215,卜蜂企業,,7.64,1.11,8584.08,1.35,0.90
1216,統一,,31.42,4.82,211179.66,6.52,5.14
1217,愛之味,,32.02,0.16,2017.13,0.72,0.26
1218,泰山企業,,11.70,-1.59,4758.28,0.62,0.36
1219,福壽實業,,4.27,-1.34,5005.82,-1.04,-0.98
1220,台榮,,7.05,1.09,1652.61,1.54,1.28
1225,福懋油,,4.31,0.87,7146.57,0.78,0.62
1227,佳格,,29.01,11.90,9517.66,13.19,10.88
1229,聯華實業,,10.09,3.02,2582.64,24.08,21.62
1231,聯華食品,,25.25,5.21,2654.54,7.51,6.01
1232,大統益,,6.52,4.04,9864.36,4.79,4.03
1233,天仁,,60.94,12.68,999.40,14.43,11.97
1234,黑松,,25.60,-0.99,3193.57,6.98,-13.03
1235,興泰,,3.91,-8.39,129.89,-36.08,-38.12
1236,宏亞食品,,26.17,4.61,1206.66,5.02,4.14
1256,鮮活果汁-KY,,29.10,17.69,809.33,18.75,13.17
1301,台塑,,6.92,1.71,106334.32,9.23,8.09
1303,南亞塑膠,,10.43,4.56,148299.71,8.93,7.21
1304,台聚,,8.13,2.41,28107.79,4.40,3.68
1305,華夏,,14.94,7.32,7190.28,8.76,7.22
1307,三芳化工,,23.32,8.62,5139.81,9.97,7.09
1308,亞聚,,7.14,3.22,2576.83,12.31,11.21
1309,台達化工,,2.62,-0.49,10143.12,0.95,1.04
1310,台苯,,5.03,2.97,10485.09,2.31,2.29
1312,國喬石化,,11.51,6.98,13074.96,7.94,6.34
1313,聯成,,1.95,-1.07,25224.46,0.54,0.61
1314,中石化,,-2.36,-5.75,16998.87,-4.97,-5.14
1315,達新工業,,17.15,-1.46,1419.46,3.01,3.89
1316,上曜,,25.55,-10.12,684.37,-11.17,-11.60
1319,東陽,,23.32,7.71,9514.73,9.65,7.81
1321,大洋,,5.69,-1.16,2850.47,0.31,0.31
1323,永裕,,24.97,12.59,1587.19,13.17,9.20
1324,地球工業,,16.37,3.59,746.79,4.27,3.57
1325,恒大,,13.56,7.11,517.54,9.76,7.65
1326,台化,,7.92,4.87,218103.45,7.12,6.02
1337,再生-KY,,36.49,29.16,2657.67,31.38,22.87
1338,廣華-KY,,20.62,3.87,3087.07,5.68,4.60
1339,昭輝,,33.92,19.41,621.33,24.10,19.15
1340,勝悅-KY,,35.47,31.20,1152.08,30.34,25.28
1402,遠東新,,18.97,5.53,118701.04,7.52,6.32
1410,南染,,28.51,15.82,298.67,17.38,16.47
1413,宏洲纖維,,-5.28,-7.82,2362.50,-8.02,-8.06
1414,東和,,13.79,8.88,655.93,12.72,13.26
1416,廣豐,,36.68,-52.63,145.06,-51.59,-51.56
1417,嘉裕,,25.82,-4.26,1663.72,-3.17,-4.02
1418,東華,,-2.10,-10.71,869.05,-7.25,-7.50
1419,新紡,,25.31,-2.16,469.65,24.66,24.16
1423,利華羊毛,,-1.09,-5.11,446.12,-5.54,-3.70
1432,大魯閣實業,,13.53,-11.23,485.77,-12.33,-12.93
