公司代號,公司名稱,合計：共 893 家,毛利率(%)(營業毛利)/(營業收入),營業利益率(%)(營業利益)/(營業收入),營業收入(百萬元),稅前純益率(%)(稅前純益)/(營業收入),稅後純益率(%)(稅後純益)/(營業收入)
1101,台泥,,27.93,23.70,57500.25,25.11,18.39
1102,亞泥,,23.92,19.80,39009.09,25.22,19.95
1103,嘉泥,,14.47,-2.18,1000.93,21.22,44.12
1104,環球水泥,,11.46,3.09,2314.86,20.64,17.64
1108,幸福水泥,,3.70,-1.94,1684.25,-2.01,-0.48
1109,信大水泥,,29.27,22.50,2809.56,23.03,13.96
1110,東泥,,8.58,2.08,792.19,6.71,7.00
1201,味全公司,,30.19,1.42,8828.72,-1.50,-0.58
1203,味王公司,,32.76,15.01,2946.09,16.67,11.26
1210,大成長城,,14.25,3.19,34984.17,4.54,3.73
1213,大飲,,10.39,0.39,292.23,1.21,0.69
1215,卜蜂企業,,13.20,5.62,10220.46,5.59,4.02
1216,統一,,34.10,6.92,214645.78,9.45,7.07
1217,愛之味,,33.01,2.23,1982.51,-0.07,0.42
1218,泰山企業,,17.79,1.19,3846.85,5.94,5.61
1219,福壽實業,,8.66,1.32,5850.33,1.36,1.03
1220,台榮,,13.74,5.10,1203.98,6.33,5.51
1225,福懋油,,8.81,3.65,5463.11,4.14,3.33
1227,佳格,,29.62,10.09,12422.00,10.98,8.82
1229,聯華實業,,16.45,5.70,2488.30,49.34,47.80
1231,聯華食品,,20.48,5.81,3767.88,6.69,5.37
1232,大統益,,10.61,6.28,8382.09,6.53,5.24
1233,天仁,,57.91,8.67,1086.76,10.78,8.68
1234,黑松,,24.24,0.66,4454.18,7.49,6.48
1235,興泰,,-0.55,-60.86,13.38,207.04,211.87
1236,宏亞食品,,24.40,-2.51,898.91,-1.89,-1.94
1256,鮮活果汁-KY,,33.88,17.31,1634.34,18.33,13.58
1262,綠悅-KY,,2.25,-7.29,2137.65,-9.91,-8.61
1301,台塑,,17.89,13.07,116643.45,29.33,24.89
1303,南亞塑膠,,16.28,10.60,168674.08,20.93,17.71
1304,台聚,,12.24,5.98,30332.48,7.23,5.50
1305,華夏,,22.62,15.08,7822.56,15.55,12.81
1307,三芳化工,,21.61,3.85,4457.73,4.77,3.68
1308,亞聚,,4.78,1.22,2961.40,6.21,5.45
1309,台達化工,,7.81,4.12,10788.14,4.68,3.54
1310,台苯,,14.46,11.39,8076.16,11.64,8.84
1312,國喬石化,,17.73,12.18,12291.30,20.09,14.98
1313,聯成,,6.79,3.04,30044.45,2.61,1.93
1314,中石化,,13.96,9.06,18942.43,12.39,12.25
1315,達新工業,,13.97,-2.65,1175.38,-2.56,-1.47
1316,上曜,,33.54,17.42,1184.60,18.34,18.57
1319,東陽,,22.58,8.24,12051.48,11.23,9.07
1321,大洋,,3.76,-3.68,2447.22,-1.25,-1.38
1323,永裕,,24.16,12.66,1809.54,13.54,9.46
1324,地球工業,,16.51,0.12,567.59,1.20,0.19
1325,恒大,,11.55,5.32,447.14,8.73,7.07
1326,台化,,15.07,11.39,198653.50,18.06,15.38
1337,再生-KY,,-11.83,-40.17,716.77,-38.86,-39.96
1338,廣華-KY,,24.47,9.60,4036.38,9.97,7.78
1339,昭輝,,27.16,13.67,1431.88,21.57,17.38
1340,勝悅-KY,,22.85,14.57,1239.62,17.13,14.12
1402,遠東新,,21.85,8.06,105396.47,12.31,10.26
1410,南染,,39.08,22.39,265.88,25.96,21.37
1413,宏洲纖維,,8.63,6.30,1766.78,6.45,7.47
1414,東和,,9.34,1.34,505.15,2.81,3.09
1416,廣豐,,99.39,-33.61,117.68,59.69,45.29
1417,嘉裕,,15.05,-25.18,781.11,-9.01,-11.16
1418,東華,,-7.76,-19.09,434.92,-22.07,-22.08
1419,新紡,,20.80,-7.48,723.27,-0.21,-0.91
1423,利華羊毛,,8.01,3.69,425.51,13.37,12.25
1432,大魯閣實業,,80.08,-32.12,409.78,-31.13,-31.45
1434,福懋興業,,12.73,6.56,22467.68,11.17,7.97
1435,中福國際,,94.40,-11.35,16.60,38.15,38.15
1436,華友聯,,29.09,19.74,1027.71,16.93,16.12
1437,勤益投控,,74.26,57.44,308.26,58.49,47.48
1438,裕豐,,-1000.00,-111700.00,0.00,-69575.00,-69575.00
1439,中和羊毛,,3.93,-9.46,145.36,-10.66,-11.54
1440,南紡,,13.43,4.80,12481.67,7.33,5.78
1441,大東紡織,,0.07,-13.21,869.13,137.31,129.17
1442,名軒,,31.16,18.04,739.19,18.42,16.40
1443,立益紡織,,1.95,-12.61,597.89,-2.90,-3.42
1444,力麗,,8.28,2.41,6091.55,6.91,5.82
1445,大宇紡織,,4.70,-3.23,804.05,-2.83,-2.01
1446,宏和,,4.47,-17.90,217.99,-11.41,-12.43
1447,力鵬,,5.19,1.37,9457.41,4.42,3.87
1449,佳和實業,,1.33,-14.48,1184.68,-16.40,-16.33
1451,年興紡織,,8.68,1.43,4033.51,5.20,3.02
1452,宏益,,15.68,9.75,1003.96,10.92,8.88
1453,大將,,4.07,-93.99,20.72,1697.79,1700.31
1454,台富,,9.55,1.89,962.69,2.23,2.71
1455,集盛,,5.22,1.92,8097.41,3.57,3.13
1456,怡華,,21.67,3.13,204.34,-9.92,-12.03
1457,宜進,,12.46,6.81,2744.33,20.94,19.16
1459,聯發紡織,,2.62,-2.57,1785.40,8.38,7.64
1460,宏遠,,17.87,2.66,4527.36,3.42,2.57
1463,強盛染整,,40.29,28.26,610.34,35.49,34.58
1464,得力實業,,15.54,2.50,4175.93,4.05,2.93
1465,偉全實業,,7.91,-3.88,800.53,-0.95,-1.16
1466,聚隆,,4.76,-1.13,1982.21,-1.66,-1.63
1467,南緯實業,,16.76,-3.04,3299.60,-2.79,-4.06
1468,昶和纖維,,19.81,0.73,459.72,4.39,4.39
1470,大統新創,,20.49,4.92,369.69,5.32,4.19
1471,首利,,-7.48,-30.17,605.39,-27.21,-27.14
1472,三洋紡,,-4.62,-17.21,299.14,-17.45,-16.86
1473,台南企業,,10.73,-3.41,4142.07,-2.22,-2.90
1474,弘裕,,12.34,3.61,1808.40,4.53,3.81
1475,本盟光電,,-59.46,-98.04,29.89,-86.56,-86.96
1476,儒鴻,,27.94,18.63,13501.58,19.54,15.56
1477,聚陽實業,,19.60,7.47,10196.33,7.12,5.45
1503,士電,,20.45,7.82,12106.06,9.74,6.11
1504,東元電機,,24.44,7.13,25045.48,8.99,7.18
1506,正道,,9.90,-8.92,624.73,-3.95,-3.38
1507,永大機電,,23.86,7.99,7903.10,7.80,5.68
1512,瑞利,,9.23,-0.81,1460.76,-2.46,-2.46
