公司代號,公司名稱,合計：共 847 家,毛利率(%)(營業毛利)/(營業收入),營業利益率(%)(營業利益)/(營業收入),營業收入(百萬元),稅前純益率(%)(稅前純益)/(營業收入),稅後純益率(%)(稅後純益)/(營業收入)
1101,台泥,,8.95,2.73,17724.11,1.57,0.53
1102,亞泥,,7.66,3.12,13038.96,2.17,1.49
1103,嘉泥,,-0.62,-16.86,541.22,-35.39,-34.92
1104,環球水泥,,10.44,2.86,1105.80,31.01,31.02
1108,幸福水泥,,19.16,13.36,995.64,12.73,10.48
1109,信大水泥,,7.86,-3.02,876.00,-3.03,-3.79
1110,東泥,,9.52,4.11,383.67,51.42,56.46
1201,味全公司,,23.97,-15.10,3518.10,-4.53,-2.34
1203,味王公司,,23.04,9.42,1547.88,9.15,7.94
1210,大成長城,,13.62,3.99,17743.53,3.82,3.37
1213,大飲,,13.98,2.51,152.47,4.00,3.27
1215,卜蜂企業,,14.32,7.46,4255.52,7.49,6.13
1216,統一,,34.24,6.15,106667.52,7.48,6.00
1217,愛之味,,30.52,-0.78,906.83,-3.34,-3.56
1218,泰山企業,,16.09,-0.79,1821.96,3.07,2.91
1219,福壽實業,,8.85,1.23,2633.01,1.61,1.01
1220,台榮,,14.49,6.41,646.03,7.14,6.02
1225,福懋油,,10.43,5.55,2554.43,5.39,4.49
1227,佳格,,32.00,14.48,7422.01,14.94,11.84
1229,聯華實業,,21.33,11.22,1310.57,26.48,25.89
1231,聯華食品,,22.72,7.42,1691.73,8.92,7.44
1232,大統益,,9.80,5.92,3927.50,5.42,4.50
1233,天仁,,57.22,10.47,558.31,10.95,9.07
1234,黑松,,23.13,-4.36,1754.86,5.82,5.02
1235,興泰,,36.84,14.85,19.12,442.08,436.30
1236,宏亞食品,,25.56,5.30,604.46,6.60,5.38
1256,鮮活果汁-KY,,28.04,10.86,535.66,11.91,7.33
1262,綠悅-KY,,37.45,30.60,1504.89,30.83,26.15
1301,台塑,,12.74,6.73,42782.37,15.55,13.35
1303,南亞塑膠,,11.57,5.27,65469.08,9.69,8.08
1304,台聚,,12.14,5.28,12738.37,4.47,3.51
1305,華夏,,15.04,7.57,3765.84,6.12,5.09
1307,三芳化工,,29.37,15.31,3071.07,15.06,12.48
1308,亞聚,,12.29,8.46,1333.91,8.68,7.20
1309,台達化工,,6.98,2.45,3689.66,1.88,1.35
1310,台苯,,18.05,15.15,3517.88,14.27,11.26
1312,國喬石化,,17.46,10.64,4570.01,14.53,13.14
1313,聯成,,5.68,1.13,9067.64,0.37,0.35
1314,中石化,,-8.58,-14.27,5310.39,-13.40,-13.60
1315,達新工業,,20.06,4.61,710.96,4.88,4.30
1316,上曜,,22.50,-24.41,123.42,-25.00,-25.84
1319,東陽,,26.02,12.71,5961.50,13.02,10.66
1321,大洋,,6.58,-1.94,1002.26,0.35,0.35
1323,永裕,,27.68,14.04,732.15,14.12,10.13
1324,地球工業,,22.36,4.59,284.08,7.56,6.13
1325,恒大,,26.39,19.54,259.93,16.24,13.48
