公司代號,公司名稱,合計：共 862 家,毛利率(%)(營業毛利)/(營業收入),營業利益率(%)(營業利益)/(營業收入),營業收入(百萬元),稅前純益率(%)(稅前純益)/(營業收入),稅後純益率(%)(稅後純益)/(營業收入)
1101,台泥,,21.02,16.78,118325.81,17.92,14.02
1102,亞泥,,14.33,10.62,77683.28,17.66,14.04
1103,嘉泥,,5.57,-6.57,3937.69,0.24,1.37
1104,環球水泥,,9.35,3.07,5819.90,25.22,23.79
1108,幸福水泥,,14.49,8.64,5099.20,8.59,7.20
1109,信大水泥,,18.88,8.68,5000.09,8.54,6.74
1110,東泥,,10.22,6.35,2078.22,6.30,6.85
1201,味全公司,,28.48,1.63,26469.17,-0.64,-1.43
1203,味王公司,,22.67,8.02,6296.55,8.47,5.74
1210,大成長城,,8.72,1.25,91740.92,1.63,1.09
1213,大飲,,14.05,1.76,702.12,2.35,1.64
1215,卜蜂企業,,11.91,5.55,17527.76,5.68,4.61
1216,統一,,31.04,4.18,425187.18,5.24,4.17
1217,愛之味,,28.18,-8.01,4283.75,-9.23,-9.55
1218,泰山企業,,15.14,-1.13,9001.13,0.83,0.75
1219,福壽實業,,6.97,0.87,10543.59,1.38,1.18
1220,台榮,,6.92,0.78,3769.96,1.38,1.11
1225,福懋油,,5.22,0.94,12407.41,0.64,0.49
1227,佳格,,28.54,11.27,21800.01,11.79,9.59
1229,聯華實業,,12.66,4.80,5302.42,33.35,31.84
1231,聯華食品,,21.02,3.84,5893.26,4.47,3.77
1232,大統益,,7.65,4.97,21849.46,5.51,4.55
1233,天仁,,59.62,11.18,2149.08,12.97,10.79
1234,黑松,,29.93,-0.22,6015.39,7.97,6.57
1235,興泰,,5.79,-24.08,172.10,29.32,29.90
1236,宏亞食品,,26.76,2.29,2371.61,7.67,7.06
1256,鮮活果汁-KY,,31.08,18.50,2053.57,18.81,11.88
1262,綠悅-KY,,34.80,29.34,6255.93,28.94,24.59
1301,台塑,,7.64,2.55,216589.04,9.49,8.31
1303,南亞塑膠,,8.92,3.38,325473.15,10.60,10.08
1304,台聚,,6.54,0.58,59704.56,1.47,1.05
1305,華夏,,7.81,0.66,14559.83,1.06,0.84
1307,三芳化工,,24.58,10.13,11191.14,10.53,8.67
1308,亞聚,,10.56,7.33,5566.29,10.49,8.98
1309,台達化工,,0.38,-3.10,20933.82,-3.05,-3.02
1310,台苯,,-0.87,-2.88,17028.18,-2.39,-0.30
1312,國喬石化,,6.54,1.82,24340.26,3.10,2.02
1313,聯成,,2.51,-0.73,53282.10,-0.74,-0.46
1314,中石化,,-2.30,-6.54,33249.48,1.06,0.89
1315,達新工業,,18.76,3.08,2989.77,9.04,7.54
1316,上曜,,12.25,-20.67,793.52,0.87,-4.47
1319,東陽,,22.37,5.15,21141.66,5.68,4.51
1321,大洋,,3.85,-3.25,5365.93,-2.70,-2.70
1323,永裕,,25.64,13.65,3471.41,13.85,10.02
