公司代號,公司名稱,合計：共 877 家,毛利率(%)(營業毛利)/(營業收入),營業利益率(%)(營業利益)/(營業收入),營業收入(百萬元),稅前純益率(%)(稅前純益)/(營業收入),稅後純益率(%)(稅後純益)/(營業收入)
1101,台泥,,16.34,10.46,40666.26,9.21,6.89
1102,亞泥,,12.35,8.80,29067.25,6.70,5.27
1103,嘉泥,,1.76,-11.17,1361.47,-17.25,-18.54
1104,環球水泥,,12.63,4.74,2325.47,39.05,36.64
1108,幸福水泥,,18.27,12.65,2104.97,12.11,9.25
1109,信大水泥,,13.71,4.53,2006.52,2.94,2.19
1110,東泥,,7.10,2.60,787.59,27.51,29.88
1201,味全公司,,27.40,-9.77,7996.08,-5.29,-5.54
1203,味王公司,,25.26,9.38,3110.92,10.13,8.19
1210,大成長城,,13.34,3.52,36172.49,3.90,3.44
1213,大飲,,14.15,3.36,312.87,4.79,3.88
1215,卜蜂企業,,14.71,7.72,8593.70,8.06,6.50
1216,統一,,34.43,6.31,211522.51,8.05,6.42
1217,愛之味,,33.13,-0.69,1922.43,-4.20,-4.37
1218,泰山企業,,17.19,0.28,3848.69,3.71,3.40
1219,福壽實業,,9.31,1.38,5313.40,1.45,0.87
1220,台榮,,15.10,7.33,1428.55,8.04,6.79
1225,福懋油,,11.14,6.08,5242.44,6.06,4.48
1227,佳格,,31.09,12.06,12656.00,12.82,10.28
1229,聯華實業,,21.38,11.21,2641.91,35.74,34.93
1231,聯華食品,,21.25,6.97,3203.22,7.76,6.28
1232,大統益,,10.58,6.79,8171.51,6.68,5.50
1233,天仁,,56.88,9.71,1074.54,10.51,8.69
1234,黑松,,26.57,-0.24,3932.95,20.85,19.41
1235,興泰,,51.01,-6.24,59.07,248.72,236.10
1236,宏亞食品,,23.30,-1.47,951.16,-0.25,-0.84
1256,鮮活果汁-KY,,29.58,14.60,1303.54,13.60,8.62
1262,綠悅-KY,,37.58,31.06,3245.47,30.98,26.12
1301,台塑,,12.63,6.67,87581.40,20.90,18.20
1303,南亞塑膠,,11.44,5.16,133713.16,12.21,10.17
1304,台聚,,13.30,6.38,26029.63,6.28,4.93
1305,華夏,,18.43,10.77,7293.35,10.14,8.45
1307,三芳化工,,29.64,14.41,5584.86,14.20,11.41
1308,亞聚,,13.94,10.03,2618.46,13.73,11.30
1309,台達化工,,5.91,1.58,7852.37,1.30,0.81
1310,台苯,,15.57,12.36,6774.82,11.23,8.67
1312,國喬石化,,15.96,9.31,9111.31,13.12,10.73
1313,聯成,,5.47,1.25,19287.61,2.21,1.74
1314,中石化,,-6.56,-11.75,11481.84,-12.14,-12.38
1315,達新工業,,19.83,3.70,1371.27,3.56,3.05
1316,上曜,,21.94,-22.33,272.26,-21.86,-22.53
1319,東陽,,25.20,11.74,11800.92,12.62,9.85
1321,大洋,,8.36,0.04,2132.21,0.87,0.87
1323,永裕,,26.53,13.62,1542.81,14.61,10.42
1324,地球工業,,23.76,7.24,614.06,8.02,6.34
1325,恒大,,24.13,17.00,509.37,16.06,12.93
1326,台化,,16.08,11.56,157074.03,16.20,14.09
1337,再生-KY,,23.22,13.73,2750.74,13.44,9.31
1338,廣華-KY,,27.39,11.80,3679.71,10.91,8.50
1339,昭輝,,28.41,15.53,1138.52,11.95,8.73
