公司代號,公司名稱,合計：共 889 家,毛利率(%)(營業毛利)/(營業收入),營業利益率(%)(營業利益)/(營業收入),營業收入(百萬元),稅前純益率(%)(稅前純益)/(營業收入),稅後純益率(%)(稅後純益)/(營業收入)
1101,台泥,,18.01,13.08,45893.85,12.54,9.23
1102,亞泥,,12.07,8.24,28810.79,8.99,7.27
1103,嘉泥,,16.82,-4.82,1058.88,-5.88,-8.06
1104,環球水泥,,12.55,3.85,2159.76,34.30,30.83
1108,幸福水泥,,9.14,2.85,1762.46,2.32,1.61
1109,信大水泥,,19.00,10.37,2317.81,11.17,9.77
1110,東泥,,-4.07,-9.56,684.52,1.28,-1.47
1201,味全公司,,28.26,-0.97,7910.36,3.38,2.02
1203,味王公司,,31.09,15.37,3076.03,15.38,11.03
1210,大成長城,,13.17,3.73,36741.07,3.67,2.73
1213,大飲,,10.82,-0.36,295.03,0.48,-0.11
1215,卜蜂企業,,17.17,9.40,9578.53,9.85,7.80
1216,統一,,33.30,6.08,196218.29,8.66,7.10
1217,愛之味,,31.23,-1.91,1864.10,-2.75,-2.94
1218,泰山企業,,16.40,-2.87,3627.79,-0.07,-0.09
1219,福壽實業,,7.31,-0.79,5344.33,-0.29,-0.59
1220,台榮,,12.02,2.98,1065.18,3.94,3.25
1225,福懋油,,9.78,4.41,5271.57,4.62,3.59
1227,佳格,,27.73,9.41,11996.01,8.85,6.76
1229,聯華實業,,22.24,10.61,2356.89,47.00,45.06
1231,聯華食品,,20.01,4.77,3392.05,5.21,4.18
1232,大統益,,9.44,5.61,8449.07,5.41,4.47
1233,天仁,,57.26,9.86,1058.28,9.72,8.07
1234,黑松,,22.99,-0.86,4379.52,4.92,3.64
1235,興泰,,-27.33,-80.07,24.87,558.36,414.86
1236,宏亞食品,,20.47,-5.36,789.84,-4.86,-5.12
1256,鮮活果汁-KY,,30.13,15.41,1422.17,15.56,9.79
1262,綠悅-KY,,29.53,23.65,3751.43,24.02,17.86
1301,台塑,,16.36,11.01,100161.52,22.39,19.57
1303,南亞塑膠,,16.55,9.66,146781.73,16.36,13.33
1304,台聚,,12.77,6.24,27864.78,5.82,4.38
1305,華夏,,19.89,12.17,7314.60,11.43,9.27
1307,三芳化工,,32.56,16.02,5057.42,14.70,11.59
1308,亞聚,,12.86,9.19,3097.14,12.36,10.49
1309,台達化工,,4.74,0.86,9137.30,0.53,0.29
1310,台苯,,11.23,8.30,7100.33,9.32,7.30
1312,國喬石化,,13.97,8.30,10965.32,12.60,9.36
1313,聯成,,6.43,2.49,23081.48,3.07,2.36
1314,中石化,,15.99,10.84,16500.50,27.25,26.15
1315,達新工業,,18.42,2.87,1368.02,0.38,0.35
1316,上曜,,14.33,-23.05,325.66,-21.83,-21.86
1319,東陽,,25.22,11.21,11962.03,12.35,9.51
1321,大洋,,3.36,-4.34,2136.41,-4.33,-5.07
1323,永裕,,23.30,12.10,1517.63,11.23,8.55
1324,地球工業,,15.56,-2.11,578.23,15.49,10.71
1325,恒大,,13.85,7.70,439.28,4.07,2.73
1326,台化,,13.60,9.64,171427.95,15.41,13.66
1337,再生-KY,,16.64,5.99,2264.76,7.68,5.68
1338,廣華-KY,,27.04,12.24,3668.62,12.94,9.54
1339,昭輝,,31.84,18.95,1363.10,10.04,7.09
1340,勝悅-KY,,31.96,25.91,1507.94,26.72,22.42
1402,遠東新,,23.09,6.39,103290.00,7.18,5.77
1410,南染,,37.89,22.99,273.27,22.75,18.48
1413,宏洲纖維,,3.87,1.60,1578.48,1.40,1.40
1414,東和,,10.55,1.36,437.77,0.78,0.71
1416,廣豐,,26.80,7.73,2041.70,8.95,9.69
1417,嘉裕,,15.69,-21.14,1111.02,-19.80,-19.81
1418,東華,,-6.49,-14.74,921.93,-16.18,-16.55
1419,新紡,,18.60,-8.97,658.20,-10.89,-10.34
1423,利華羊毛,,5.91,0.29,304.49,10.10,9.17
1432,大魯閣實業,,90.37,-14.89,600.02,-29.93,-30.13
1434,福懋興業,,12.71,6.43,21100.17,17.05,15.52
1435,中福國際,,92.07,-17.65,16.65,11.71,11.71
1436,華友聯,,23.71,14.49,981.14,11.12,9.01
1437,勤益投控,,71.00,55.26,299.31,70.34,60.95
1438,裕豐,,-212.50,-26525.00,0.02,-21025.00,-21025.00
1439,中和羊毛,,3.67,-6.99,139.09,-2.57,-2.70
1440,南紡,,12.61,2.30,10131.18,3.67,3.32
1441,大東紡織,,1.48,-9.22,827.16,-12.02,-12.02
1442,名軒,,26.28,18.39,1875.50,20.23,21.50
1443,立益紡織,,9.26,-2.02,608.79,-20.81,-28.32
1444,力麗,,7.03,0.87,5213.84,-2.85,-2.41
1445,大宇紡織,,8.06,0.35,785.43,-0.44,-0.46
1446,宏和,,11.21,-11.25,254.92,-9.23,-10.00
1447,力鵬,,3.25,-1.00,7931.34,-5.42,-4.31
1449,佳和實業,,10.20,-2.59,1402.99,-2.74,-2.72
1451,年興紡織,,5.80,-0.62,4914.49,2.10,1.60
1452,宏益,,17.86,12.30,1097.19,12.66,10.39
1453,大將,,-10.24,-49.97,36.17,-42.20,-42.97
1454,台富,,9.35,2.33,941.29,1.61,1.38
1455,集盛,,3.36,0.15,7243.49,0.16,0.09
1456,怡華,,14.42,2.88,394.75,0.45,-1.09
1457,宜進,,10.30,5.07,2480.29,3.12,2.36
1459,聯發紡織,,1.95,-2.90,1612.50,-3.76,-3.46
1460,宏遠,,20.18,3.93,4113.35,2.80,2.00
1463,強盛染整,,50.42,40.90,1101.12,44.76,42.72
1464,得力實業,,19.44,6.88,3633.93,6.17,5.51
1465,偉全實業,,11.82,0.85,922.39,3.29,3.50
1466,聚隆,,8.48,2.09,1863.39,0.35,0.29
1467,南緯實業,,19.17,-0.39,3172.17,-1.34,-3.18
1468,昶和纖維,,19.73,1.20,345.11,-4.89,-4.89
1470,大統新創,,22.42,6.46,366.87,6.88,5.74
1471,首利,,-7.23,-35.37,506.06,-44.31,-45.29
1472,三洋紡,,4.90,-6.63,317.14,-7.40,-7.31
1473,台南企業,,12.74,0.28,4002.30,0.75,0.42
1474,弘裕,,15.42,6.71,1556.96,4.00,3.11
1475,本盟光電,,-14.05,-37.11,74.97,-48.55,-48.45
1476,儒鴻,,26.70,15.88,11089.23,12.41,9.57
1477,聚陽實業,,18.83,7.33,10218.19,6.43,5.12
1503,士電,,20.35,7.41,10668.20,9.15,6.70
1504,東元電機,,25.12,7.64,24989.43,8.94,7.40
1506,正道,,16.96,1.76,698.70,-2.72,3.73
1507,永大機電,,28.18,11.05,8769.34,11.80,8.24
1512,瑞利,,3.21,-13.92,1287.45,-15.57,-15.85
1513,中興電,,15.27,3.62,5036.69,4.63,4.15
1514,亞力電機,,13.77,2.26,1536.97,2.42,2.19
1515,力山,,22.07,2.38,1869.39,2.33,1.92
1516,川飛,,2.66,1.05,395.86,2.89,2.88
1517,利奇機械,,15.05,1.84,1391.76,4.07,-4.55
1519,華城電機,,15.26,3.93,2536.71,4.61,3.73
1521,大億,,17.47,8.20,2998.83,10.01,8.78
1522,堤維西,,22.80,5.10,8092.80,7.03,5.85
1524,耿鼎企業,,20.26,10.10,1292.91,5.76,4.09
1525,江申工業,,8.97,1.03,595.66,51.38,45.58
1526,日馳,,27.57,15.40,558.56,7.98,6.23
1527,鑽全,,29.06,20.86,1936.17,-0.41,-0.13
1528,恩德,,30.28,0.99,1884.78,1.30,1.33
1529,樂士,,11.54,4.44,185.10,12.14,11.99
1530,亞崴機電,,18.96,6.03,2011.05,3.77,1.90
1531,高林股,,26.87,11.89,1116.54,7.74,5.84
1532,勤美,,25.59,10.46,7408.66,11.21,8.39
1533,車王電,,38.52,11.82,1143.66,5.58,2.81
1535,中宇,,8.35,3.47,3939.99,1.85,1.31
1536,和大工業,,34.47,22.02,3343.03,19.52,17.83
1537,廣隆光電,,23.55,17.07,3701.08,15.58,12.19
1538,正峰新,,17.42,-8.01,371.32,-25.93,-25.93
1539,巨庭機械,,12.74,8.99,1477.37,2.17,1.30
1540,喬福機械,,25.44,14.84,299.67,2.95,1.61
1541,錩泰,,17.35,7.77,1675.85,3.49,2.40
1558,伸興,,25.43,13.62,2661.33,8.99,6.33
1560,中砂,,34.28,19.86,2207.73,19.01,15.66
1568,倉佑,,14.76,7.51,1656.62,7.40,5.39
1582,信錦,,24.68,15.17,4385.44,15.49,10.84
1583,程泰,,23.95,8.44,3405.69,5.43,3.35
1587,吉茂,,21.92,2.48,688.96,1.25,1.30
1589,永冠-KY,,26.17,8.41,3128.52,9.99,8.33
1590,亞德客-KY,,52.97,31.65,6409.43,33.29,25.15
1592,英瑞-KY,,36.85,9.43,3026.74,7.57,4.95
1598,岱宇國際,,29.46,0.02,1886.54,-7.10,-7.25
