公司代號,公司名稱,合計：共 861 家,毛利率(%)(營業毛利)/(營業收入),營業利益率(%)(營業利益)/(營業收入),營業收入(百萬元),稅前純益率(%)(稅前純益)/(營業收入),稅後純益率(%)(稅後純益)/(營業收入)
1504,東元電機,,25.10,7.54,11916.18,7.08,5.33
1506,正道,,16.61,0.47,356.06,-5.99,6.98
1507,永大機電,,29.32,11.84,4149.68,12.15,9.11
1512,瑞利,,4.30,-10.49,755.33,-13.46,-13.75
1513,中興電,,20.20,6.53,2561.21,4.54,4.12
1514,亞力電機,,13.57,2.55,749.27,-0.05,0.14
1515,力山,,21.73,2.71,884.45,0.45,0.35
1516,川飛,,2.72,1.57,298.23,1.31,1.31
1517,利奇機械,,6.32,-8.67,677.45,-10.89,-9.46
1519,華城電機,,15.75,4.02,1190.42,3.53,2.95
1521,大億,,19.24,9.39,1376.02,10.69,10.08
1522,堤維西,,24.76,7.24,4094.45,8.60,6.87
1524,耿鼎企業,,20.83,10.94,644.18,2.05,1.60
1525,江申工業,,9.48,0.37,266.81,48.85,49.95
1526,日馳,,27.55,12.56,233.49,-14.31,-12.18
1527,鑽全,,28.23,20.35,994.42,-29.73,-28.89
1528,恩德,,30.73,0.19,852.94,-1.97,-1.84
1529,樂士,,12.18,0.47,50.19,27.61,27.61
1530,亞崴機電,,18.37,4.43,957.89,-2.31,-2.68
1531,高林股,,26.30,12.94,584.62,3.01,1.78
1532,勤美,,23.94,9.24,3450.67,11.25,9.24
1533,車王電,,38.02,10.07,528.22,-1.48,-4.43
1535,中宇,,10.83,5.41,1771.07,1.41,1.10
1536,和大工業,,34.80,23.03,1699.74,15.79,15.00
1537,廣隆光電,,24.17,17.56,1720.74,13.27,10.72
1538,正峰新,,18.08,-7.46,182.88,6.90,6.90
1539,巨庭機械,,13.04,9.32,766.25,-4.54,-3.68
1540,喬福機械,,29.70,19.96,147.42,-18.51,-18.26
1541,錩泰,,18.50,8.98,837.39,-0.38,-0.50
1558,伸興,,24.09,6.84,973.53,-8.72,-8.41
1560,中砂,,33.67,19.23,1100.77,16.57,13.76
1568,倉佑,,15.16,8.32,812.58,4.60,3.04
1582,信錦,,23.88,13.81,2053.91,15.09,10.24
1583,程泰,,24.05,6.58,1585.59,-1.64,-1.93
1589,永冠-KY,,26.88,7.49,1434.68,6.37,4.55
1590,亞德客-KY,,51.84,29.14,2812.76,29.75,22.27
1592,英瑞-KY,,38.03,11.03,1468.69,8.80,6.06
1598,岱宇國際,,31.86,6.19,1111.19,-7.26,-7.66
1603,華電,,11.52,4.91,573.81,18.35,15.67
1604,聲寶,,26.23,1.51,2120.19,4.59,4.56
1605,華新,,5.71,3.24,37480.71,2.83,2.27
1608,華榮,,7.76,5.41,1937.89,7.86,6.88
1609,大亞電線,,8.33,3.34,3689.19,1.62,1.40
1611,中電,,24.06,2.64,663.37,1.66,1.84
1612,宏泰,,8.98,2.98,897.45,7.72,7.18
1614,三洋電,,17.53,2.91,1164.71,3.24,2.70
1615,大山,,8.42,2.61,488.27,1.71,1.32
1616,億泰,,3.15,-2.91,613.72,-1.80,-1.80
1617,榮星電線,,15.11,7.56,720.45,0.50,0.06
1618,合機公司,,4.53,-1.60,382.85,-1.68,-1.84
1626,艾美特-KY,,19.06,1.49,2624.51,2.14,1.44
1701,中化,,30.80,6.79,1544.71,7.60,6.16
1702,南僑投控,,33.18,8.33,3791.75,8.36,5.51
1707,葡萄王,,86.80,22.31,2003.93,23.03,19.04
1708,東鹼,,28.41,14.64,937.78,12.35,10.46
1709,和益化工,,19.78,11.86,2356.42,8.15,6.53
1710,東聯,,19.59,16.61,7116.33,13.25,10.70
1711,永光化學,,21.13,4.99,2318.07,4.99,4.08
1712,興農,,26.07,4.54,4135.35,3.87,3.36
1713,國化,,15.84,7.50,152.81,13.10,12.03
1714,和桐化學,,8.24,2.41,7964.81,1.78,1.41
1717,長興材料,,18.38,4.01,9186.92,6.04,5.22
1720,生達化學,,45.43,13.21,909.93,9.13,7.41
1721,三晃,,13.09,5.50,889.71,1.42,1.24
1722,台肥,,21.88,11.66,3248.93,19.03,15.61
1723,中碳,,23.00,19.60,1687.25,19.33,16.68
1724,台硝,,13.18,6.28,544.60,0.44,0.38
1725,元禎,,4.86,2.41,2437.50,1.28,1.08
1726,永記造漆,,27.16,15.13,1783.03,14.00,11.81
1727,中華化學,,11.27,3.35,558.35,2.17,2.08
1730,花仙子,,45.88,11.99,499.66,12.19,9.64
1731,美吾華,,44.33,9.99,377.59,7.72,5.67
1732,毛寶,,38.19,-2.27,145.81,-2.56,-2.28
1733,五鼎,,17.78,3.45,424.99,-9.17,-9.17
1734,杏輝藥品,,36.10,-5.94,508.09,-7.30,-8.51
1735,日勝化,,13.28,3.03,790.28,0.61,0.21
1736,喬山健康,,46.31,-2.35,4439.53,-1.22,-1.34
1737,臺鹽,,41.93,16.40,655.82,12.26,10.08
1762,中化合成,,30.39,0.28,272.23,-4.83,-4.37
1773,勝一化工,,26.72,14.53,1699.23,14.02,11.69
1776,展宇,,17.46,3.82,487.20,2.99,1.41
1783,和康生技,,38.45,1.35,92.67,-4.16,-4.26
1786,科妍,,51.50,1.82,48.97,-4.30,-4.30
1789,台灣神隆,,51.16,24.07,919.49,20.91,18.50
1802,台玻,,16.08,4.18,9717.78,0.36,-0.26
1805,寶徠,,4.13,-1066.60,2.11,-812.83,-812.83
1806,冠軍,,16.60,-18.23,897.69,-23.62,-23.82
1808,潤隆,,19.32,1.88,475.77,1.66,0.93
1809,中釉,,20.80,-2.07,539.07,-5.92,-7.95
1810,和成,,24.55,-0.60,1262.54,2.10,1.51
1817,凱撒衛浴,,32.31,12.66,493.25,12.91,9.73
1902,台紙,,18.34,7.59,756.14,7.35,5.27
