公司代號,公司名稱,合計：共 778 家,毛利率(%)(營業毛利)/(營業收入),營業利益率(%)(營業利益)/(營業收入),營業收入(百萬元),稅前純益率(%)(稅前純益)/(營業收入),稅後純益率(%)(稅後純益)/(營業收入)
1101,台泥,,12.95,8.40,24114.05,9.71,8.29
1102,亞泥,,6.40,2.44,13931.55,11.41,9.84
1103,嘉泥,,-6.06,-20.21,741.19,4.56,8.05
1104,環球水泥,,9.78,2.42,1248.07,14.92,14.70
1108,幸福水泥,,12.61,8.16,1203.67,7.03,5.31
1109,信大水泥,,13.78,3.92,916.24,4.76,3.83
1110,東泥,,14.47,11.25,460.23,12.93,13.28
1201,味全公司,,32.45,5.62,6700.85,5.25,3.69
1203,味王公司,,20.57,8.07,1643.33,8.61,7.31
1210,大成長城,,9.08,1.17,21357.13,1.58,1.36
1213,大飲,,17.03,6.68,174.68,6.42,5.10
1215,卜蜂企業,,8.68,2.24,4380.23,2.04,1.57
1216,統一,,31.35,5.50,104634.79,6.67,5.49
1217,愛之味,,31.50,-1.38,886.49,3.05,1.44
1218,泰山企業,,11.84,-0.35,2371.39,-0.03,-0.04
1219,福壽實業,,4.21,-1.72,2342.16,-1.48,-1.48
1220,台榮,,10.30,3.16,810.34,4.04,3.95
1225,福懋油,,4.64,1.12,3388.53,0.90,0.72
1227,佳格,,31.17,14.76,5076.33,16.59,13.78
1229,聯華實業,,10.53,3.03,1254.00,18.52,18.31
1231,聯華食品,,27.31,7.91,1482.50,9.05,7.52
1232,大統益,,6.82,4.31,4882.49,5.32,4.35
1233,天仁,,61.03,14.82,532.76,15.57,12.89
1234,黑松,,24.39,0.30,1574.86,8.12,6.52
1235,興泰,,1.21,-12.40,58.08,-55.59,-59.98
1236,宏亞食品,,29.35,10.19,726.31,10.28,8.65
1256,鮮活果汁-KY,,29.20,16.97,341.58,19.03,13.40
1301,台塑,,6.19,1.08,50044.54,11.28,10.99
1303,南亞塑膠,,11.17,5.56,74265.11,11.05,9.34
1304,台聚,,9.17,3.19,12701.40,5.54,4.96
1305,華夏,,18.74,10.82,3201.92,12.95,11.01
1307,三芳化工,,23.81,9.75,2605.64,11.72,8.46
1308,亞聚,,8.08,4.03,1227.23,11.61,10.65
1309,台達化工,,3.09,-0.41,4389.76,0.98,1.19
1310,台苯,,3.43,1.07,4958.71,0.56,0.52
1312,國喬石化,,8.38,3.61,5981.40,4.37,3.64
1313,聯成,,3.32,0.02,11397.75,1.61,1.48
1314,中石化,,-1.42,-4.58,9074.55,-2.85,-2.84
1315,達新工業,,17.15,-1.16,700.17,0.41,0.68
1316,上曜,,25.71,-7.63,342.81,-7.81,-8.28
1319,東陽,,22.47,7.24,4617.09,8.61,7.25
1321,大洋,,6.60,-0.63,1228.60,0.11,0.11
1323,永裕,,23.84,11.12,777.65,11.17,8.46
1324,地球工業,,14.15,1.78,386.51,4.32,3.64
1325,恒大,,15.26,9.04,268.17,11.10,9.38
1326,台化,,9.09,6.07,105123.05,8.94,8.12
1337,再生-KY,,38.77,29.56,958.88,31.88,24.00
1338,廣華-KY,,21.16,3.32,1430.57,4.69,3.57
1339,昭輝,,35.51,19.66,314.76,26.88,22.31
1402,遠東新,,18.98,5.48,57620.49,7.15,6.19
1410,南染,,25.92,12.42,138.78,14.68,14.07
1413,宏洲纖維,,-3.71,-6.26,1128.66,-6.29,-6.34
1414,東和,,13.03,8.13,308.41,10.49,10.49
1416,廣豐,,77.15,-43.25,37.72,-26.23,-26.24
1417,嘉裕,,25.28,-4.61,830.91,-0.32,-1.19
1418,東華,,1.33,-6.99,473.88,-5.12,-5.26
1419,新紡,,23.32,-4.57,223.16,-5.24,-5.79
1423,利華羊毛,,11.73,7.84,232.65,7.02,9.10
1432,大魯閣實業,,6.95,-52.06,117.90,-49.45,-49.45
1434,福懋興業,,9.89,4.78,11703.21,5.37,4.49
1435,中福國際,,82.19,-29.98,5.87,-20.78,-20.78
1436,華友聯,,35.10,-1423.84,0.60,-517.05,-517.05
1437,勤益投控,,0.99,-6.81,326.32,-11.33,-11.63
1438,裕豐,,68.55,33.94,8.85,42.22,38.12
1439,中和羊毛,,1.85,-2.56,128.88,2.39,2.05
1440,南紡,,12.87,6.63,5107.41,8.46,6.50
1441,大東紡織,,8.42,-1.92,325.83,1.74,1.79
1442,名軒,,41.39,34.68,974.12,34.84,32.69
1443,立益紡織,,11.25,-1.70,391.22,-2.11,-2.11
1444,力麗,,5.86,1.93,2816.75,6.99,7.10
1445,大宇紡織,,7.65,0.85,456.74,4.09,3.84
1446,宏和,,25.10,6.33,204.21,7.75,6.03
1447,力鵬,,7.28,4.87,6799.61,6.09,5.10
1449,佳和實業,,2.64,-10.46,788.66,-7.35,-7.35
1451,年興紡織,,10.60,4.33,3164.67,5.72,4.70
1452,宏益,,9.07,5.50,543.44,6.47,5.39
1453,大將,,12.65,-3.86,44.64,-1.88,-4.63
1454,台富,,5.81,-0.29,491.90,0.50,0.42
1455,集盛,,6.62,4.08,4000.95,4.80,4.03
1456,怡華,,8.43,1.22,203.19,-9.12,-6.90
1457,宜進,,4.34,0.38,967.10,0.26,0.26
1459,聯發紡織,,3.61,-0.67,897.47,-0.95,-1.24
1460,宏遠,,13.89,0.95,1738.22,4.32,4.32
1463,強盛染整,,9.07,-6.41,199.47,-0.34,-0.34
1464,得力實業,,12.18,-0.69,978.91,0.49,0.05
1465,偉全實業,,11.27,1.61,533.26,2.86,2.42
1466,聚隆,,8.06,1.54,1289.24,1.90,1.57
1467,南緯實業,,19.01,2.46,1678.24,3.69,2.51
1468,昶和纖維,,2.70,-16.27,203.28,-10.96,-10.96
1470,大統新創,,15.03,4.34,163.82,5.35,4.44
1471,首利,,3.23,-3.51,1483.65,-1.00,-1.10
1472,三洋紡,,-3.04,-17.79,205.62,-17.67,-17.67
1473,台南企業,,27.70,4.05,2784.71,5.10,3.12
1474,弘裕,,5.98,0.10,943.83,1.14,0.73
1475,本盟光電,,-21.90,-49.71,53.00,-47.02,-46.96
1476,儒鴻,,28.33,17.75,3673.27,19.24,16.10
1477,聚陽實業,,20.83,9.99,4297.62,10.49,8.99
1503,士電,,21.46,7.86,4269.68,8.65,6.70
1504,東元電機,,23.87,8.68,13265.37,9.24,6.53
1506,正道,,7.07,-7.87,347.34,-6.81,-6.81
1507,永大機電,,26.28,10.62,4135.40,11.21,8.17
1512,瑞利,,13.93,-1.97,795.86,-1.95,-3.04
1513,中興電,,16.76,3.76,2206.39,5.67,4.96
1514,亞力電機,,11.70,2.53,980.72,3.22,2.96
1515,力山,,20.50,0.91,669.73,1.99,1.64
1516,川飛,,10.75,3.24,31.66,3.25,3.25
1517,利奇機械,,14.85,5.62,919.27,9.36,6.86
1519,華城電機,,14.89,-0.54,909.14,1.76,1.39
1521,大億,,13.79,3.59,959.80,6.83,5.67
1522,堤維西,,17.29,2.45,3847.45,3.94,3.30
1524,耿鼎企業,,10.97,-0.68,599.93,0.63,0.64
1525,江申工業,,6.43,-2.40,243.00,22.62,20.16
1526,日馳,,20.19,6.07,168.47,5.53,5.55
1527,鑽全,,21.61,7.43,542.53,43.89,36.43
1528,恩德,,23.05,0.31,686.06,4.36,3.15
1529,樂士,,14.41,-37.19,17.20,-38.21,-38.21
1530,亞崴機電,,20.78,6.63,656.09,12.85,10.90
1531,高林股,,22.07,9.24,814.39,19.17,11.47
1532,勤美,,21.63,9.27,3021.74,12.39,11.10
1533,車王電,,33.53,4.02,493.07,9.81,7.22
1535,中宇,,10.90,6.44,2725.94,8.04,6.50
1536,和大工業,,26.35,12.77,876.29,14.01,12.49
1537,廣隆光電,,22.16,14.97,1349.63,17.11,13.67
1538,正峰新,,13.34,-39.60,160.88,-53.52,-53.52
1539,巨庭機械,,10.75,4.35,438.78,8.27,6.71
1540,喬福機械,,22.48,9.62,189.98,20.54,17.29
1541,錩泰,,14.88,-3.54,375.03,-0.80,-1.70
1558,伸興,,22.68,12.53,1117.90,15.89,12.86
1560,中砂,,26.06,14.36,981.92,14.48,11.97
1582,信錦,,22.55,10.66,1955.55,10.77,6.67
1583,程泰,,26.64,8.83,1265.92,14.56,11.65
1589,永冠-KY,,25.29,11.52,1169.19,9.62,7.23
1590,亞德客-KY,,53.61,25.92,1447.21,25.49,18.20
1603,華電,,11.90,4.77,495.67,2.95,2.43
1604,聲寶,,20.44,1.16,2859.20,4.35,4.35
1605,華新,,3.09,-0.33,34450.92,1.03,0.55
1608,華榮,,1.24,-0.85,2665.31,8.79,8.91
1609,大亞電線,,5.29,0.60,4358.51,0.94,0.64
1611,中電,,17.92,4.12,1059.22,8.96,7.21
1612,宏泰,,2.16,-2.96,1026.15,2.02,2.04
1614,三洋電,,16.07,0.21,1146.52,1.96,1.68
1615,大山,,4.58,1.18,784.40,1.26,1.04
1616,億泰,,2.46,-4.02,702.66,8.39,8.45
1617,榮星電線,,5.71,-0.47,920.42,1.94,1.84
1618,合機公司,,5.08,0.09,600.19,0.81,0.67
1626,艾美特-KY,,19.34,2.93,2991.81,9.40,8.78
1701,中化,,28.54,2.44,1265.28,4.10,3.44
1702,南僑投控,,31.80,8.03,2917.69,7.61,5.08
1707,葡萄王,,87.47,20.39,1227.95,22.72,19.01
1708,東鹼,,21.55,9.11,996.70,18.89,15.86
1709,和益化工,,10.30,4.46,3037.00,4.80,3.88
1710,東聯,,14.86,11.12,3544.93,7.69,6.48
1711,永光化學,,21.99,5.36,1970.67,4.90,3.65
1712,興農,,24.23,4.32,3785.05,5.18,3.71
1713,國化,,15.24,6.95,164.60,8.62,7.28
1714,和桐化學,,5.23,1.33,11745.38,1.13,0.79
1717,長興材料,,16.29,3.92,8020.80,4.63,3.32
1720,生達化學,,44.28,15.67,783.62,18.48,15.23
1721,三晃,,8.83,-1.03,403.65,1.11,1.11
1722,台肥,,30.74,24.06,5904.68,42.71,38.22
1723,中碳,,31.65,27.44,2077.49,29.78,25.52
1724,台硝,,19.13,8.73,431.82,17.71,15.41
1725,元禎,,3.42,1.10,2252.47,1.00,0.81
1726,永記造漆,,26.06,14.30,2061.54,18.69,15.49
1727,中華化學,,15.19,5.92,517.89,5.36,4.41
1730,花仙子,,45.08,7.19,356.56,8.33,6.46
1731,美吾華,,25.55,3.06,573.22,3.75,3.87
1732,毛寶,,39.68,1.39,158.42,1.60,0.98
1733,五鼎,,32.79,22.75,523.97,27.67,24.03
1734,杏輝藥品,,34.92,-2.91,485.48,34.82,32.28
1735,日勝化,,9.64,0.28,1046.56,0.64,0.02
1736,喬山健康,,50.04,1.37,3317.35,3.17,2.42
1737,臺鹽,,34.69,4.62,562.57,9.01,7.49
1762,中化合成,,37.52,14.01,298.06,17.01,14.01
1773,勝一化工,,16.36,8.26,1577.08,10.37,8.74
1786,科妍,,53.93,10.06,44.07,16.35,16.35
1789,台灣神隆,,55.23,32.76,1185.62,34.35,29.53
1802,台玻,,5.61,-8.99,7730.14,-13.35,-13.54
1805,寶徠,,29.16,-40.07,36.73,-43.31,-43.72
1806,冠軍,,27.88,-4.65,1279.12,-7.16,-7.62
1808,潤隆,,62.86,3.62,92.52,12.87,12.87
1809,中釉,,13.11,-3.75,704.95,-2.75,-3.54
1810,和成,,24.74,-2.67,1234.89,1.81,1.45
1902,台紙,,9.34,0.56,1711.37,2.28,0.93
1903,士紙,,4.14,-8.95,514.60,-8.69,-8.69
1904,正隆,,17.93,5.14,10372.36,4.59,3.48
1905,華紙,,4.85,-2.49,4859.83,-2.11,-2.10
1906,寶隆,,14.65,-0.90,138.37,-7.92,-7.92
1907,永豐餘,,15.26,1.47,13653.08,2.10,1.26
1909,榮成,,15.87,7.15,5212.99,5.39,4.10
2002,中鋼,,10.28,6.68,88460.52,6.42,5.51
2006,東和鋼鐵,,10.07,5.97,9002.06,6.66,5.66
2007,燁興公司,,-2.44,-5.82,1743.16,-9.09,-9.58
2008,高興昌,,-34.09,-43.65,270.28,229.50,227.01
2009,第一伸銅,,0.74,-1.15,891.72,1.79,1.98
2010,春源鋼鐵,,5.21,0.57,4667.45,2.43,2.05
2012,春雨,,16.27,2.40,1897.91,4.35,2.72
2013,中鋼構,,4.74,2.55,4710.86,3.48,2.92
2014,中鴻,,6.48,3.56,12107.24,3.38,3.35
2015,豐興鋼鐵,,8.32,6.05,7600.69,6.55,5.49
2017,官田鋼,,9.24,3.90,1655.64,3.50,3.47
2020,美亞鋼管,,12.54,7.18,1267.88,7.98,6.78
2022,聚亨,,1.45,-2.94,3019.46,2.53,7.81
2023,燁輝,,6.92,2.64,13854.97,2.62,2.28
2024,志聯工業,,9.52,3.17,472.66,1.61,1.61
2025,千興,,-4.57,-6.54,1020.69,-7.97,-7.97
2027,大成鋼,,11.83,1.68,9337.45,1.98,1.36
2028,威致鋼鐵,,1.92,-0.58,2317.21,-1.91,-1.91
2029,盛餘,,11.49,5.65,3801.14,6.04,4.99
2030,彰源,,8.40,2.37,3282.58,1.46,1.08
2031,新光鋼,,9.31,10.51,2424.88,6.82,5.86
2032,新鋼工業,,5.93,2.81,876.28,3.46,2.94
2033,佳大世界,,8.25,-0.95,249.70,0.13,0.12
2034,允強,,7.55,3.48,5458.90,4.10,3.60
2038,海光企業,,2.73,1.01,3073.41,0.46,0.39
2049,上銀科技,,34.95,6.96,2373.56,9.45,7.43
2059,川湖,,50.81,38.13,865.67,53.70,46.97
2062,橋椿,,25.56,15.08,1283.27,19.11,15.83
2101,南港輪胎,,11.29,2.02,2885.14,-0.58,-0.60
2102,泰豐輪胎,,22.14,10.98,2088.36,11.79,8.93
2103,台橡,,15.44,9.77,10102.02,9.68,7.23
2104,國際中橡,,16.82,9.54,5423.74,8.16,3.70
2105,正新,,24.31,14.64,30095.62,17.50,14.20
2106,建大,,24.75,13.63,6776.22,14.28,11.35
2107,厚生,,45.08,30.34,603.41,42.70,39.97
2108,南帝化工,,15.61,6.94,2432.73,7.75,6.31
2109,華豐橡膠,,16.91,5.37,1851.11,5.23,4.01
2114,鑫永銓,,34.05,26.11,435.56,29.91,26.28
2201,裕隆汽車,,18.92,3.25,20225.57,7.55,6.52
2204,中華汽車,,13.91,1.64,10062.68,5.68,4.95
2206,三陽工業,,15.49,0.19,8170.84,0.52,0.11
2207,和泰汽車,,11.72,5.30,38299.01,7.22,6.07
2208,台船公司,,4.97,3.15,6141.54,3.50,2.93
2227,裕隆日產,,15.17,3.62,7596.03,20.33,16.86
2231,為升,,41.85,24.14,333.07,27.52,23.77
2301,光寶科技,,14.72,4.21,46768.49,4.92,3.83
2302,麗正,,22.20,-9.01,140.72,-10.95,-11.50
2303,聯電,,16.17,1.06,27781.42,27.15,23.09
