證券名稱,成交股數,成交筆數,成交金額,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,最後揭示買價,最後揭示買量,最後揭示賣價,最後揭示賣量,本益比,Unnamed: 16
台泥,6845545,"2,960",248862420,36.20,36.45,36.05,36.45,+,0.2,36.40,4,36.45,581,10.01,
亞泥,6392048,"3,668",229155565,35.80,36.00,35.55,36.00,+,0.2,35.90,250,36.00,839,11.01,
嘉泥,188206,72,2579506,13.75,13.80,13.70,13.70,-,0.05,13.70,4,13.75,61,4.84,
環泥,86975,75,1640424,18.95,18.95,18.80,18.90,-,0.05,18.90,2,18.95,5,10.80,
幸福,129120,17,956626,7.44,7.44,7.37,7.42,-,0.02,7.37,11,7.42,25,0.00,
信大,14050,12,194147,13.85,13.85,13.80,13.85,-,0.05,13.85,1,13.90,1,6.53,
東泥,153500,54,2344700,15.60,15.75,15.20,15.25,-,0.15,15.20,72,15.35,2,61.00,
味全,217725,145,4899555,22.50,22.60,22.45,22.60,,0.0,22.50,1,22.60,56,7.15,
味王,26328,23,686478,26.00,26.20,25.90,26.15,,0.0,26.05,1,26.15,1,14.45,
大成,1314121,939,45170822,34.50,34.50,34.20,34.50,,0.0,34.45,7,34.50,176,11.17,
大飲,9000,4,90100,10.00,10.10,10.00,10.10,,0.0,10.00,5,10.10,8,0.00,
卜蜂,382427,314,20404079,53.10,53.60,53.10,53.60,+,0.2,53.50,1,53.60,78,14.03,
統一,3727348,"2,104",271309651,73.40,73.40,72.30,72.50,-,0.4,72.50,21,72.60,1,10.36,
愛之味,288835,140,2015075,6.94,7.00,6.94,6.98,+,0.04,6.98,5,6.99,38,17.45,
泰山,234479,165,4190906,17.80,17.95,17.80,17.90,+,0.1,17.85,7,17.90,34,19.67,
福壽,22869,13,414983,18.15,18.15,18.15,18.15,,0.0,18.15,8,18.20,6,106.76,
台榮,40200,25,439750,10.90,11.00,10.90,11.00,+,0.1,10.90,5,10.95,2,22.92,
福懋油,1048,23,76164,72.70,72.70,72.70,72.70,+,0.4,71.60,1,72.80,1,89.75,
佳格,423904,384,21267676,50.00,50.40,50.00,50.30,+,0.1,50.10,6,50.30,87,16.07,
聯華,662693,514,19957270,30.00,30.20,30.00,30.10,+,0.1,30.10,2,30.15,23,12.14,
聯華食,73040,84,2857460,39.40,39.40,39.00,39.00,-,0.4,39.00,27,39.15,2,13.00,
大統益,22463,31,2242363,99.80,99.90,99.70,99.80,+,0.1,99.80,1,99.90,5,19.12,
天仁,23100,10,882420,38.20,38.20,38.20,38.20,+,0.1,38.00,5,38.25,3,18.91,
黑松,34100,21,1021637,29.95,30.00,29.95,30.00,,0.0,29.95,1,30.00,27,18.07,
興泰,122220,24,3267752,26.85,27.25,26.70,26.80,,0.0,26.80,3,27.00,1,9.96,
宏亞,103007,59,1419455,13.70,13.95,13.55,13.75,+,0.05,13.60,2,13.80,12,0.00,
鮮活果汁-KY,30293,26,4688915,155.50,155.50,154.00,154.50,-,1.5,154.50,3,155.50,1,11.55,
綠悅-KY,3084668,"1,945",117394731,36.80,38.65,36.45,38.05,+,1.7,38.00,29,38.05,394,0.00,
台塑,4427465,"2,304",451157465,102.50,103.00,101.00,101.00,-,2.0,101.00,102,101.50,88,10.70,
南亞,8595526,"3,904",644759230,75.70,75.70,74.50,74.60,-,1.8,74.60,212,74.70,19,8.91,
台聚,478909,267,5652263,11.85,11.85,11.75,11.85,-,0.05,11.80,25,11.85,66,14.63,
華夏,784421,474,18029955,23.10,23.10,22.90,23.00,-,0.2,22.95,33,23.00,13,7.62,
三芳,42564,36,1025562,24.25,24.25,24.05,24.05,-,0.25,24.05,4,24.20,7,27.64,
亞聚,166769,86,2284937,13.75,13.75,13.65,13.65,-,0.15,13.65,42,13.70,29,21.33,
台達化,368108,148,3656921,9.97,9.97,9.92,9.92,-,0.07,9.92,15,9.95,15,5.19,
台苯,2504587,"1,197",57301228,22.75,23.20,22.65,23.00,+,0.3,22.90,61,23.00,170,9.31,
國喬,3918277,"1,462",92781031,23.85,24.00,23.50,23.60,-,0.25,23.60,45,23.65,144,5.73,
國喬特,5000,4,177850,35.45,35.65,35.45,35.65,-,0.05,35.45,1,35.70,7,0.00,
聯成,675490,313,8543266,12.70,12.70,12.55,12.70,,0.0,12.65,5,12.70,95,11.65,
中石化,5664962,"1,534",59984582,10.55,10.65,10.50,10.60,,0.0,10.60,9,10.65,"1,032",5.58,
達新,21500,37,571487,26.65,26.75,26.40,26.75,+,0.05,26.60,2,26.75,2,19.81,
上曜,174251,110,2138274,12.25,12.35,12.25,12.25,,0.0,12.25,23,12.30,12,2.22,
東陽,608185,396,23634465,38.90,39.10,38.65,39.00,-,0.2,39.00,3,39.05,16,10.99,
大洋,27000,16,701250,25.95,26.05,25.95,26.05,+,0.15,26.05,6,26.10,5,0.00,
永裕,27000,19,974250,36.10,36.20,36.00,36.15,-,0.05,36.00,2,36.15,1,11.16,
地球,6017,23,64920,10.80,10.85,10.75,10.85,+,0.05,10.75,13,10.85,2,180.83,
恆大,38000,23,622800,16.40,16.45,16.30,16.45,+,0.05,16.35,3,16.45,7,23.17,
台化,3127919,"1,622",333818333,107.50,107.50,106.00,106.50,-,1.5,106.00,248,107.00,529,9.83,
再生-KY,118702,68,774436,6.59,6.59,6.51,6.54,-,0.01,6.53,1,6.56,5,0.00,
廣華-KY,139027,113,10578458,76.00,76.30,76.00,76.10,+,0.1,76.10,4,76.20,2,9.66,
昭輝,11000,11,384950,35.00,35.05,34.90,35.05,+,0.05,34.90,2,35.10,1,6.97,
勝悅-KY,126230,116,2198602,17.50,17.50,17.35,17.45,-,0.05,17.35,15,17.45,1,5.76,
富林-KY,20000,14,962300,48.30,48.30,47.20,48.10,+,0.4,47.20,1,48.20,2,8.26,
遠東新,8120644,"2,736",238293697,29.10,29.55,29.10,29.35,-,0.05,29.30,"1,719",29.35,143,12.60,
新纖,510313,263,5993251,11.70,11.80,11.70,11.75,-,0.05,11.75,3,11.80,284,8.39,
南染,32125,16,780300,24.35,24.35,24.25,24.25,+,0.25,24.10,3,24.25,4,16.96,
宏洲,26142,24,279896,10.80,10.80,10.65,10.65,,0.0,10.65,17,10.75,4,6.05,
東和,23462,14,166859,7.13,7.13,7.10,7.12,-,0.01,7.11,7,7.12,7,79.11,
廣豐,15861,30,224036,14.05,14.20,14.05,14.15,+,0.05,14.10,9,14.15,3,22.82,
