證券名稱,成交股數,成交筆數,成交金額,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,最後揭示買價,最後揭示買量,最後揭示賣價,最後揭示賣量,本益比,Unnamed: 16
台泥,11808482,"4,417",431875477,36.40,36.75,36.30,36.60,+,0.2,36.55,19,36.60,122,10.05,
亞泥,8781080,"3,908",316660530,35.80,36.25,35.70,36.20,+,0.2,36.20,152,36.25,234,11.07,
嘉泥,440584,171,6078495,13.75,13.85,13.75,13.80,+,0.05,13.80,9,13.85,117,4.88,
環泥,204474,150,3876776,19.05,19.10,18.85,19.10,+,0.05,19.05,2,19.10,4,10.91,
幸福,84578,18,624971,7.39,7.40,7.34,7.39,,0.0,7.39,12,7.40,10,0.00,
信大,23000,11,317450,13.80,13.85,13.80,13.85,,0.0,13.85,1,13.90,5,6.53,
東泥,63048,23,988243,15.60,15.80,15.60,15.65,-,0.15,15.65,8,15.70,7,62.60,
味全,268299,211,6016754,22.40,22.50,22.35,22.35,-,0.1,22.35,12,22.40,9,7.07,
味王,24131,19,628912,26.00,26.25,25.95,26.20,+,0.2,26.00,9,26.20,10,14.48,
大成,789433,553,27170784,34.40,34.50,34.30,34.35,+,0.05,34.35,13,34.40,9,11.12,
大飲,27597,20,275807,10.00,10.05,9.97,9.98,-,0.02,9.98,11,10.05,12,0.00,
卜蜂,560143,432,30107871,53.40,54.20,53.40,53.60,+,0.2,53.60,21,53.70,3,14.03,
統一,7497390,"3,372",549120770,72.40,73.50,72.20,73.30,+,0.9,73.10,62,73.30,178,10.47,
愛之味,242165,118,1682049,6.96,6.97,6.93,6.94,-,0.02,6.94,18,6.96,8,17.35,
泰山,755097,408,13400960,17.80,17.90,17.65,17.65,-,0.1,17.65,79,17.70,1,19.40,
福壽,24457,17,442926,18.10,18.15,18.05,18.15,,0.0,18.05,14,18.15,16,106.76,
台榮,395030,111,4211821,10.75,10.80,10.60,10.70,,0.0,10.65,1,10.70,18,22.29,
福懋油,14,10,994,--,--,--,--,,0.0,73.00,2,74.80,1,90.12,
佳格,1365063,624,68247956,50.00,50.20,49.90,50.20,+,0.25,50.00,5,50.20,34,16.04,
聯華,2392823,"1,339",71699310,30.00,30.10,29.85,29.90,-,0.1,29.90,156,30.00,146,12.06,
聯華食,106181,108,4131334,38.90,39.10,38.80,38.80,-,0.05,38.80,3,38.85,3,12.93,
大統益,23365,24,2333365,99.70,99.90,99.70,99.90,+,0.2,99.90,1,100.00,12,19.14,
天仁,6055,4,231098,38.00,38.20,38.00,38.20,+,0.05,38.05,5,38.15,2,18.91,
黑松,34501,21,1032524,29.90,29.95,29.90,29.95,,0.0,29.95,8,30.00,42,18.04,
興泰,129000,19,3466350,26.80,27.05,26.80,27.05,,0.0,27.00,4,27.05,1,10.06,
宏亞,16063,16,220072,13.70,13.70,13.70,13.70,-,0.05,13.65,3,13.70,1,0.00,
鮮活果汁-KY,20000,17,3114000,155.50,156.00,155.00,155.50,+,1.0,155.00,2,156.00,3,11.62,
綠悅-KY,512890,326,19304925,37.90,38.30,37.25,37.80,+,0.05,37.75,1,37.80,11,0.00,
台塑,6775430,"3,053",687668131,101.00,102.00,100.00,102.00,+,2.0,101.50,377,102.00,12,10.81,
南亞,6091994,"3,020",459795736,74.60,75.90,74.60,75.70,+,1.1,75.50,2,75.70,217,9.04,
台聚,468751,276,5529592,11.70,11.90,11.70,11.85,+,0.15,11.80,54,11.85,9,14.63,
華夏,1529726,762,35215798,22.70,23.15,22.70,23.05,+,0.25,23.05,42,23.10,34,7.63,
三芳,61870,52,1484030,24.00,24.10,23.90,24.10,+,0.1,23.95,6,24.10,4,27.70,
亞聚,299316,154,4027612,13.45,13.50,13.40,13.50,+,0.1,13.45,10,13.50,13,21.09,
台達化,370729,239,3680657,9.92,9.96,9.90,9.92,,0.0,9.92,33,9.93,10,5.19,
台苯,4525972,"2,038",105393138,23.20,23.60,23.00,23.45,+,0.35,23.40,12,23.45,5,9.49,
國喬,6366653,"2,189",153248172,24.15,24.20,23.90,24.05,,0.0,24.05,22,24.10,101,5.84,
國喬特,2000,2,71300,35.60,35.70,35.60,35.70,+,0.05,35.55,2,35.65,2,0.00,
聯成,1556813,692,19504847,12.55,12.65,12.45,12.55,,0.0,12.50,46,12.55,73,11.51,
中石化,9575181,"2,264",101828004,10.60,10.70,10.55,10.60,+,0.1,10.55,"1,320",10.60,39,5.58,
達新,32206,39,867943,26.70,27.40,26.70,27.10,+,0.4,27.00,2,27.10,2,20.07,
上曜,453324,207,5603640,12.30,12.45,12.30,12.30,,0.0,12.25,56,12.30,1,2.23,
