證券名稱,成交股數,成交筆數,成交金額,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,最後揭示買價,最後揭示買量,最後揭示賣價,最後揭示賣量,本益比,Unnamed: 16
台泥,6052601,"2,675",283464948,47.50,47.50,46.65,46.70,-,0.6,46.65,115,46.70,124,15.62,
亞泥,2278021,838,90724440,39.95,40.00,39.70,39.80,-,0.15,39.80,86,39.85,32,15.86,
嘉泥,144096,82,2158069,15.00,15.05,14.95,14.95,-,0.05,14.95,10,15.00,1,7.91,
環泥,203649,126,5691401,28.00,28.05,27.85,27.85,-,0.35,27.85,22,27.90,2,13.08,
幸福,2348518,639,24382934,10.20,10.50,10.20,10.30,+,0.2,10.25,146,10.30,3,14.51,
信大,368025,94,5030398,13.75,13.95,13.45,13.85,+,0.05,13.80,11,13.85,2,15.92,
東泥,38500,13,598449,15.80,15.80,15.50,15.50,-,0.4,15.50,28,15.75,3,51.67,
味全,1166425,613,44234920,37.90,38.25,37.60,38.20,+,0.55,38.20,9,38.25,35,25.64,
味王,61539,41,1466319,23.85,23.95,23.70,23.95,+,0.1,23.90,1,23.95,21,22.38,
大成,1968623,910,59949046,30.70,30.70,30.30,30.30,-,0.4,30.30,238,30.35,34,7.28,
大飲,54001,29,1013318,19.00,19.00,18.70,18.80,+,0.1,18.80,4,18.85,2,58.75,
卜蜂,890008,445,23131466,26.10,26.20,25.85,26.00,-,0.2,25.95,26,26.00,58,8.05,
統一,5489461,"1,803",292469775,53.60,53.60,53.10,53.50,+,0.1,53.30,5,53.50,517,20.42,
愛之味,682403,330,6003278,8.79,8.85,8.74,8.80,+,0.01,8.80,2,8.81,44,0.00,
泰山,402642,138,5204846,12.90,13.00,12.90,12.90,,0.0,12.90,19,12.95,16,0.00,
福壽,410302,173,7003988,17.50,17.55,16.80,16.80,-,0.7,16.70,15,16.80,87,42.00,
台榮,124101,22,1246360,10.05,10.05,10.00,10.05,,0.0,10.05,4,10.10,14,25.77,
