證券名稱,成交股數,成交筆數,成交金額,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,最後揭示買價,最後揭示買量,最後揭示賣價,最後揭示賣量,本益比,Unnamed: 16
台泥,9272329,"3,440",422232807,45.35,46.15,44.60,45.50,+,0.35,45.50,15,45.55,1,15.22,
亞泥,6653298,"2,887",258477727,38.75,39.15,38.40,38.95,+,0.5,38.85,2,38.95,142,15.52,
嘉泥,284655,168,4110278,14.50,14.50,14.40,14.50,,0.0,14.40,29,14.50,2,7.67,
環泥,447182,262,11669526,26.60,26.60,25.90,26.25,+,0.1,26.20,5,26.25,1,12.32,
幸福,570472,208,5445292,9.55,9.64,9.51,9.52,-,0.06,9.52,13,9.55,20,13.41,
信大,105774,80,1445699,13.80,13.80,13.55,13.60,-,0.2,13.55,22,13.60,2,15.63,
東泥,197000,113,3019650,15.55,15.70,15.00,15.35,-,0.4,15.15,2,15.35,19,51.17,
味全,856440,297,21710740,25.35,25.35,25.35,25.35,-,1.9,--,0,25.35,"35,721",17.01,
味王,630365,230,14002280,22.80,22.80,22.00,22.10,-,0.4,22.10,337,22.15,20,20.65,
大成,7958406,"3,498",209784756,27.50,27.50,25.95,25.95,-,1.9,--,0,25.95,741,6.24,
大飲,44000,30,820550,18.55,18.90,18.55,18.65,-,0.05,18.65,18,18.70,6,58.28,
卜蜂,4206573,"1,482",94452172,23.50,23.50,22.15,22.15,-,1.65,--,0,22.15,216,6.86,
統一,35856411,"10,429",1703166326,47.50,48.20,46.70,48.05,+,0.05,48.05,7,48.10,80,18.34,
愛之味,3212540,"1,071",24977306,7.73,7.90,7.65,7.90,+,0.13,7.90,13,7.93,1,0.00,
泰山,1507554,568,16825900,10.85,11.35,10.85,11.30,+,0.3,11.25,53,11.30,24,0.00,
福壽,426211,140,6454615,15.30,15.30,14.85,14.90,-,0.5,14.90,15,14.95,1,37.25,
台榮,135072,51,1337550,10.00,10.00,9.87,9.99,-,0.01,9.99,2,10.00,62,25.62,
福懋油,3066007,581,52716519,17.10,18.00,17.10,17.10,-,1.25,--,0,17.10,769,65.77,
佳格,994245,689,68288848,70.20,70.20,68.20,68.30,-,1.7,68.30,24,68.40,1,26.58,
聯華,1837767,879,35715240,19.70,19.70,19.30,19.30,-,0.4,19.25,152,19.35,12,8.69,
聯華食,826491,574,25344261,32.00,32.00,30.15,30.30,-,2.1,30.30,11,30.35,32,17.82,
大統益,875880,573,60219276,71.00,71.20,66.40,69.10,-,1.6,69.10,5,69.20,96,14.76,
天仁,53321,55,2490055,47.40,47.40,46.35,46.50,-,0.9,46.60,1,47.10,1,17.22,
黑松,689250,335,23648696,34.40,34.45,34.20,34.35,,0.0,34.30,91,34.35,3,16.28,
興泰,1379317,527,30880539,22.05,23.70,22.05,22.20,-,1.5,22.15,5,22.20,11,17.76,
宏亞,46956,54,1146917,24.90,24.90,24.20,24.50,-,0.4,24.50,11,24.60,11,13.03,
綠悅-KY,34500,37,5424500,158.00,159.00,155.50,156.00,-,4.0,156.00,17,157.50,9,18.62,
台塑,9802012,"4,351",666999296,68.70,68.70,67.50,68.00,-,1.4,67.90,32,68.00,30,18.73,
南亞,17809122,"6,541",1096935042,63.50,63.60,60.40,60.80,-,2.9,60.70,5,60.80,189,14.24,
台聚,1412466,643,20787637,14.70,14.85,14.65,14.70,,0.0,14.65,168,14.70,29,22.62,
華夏,1357471,493,13922446,10.50,10.50,10.10,10.10,-,0.4,10.10,112,10.15,72,11.22,
三芳,366089,204,10498046,29.10,29.10,28.45,28.70,-,0.4,28.65,2,28.70,16,11.17,
亞聚,935272,503,17909068,19.20,19.30,19.00,19.05,-,0.35,19.00,89,19.05,11,17.32,
台達化,1038372,439,8784717,8.83,8.83,8.22,8.29,-,0.54,8.26,3,8.29,12,0.00,
台苯,3007559,"1,161",36486348,12.65,12.65,11.95,12.00,-,0.7,12.00,19,12.05,8,5.19,
國喬,7303950,"1,926",90281218,13.00,13.00,12.15,12.45,-,0.6,12.40,5,12.45,78,8.14,
國喬特,30000,20,605600,20.50,20.50,20.00,20.40,X,0.0,20.10,8,20.40,6,0.00,
聯成,1521322,470,16029860,10.70,10.70,10.40,10.40,-,0.3,10.40,66,10.45,22,37.14,
中石化,22385355,"5,305",195481590,9.06,9.06,8.48,8.54,-,0.52,8.54,72,8.55,16,0.00,
