證券名稱,成交股數,成交筆數,成交金額,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,最後揭示買價,最後揭示買量,最後揭示賣價,最後揭示賣量,本益比,Unnamed: 16
台泥,6296553,"2,278",287079971,45.95,46.00,45.45,45.45,-,0.35,45.45,93,45.50,2,15.20,
亞泥,1994494,985,77669405,38.70,39.20,38.70,39.00,+,0.3,38.90,5,39.00,26,15.54,
嘉泥,94967,46,1425004,14.95,15.10,14.95,15.00,,0.0,14.95,30,15.00,9,7.94,
環泥,282867,186,7601873,27.00,27.00,26.80,26.80,-,0.4,26.80,46,26.90,37,12.58,
幸福,1105500,329,11093398,10.15,10.20,9.98,9.98,-,0.17,9.98,63,9.99,5,14.06,
信大,74000,38,1028600,13.90,13.90,13.90,13.90,,0.0,13.90,20,13.95,41,15.98,
東泥,16000,10,258650,16.40,16.40,15.90,15.90,-,0.55,15.90,5,16.00,6,53.00,
味全,1090426,532,41262139,38.00,38.05,37.70,37.80,-,0.25,37.80,12,37.85,6,25.37,
味王,26023,22,613745,23.55,23.70,23.55,23.70,-,0.1,23.65,1,23.70,10,22.15,
大成,2609674,987,79716217,30.20,30.80,30.20,30.60,+,0.4,30.50,5,30.60,34,7.36,
大飲,75090,40,1416032,18.80,19.05,18.80,18.80,-,0.05,18.80,4,18.90,1,58.75,
卜蜂,1118138,356,29049063,26.25,26.25,25.85,26.00,-,0.25,25.95,15,26.00,11,8.05,
統一,6455116,"2,330",336439080,51.90,52.50,51.90,52.00,+,0.1,52.00,404,52.10,1,19.85,
愛之味,724105,289,6332539,8.73,8.84,8.68,8.70,-,0.03,8.70,2,8.73,7,0.00,
泰山,514546,144,6573985,12.80,12.85,12.75,12.80,,0.0,12.75,82,12.80,20,0.00,
福壽,437251,96,7556791,17.05,17.45,16.85,17.00,-,0.05,16.95,9,17.00,1,42.50,
台榮,99000,27,997800,10.05,10.10,10.05,10.05,+,0.05,10.05,19,10.10,30,25.77,
福懋油,786705,356,21439632,27.50,27.75,26.75,26.90,-,0.6,26.90,8,26.95,1,103.46,
佳格,324028,285,23900972,73.90,74.20,73.60,73.60,-,0.3,73.60,21,73.80,6,28.64,
聯華,646309,241,13072718,20.10,20.35,20.10,20.20,+,0.1,20.20,167,20.25,35,9.10,
聯華食,103867,68,3721819,35.80,36.00,35.80,35.80,,0.0,35.80,24,35.85,1,21.06,
大統益,97901,74,7010189,71.60,72.00,71.30,71.50,-,0.3,71.50,1,71.60,12,15.28,
天仁,8200,9,397720,48.40,48.60,48.40,48.50,-,0.2,48.50,2,48.60,1,17.96,
黑松,154390,110,5196910,33.60,33.70,33.55,33.70,+,0.05,33.65,26,33.70,49,15.97,
興泰,666030,267,22308249,33.50,33.95,32.80,33.05,-,0.15,33.05,2,33.10,2,26.44,
宏亞,15102,18,373150,24.70,24.80,24.50,24.80,+,0.1,24.60,8,24.80,1,13.19,
綠悅-KY,80400,75,12879600,161.00,162.50,158.50,158.50,-,1.5,158.00,31,159.50,5,18.91,
台塑,3984105,"1,373",292482505,73.50,74.00,73.20,73.50,,0.0,73.40,240,73.50,"4,471",20.25,
南亞,9291282,"4,221",618260754,67.00,68.00,65.80,66.00,-,1.1,66.00,192,66.20,11,15.46,
台聚,373540,179,5713331,15.25,15.35,15.25,15.30,+,0.05,15.25,399,15.35,36,23.54,
華夏,1020657,341,12305544,12.05,12.20,11.95,12.10,+,0.05,12.10,4,12.15,14,13.44,
三芳,131720,87,3838449,29.10,29.50,29.00,29.00,-,0.4,29.00,7,29.10,14,11.28,
亞聚,599162,215,12681423,21.25,21.30,21.05,21.15,-,0.05,21.15,24,21.20,389,19.23,
台達化,284000,109,2584628,9.07,9.13,9.05,9.06,-,0.04,9.06,7,9.09,17,0.00,
台苯,963733,536,13129913,13.50,13.75,13.50,13.55,-,0.05,13.55,28,13.60,1,5.87,
國喬,692652,268,10060216,14.60,14.60,14.50,14.50,-,0.1,14.50,139,14.55,6,9.48,
國喬特,13000,3,268150,20.75,20.75,20.60,20.60,,0.0,20.50,21,20.95,1,0.00,
聯成,608690,186,7042698,11.60,11.70,11.50,11.55,-,0.05,11.50,185,11.60,66,41.25,
中石化,4121280,971,43031446,10.45,10.50,10.40,10.45,+,0.05,10.40,"1,455",10.45,"1,242",0.00,
達新,723004,21,20377712,28.10,28.20,27.95,28.20,+,0.05,27.95,6,28.15,2,44.76,
上曜,129000,37,1564800,12.15,12.20,12.10,12.15,-,0.05,12.10,19,12.20,33,0.00,
東陽,1778255,788,59577561,33.80,33.85,33.30,33.40,-,0.5,33.35,15,33.40,238,15.39,
大洋,203000,110,7971300,39.30,39.60,38.90,39.30,+,0.05,39.30,3,39.50,20,0.00,
永裕,458214,312,15860610,34.85,34.95,34.30,34.35,-,0.5,34.35,5,34.50,2,12.63,
地球,59006,39,862338,14.80,14.85,14.50,14.65,-,0.25,14.65,3,14.75,1,26.16,
恆大,86300,43,1609080,18.65,18.75,18.60,18.60,-,0.15,18.60,30,18.65,2,37.96,
台化,3161420,"1,592",223016354,71.00,71.30,70.30,70.50,-,0.8,70.40,46,70.50,5,18.90,
再生-KY,932429,576,41946206,45.50,45.50,44.70,44.70,-,0.8,44.65,30,44.70,1,6.78,
廣華-KY,215766,141,23723110,112.00,112.00,109.00,109.00,-,3.0,109.00,75,109.50,3,13.90,
昭輝,25001,23,2354193,95.00,95.00,93.80,93.80,-,0.2,93.70,5,94.00,1,24.55,
勝悅-KY,293517,306,32161105,110.00,111.00,109.00,109.50,-,1.5,109.00,38,109.50,11,10.63,
遠東新,3589448,"1,359",111065788,31.20,31.20,30.85,30.85,-,0.25,30.85,169,30.90,1,16.50,
新纖,1456930,427,15804339,10.90,10.90,10.80,10.80,-,0.15,10.80,119,10.85,155,12.56,
南染,193632,125,4775701,24.55,24.90,24.45,24.60,+,0.05,24.50,5,24.60,3,24.60,
宏洲,161720,49,654456,3.98,4.09,3.98,4.05,+,0.03,4.05,23,4.09,1,0.00,
東和,174731,52,1534372,8.68,8.87,8.68,8.76,+,0.02,8.76,16,8.78,1,24.33,
廣豐,3349864,133,55230577,16.50,16.50,16.30,16.40,,0.0,16.40,21,16.50,60,25.23,
嘉裕,1340968,309,11051345,8.10,8.32,8.10,8.25,+,0.16,8.25,36,8.26,4,20.12,
東華,12504,6,88358,7.08,7.08,7.01,7.07,-,0.03,7.05,3,7.08,5,0.00,
新紡,141101,80,5536839,39.00,39.70,39.00,39.00,,0.0,39.00,7,39.40,24,102.63,
利華,204492,42,1621700,7.80,7.99,7.80,7.96,+,0.1,7.90,1,7.96,2,0.00,
大魯閣,89000,49,2062200,23.15,23.25,23.10,23.25,+,0.1,23.15,7,23.25,2,0.00,
福懋,701383,473,20925690,29.80,29.95,29.75,29.85,-,0.05,29.85,12,29.95,11,22.44,
中福,258030,61,1556352,6.01,6.11,6.01,6.01,-,0.04,6.01,10,6.07,1,0.00,
華友聯,59000,9,2881950,49.20,49.40,48.65,49.00,-,0.25,49.00,1,49.15,2,13.50,
勤益控,254886,90,5449814,21.25,21.50,21.20,21.50,+,0.2,21.45,5,21.50,20,0.00,
裕豐,111000,32,713110,6.30,6.50,6.30,6.40,+,0.05,6.40,3,6.60,2,58.18,
中和,27033,14,374354,13.90,13.90,13.80,13.80,,0.0,13.80,1,13.90,29,0.00,
南紡,439299,220,7957167,18.05,18.20,18.05,18.05,,0.0,18.05,97,18.10,6,39.24,
大東,52040,26,482518,9.24,9.34,9.24,9.29,+,0.02,9.29,4,9.30,10,0.00,
名軒,87100,46,2510069,28.50,29.00,28.50,28.95,+,0.15,28.80,1,28.95,1,11.67,
立益,10441,6,75425,7.10,7.24,7.10,7.24,+,0.04,7.16,1,7.24,3,0.00,
力麗,2237517,853,21184360,9.14,9.58,9.10,9.51,+,0.4,9.51,42,9.52,62,21.61,
大宇,280723,66,2595898,9.25,9.27,9.20,9.27,+,0.02,9.26,5,9.28,30,28.97,
宏和,48001,37,1510781,31.45,31.60,31.25,31.50,-,0.05,31.30,4,31.50,2,0.00,
力鵬,11552208,"3,025",123751125,10.20,10.85,10.20,10.85,+,0.7,10.85,111,--,0,12.76,
佳和,26002,10,37722,1.47,1.47,1.45,1.45,-,0.02,1.45,19,1.46,9,0.00,
年興,155092,97,4026529,26.00,26.05,25.90,25.90,-,0.1,25.90,19,26.00,8,12.95,
宏益,112600,32,1354800,12.10,12.10,12.00,12.05,+,0.1,12.00,1,12.05,16,9.64,
大將,66000,40,652420,9.91,9.96,9.81,9.88,-,0.04,9.80,4,9.88,4,0.00,
台富,504000,33,4042680,8.00,8.06,7.97,8.02,,0.0,8.02,10,8.04,6,28.64,
集盛,2514442,815,22344935,8.60,9.03,8.60,8.90,+,0.3,8.90,20,8.91,1,35.60,
怡華,490,2,4012,--,--,--,--,,0.0,--,0,8.50,10,0.00,
宜進,2052451,429,18336991,8.90,9.03,8.86,8.88,-,0.02,8.88,3,8.90,60,9.45,
聯發,398948,133,4035092,9.97,10.30,9.97,10.15,+,0.18,10.10,32,10.15,27,13.72,
宏遠,6357882,"2,399",102292238,15.80,16.40,15.70,15.70,-,0.1,15.70,5,15.75,5,27.54,
強盛,633529,198,9543411,15.00,15.30,14.95,15.00,-,0.05,15.00,4,15.05,1,31.25,
得力,16100,12,195064,12.00,12.15,12.00,12.15,+,0.05,12.10,8,12.15,6,0.00,
偉全,25576,15,445387,17.40,17.45,17.40,17.40,,0.0,17.40,1,17.45,1,12.99,
聚隆,902751,365,21028910,23.80,23.85,22.85,23.35,-,0.35,23.35,16,23.40,5,26.24,
南緯,2248731,796,31809634,14.20,14.25,14.00,14.00,-,0.3,14.00,32,14.10,90,29.17,
昶和,23000,12,256950,11.20,11.25,11.00,11.00,-,0.3,11.00,9,11.15,4,0.00,
理隆,0,0,0,--,--,--,--,,0.0,12.00,3,12.10,4,605.00,
大統新創,1000,1,18650,18.65,18.65,18.65,18.65,X,0.0,18.65,7,19.30,1,27.84,
首利,136329,74,1361552,9.95,10.05,9.93,9.96,+,0.01,9.96,3,9.99,3,0.00,
三洋紡,76000,38,2982700,39.60,40.00,38.80,39.70,+,0.05,39.70,1,39.90,21,0.00,
台南,58000,29,1605500,27.90,27.90,27.60,27.70,+,0.2,27.65,6,27.75,7,43.28,
弘裕,94055,16,836121,8.91,8.91,8.86,8.90,-,0.02,8.89,1,8.90,53,16.48,
本盟,9000,7,153500,17.05,17.15,17.00,17.00,-,0.05,17.00,6,17.10,1,0.00,
儒鴻,1827758,"1,345",450586103,247.00,249.00,242.00,248.00,+,2.0,247.50,10,248.00,52,22.82,
聚陽,202286,164,30321038,151.50,151.50,149.00,150.00,-,0.5,149.50,6,150.00,30,17.03,
士電,55264,47,2256094,40.90,40.90,40.65,40.90,,0.0,40.90,4,40.95,11,16.49,
東元,4429257,"2,198",157119113,35.00,35.85,35.00,35.25,+,0.45,35.25,47,35.30,3,16.47,
正道,139533,71,2888479,20.75,20.80,20.60,20.80,,0.0,20.60,4,20.80,1,0.00,
永大,847678,602,55547552,66.10,66.60,64.90,65.20,-,1.3,65.20,15,65.30,1,13.67,
瑞利,176000,61,1249610,7.12,7.13,7.08,7.08,-,0.02,7.08,2,7.10,1,0.00,
中興電,1946170,838,41183920,21.20,21.35,20.95,21.05,+,0.15,21.05,8,21.10,2,16.71,
亞力,101001,14,900428,8.88,8.92,8.88,8.90,-,0.1,8.90,22,8.91,3,52.35,
力山,70000,36,666520,9.49,9.55,9.49,9.55,+,0.01,9.52,1,9.55,6,18.37,
川飛,1844,2,26738,14.50,14.50,14.50,14.50,X,0.0,14.60,3,15.00,1,46.77,
利奇,369202,126,5375478,14.60,14.70,14.50,14.50,-,0.15,14.50,88,14.60,42,10.66,
華城,104300,54,1618600,15.50,15.60,15.45,15.60,+,0.05,15.50,3,15.60,16,29.43,
大億,36763,27,2676841,72.50,73.40,72.50,72.80,-,0.2,72.80,4,73.20,1,14.42,
堤維西,239598,130,4364421,18.40,18.40,18.10,18.20,-,0.2,18.10,30,18.20,1,60.67,
耿鼎,39176,13,305208,7.76,7.80,7.76,7.77,-,0.03,7.76,20,7.77,1,0.00,
江申,29000,26,1960800,67.70,67.90,67.20,67.20,-,0.5,67.10,1,67.70,1,14.00,
日馳,150890,71,2076758,13.70,13.95,13.55,13.55,-,0.2,13.55,15,13.60,8,16.13,
鑽全,687594,461,26347422,38.40,38.55,38.00,38.20,-,0.2,38.20,9,38.30,8,13.13,
恩德,16000,11,204000,12.60,12.80,12.60,12.80,+,0.1,12.70,12,12.80,10,27.83,
樂士,25222,9,85831,3.40,3.41,3.40,3.41,-,0.09,3.41,40,3.45,10,0.00,
亞崴,249061,197,11125726,44.10,45.30,43.25,44.90,+,0.95,44.80,6,44.90,2,18.55,
高林股,200012,130,4376561,21.95,22.10,21.75,21.80,-,0.15,21.80,2,21.85,10,19.46,
勤美,139805,157,4383260,31.40,31.55,31.20,31.40,,0.0,31.35,20,31.40,4,4.28,
車王電,897145,684,58675539,64.60,66.30,64.60,65.50,+,0.3,65.30,1,65.50,20,24.35,
中宇,50310,37,3416472,67.50,68.50,67.50,67.80,,0.0,67.80,2,68.00,1,14.90,
和大,9370149,"5,317",536657497,58.10,58.90,56.10,56.30,-,2.3,56.30,22,56.40,15,22.79,
廣隆,1624886,959,177359574,106.00,111.00,105.00,109.00,+,3.0,109.00,21,109.50,5,16.29,
正峰新,520002,155,4262196,8.03,8.50,7.93,8.20,+,0.15,8.14,5,8.20,22,0.00,
巨庭,367013,173,7448462,20.60,20.90,20.00,20.10,-,0.5,20.10,10,20.20,2,14.67,
喬福,203893,103,4825429,23.85,23.85,23.55,23.55,-,0.3,23.55,9,23.65,1,13.77,
錩泰,21000,17,334900,16.10,16.10,15.85,15.90,-,0.05,15.90,2,15.95,2,113.57,
中砂,699250,466,50331748,72.20,72.70,71.50,71.50,-,0.7,71.50,55,71.80,1,16.18,
倉佑,167586,105,4086608,24.70,24.70,24.15,24.40,-,0.3,24.20,20,24.40,4,22.80,
信錦,306077,212,20541697,67.30,67.70,66.80,66.90,-,0.6,66.80,8,66.90,1,13.82,
程泰,19000,18,1503200,79.40,79.60,78.70,78.70,-,0.7,78.70,5,79.90,2,17.22,
永冠-KY,1725746,"1,252",252672794,143.00,150.00,143.00,145.00,+,1.0,144.50,38,145.00,4,17.41,
亞德客-KY,365441,344,96483262,262.00,267.00,262.00,262.00,-,0.5,262.00,6,262.50,1,23.48,
華電,53000,25,674100,12.60,12.75,12.60,12.75,+,0.1,12.70,2,12.75,3,14.33,
聲寶,461576,254,5855453,12.70,12.75,12.60,12.65,-,0.05,12.65,28,12.70,144,13.32,
華新,4602274,"1,051",46017428,10.00,10.05,9.98,9.99,-,0.11,9.99,66,10.00,171,0.00,
華榮,226401,84,2370220,10.50,10.55,10.45,10.50,,0.0,10.45,76,10.50,8,8.02,
大亞,7967593,"1,491",57667570,7.10,7.28,7.10,7.17,+,0.07,7.16,32,7.17,21,17.07,
中電,123500,54,1415500,11.40,11.50,11.40,11.50,+,0.1,11.40,1,11.50,19,0.00,
宏泰,409484,124,4292881,10.45,10.55,10.40,10.55,+,0.1,10.50,38,10.55,19,16.48,
台一,205164,70,1124273,5.45,5.54,5.45,5.50,+,0.05,5.48,12,5.51,33,0.00,
三洋電,24005,19,825171,34.20,34.50,34.20,34.50,+,0.3,34.35,3,34.40,2,36.70,
大山,170021,85,1983395,11.90,11.90,11.50,11.60,-,0.2,11.60,9,11.70,5,15.26,
億泰,500314,73,3085911,6.20,6.22,6.15,6.15,-,0.09,6.15,6,6.18,5,0.00,
榮星,101000,30,894560,8.85,8.97,8.85,8.94,+,0.09,8.89,1,8.92,2,44.70,
合機,77514,32,714102,9.15,9.27,9.15,9.17,+,0.02,9.18,3,9.23,2,0.00,
艾美特-KY,66000,15,3130700,47.60,47.60,46.80,46.80,-,0.65,46.80,2,47.00,1,0.00,
