證券名稱,成交股數,成交筆數,成交金額,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,最後揭示買價,最後揭示買量,最後揭示賣價,最後揭示賣量,本益比,Unnamed: 16
台泥,2826755,"1,478",131864043,46.90,46.95,46.30,46.80,+,0.35,46.60,10,46.80,27,15.65,
亞泥,2762146,"1,241",107931692,39.20,39.35,38.95,39.05,-,0.15,39.05,16,39.10,111,15.56,
嘉泥,336022,183,4798255,14.40,14.45,14.20,14.30,-,0.05,14.25,19,14.30,3,7.57,
環泥,315569,226,8422131,26.85,26.85,26.40,26.65,-,0.1,26.65,5,26.75,56,12.51,
幸福,1011099,206,10186992,10.10,10.15,10.00,10.10,+,0.05,10.10,12,10.15,73,14.23,
信大,133051,84,1762975,13.25,13.35,13.20,13.25,,0.0,13.20,43,13.30,1,15.23,
東泥,113000,74,1727050,15.45,15.45,15.10,15.45,-,0.2,15.30,1,15.45,64,51.50,
味全,9114096,"3,234",237676440,25.10,26.40,25.10,26.15,+,0.85,26.10,53,26.15,45,17.55,
味王,129058,88,2877290,22.45,22.45,22.20,22.30,-,0.1,22.30,19,22.40,13,20.84,
大成,2922077,"1,194",81642395,27.80,28.15,27.75,27.80,+,0.25,27.75,49,27.85,57,6.68,
大飲,38001,29,717069,18.85,18.95,18.80,18.90,+,0.05,18.90,15,18.95,7,59.06,
卜蜂,1567523,587,39729992,25.15,25.60,25.10,25.40,+,0.3,25.40,8,25.45,3,7.86,
統一,9768274,"3,219",502839805,52.10,52.10,50.90,51.60,-,0.6,51.50,4,51.60,217,19.69,
愛之味,996066,380,8014146,8.03,8.07,8.00,8.07,+,0.05,8.07,7,8.08,59,0.00,
泰山,692701,288,7876366,11.50,11.50,11.30,11.35,-,0.15,11.35,21,11.40,1,0.00,
福壽,1519206,430,24173220,15.80,16.10,15.50,15.50,+,0.45,15.50,21,15.60,5,38.75,
台榮,320001,64,3204750,10.15,10.15,9.97,10.10,-,0.05,10.05,1,10.10,14,25.90,
福懋油,1216639,540,24611809,19.30,20.90,19.20,20.70,+,1.05,20.65,29,20.70,14,79.62,
佳格,442421,393,30796218,70.20,70.30,69.30,69.60,-,0.5,69.50,4,69.60,30,27.08,
聯華,760788,298,15008321,19.80,19.80,19.60,19.70,-,0.05,19.70,21,19.75,65,8.87,
聯華食,151766,109,4874785,32.30,32.80,31.80,31.90,-,0.25,31.85,3,31.90,4,18.76,
大統益,189620,133,13745060,71.80,73.10,71.80,72.10,+,0.3,72.10,2,72.20,1,15.41,
天仁,26060,22,1209013,46.80,46.80,45.95,46.50,-,0.3,46.55,1,46.95,6,17.22,
黑松,581700,300,21218617,36.50,36.65,36.25,36.60,+,0.2,36.60,12,36.65,23,17.35,
興泰,357182,206,8728479,24.90,24.90,24.10,24.40,-,0.5,24.40,12,24.55,4,19.52,
宏亞,34281,36,838524,24.35,24.60,24.10,24.55,+,0.45,24.55,2,24.60,4,13.06,
綠悅-KY,192800,189,26028200,138.50,139.00,133.00,134.50,-,4.0,134.00,5,134.50,15,16.05,
台塑,2664093,"1,363",187368503,70.70,70.80,69.80,70.50,+,0.3,70.20,4,70.50,194,19.42,
南亞,3978798,"2,011",252231238,63.40,63.80,62.90,63.40,+,0.5,63.30,1,63.40,189,14.85,
台聚,1567846,607,22745234,14.40,14.70,14.30,14.65,+,0.25,14.65,52,14.70,150,22.54,
華夏,1376017,653,15437929,11.10,11.35,11.05,11.30,+,0.3,11.25,26,11.30,2,12.56,
三芳,106074,90,3109012,29.25,29.50,29.15,29.35,+,0.05,29.30,3,29.35,38,11.42,
亞聚,696413,364,14492408,20.95,21.00,20.75,20.75,-,0.1,20.75,12,20.85,35,18.86,
台達化,685573,375,5843833,8.55,8.58,8.41,8.53,+,0.13,8.53,4,8.54,13,0.00,
台苯,4636922,"1,689",60908043,12.85,13.40,12.80,13.30,+,0.75,13.25,39,13.30,4,5.76,
國喬,1809216,668,26259725,14.55,14.65,14.35,14.45,-,0.1,14.45,17,14.50,32,9.44,
國喬特,11000,8,226250,20.65,20.65,20.55,20.55,X,0.0,20.55,3,20.70,2,0.00,
聯成,911506,353,9412007,10.40,10.40,10.25,10.25,-,0.15,10.25,140,10.30,139,36.61,
中石化,17806680,"4,309",173600175,9.70,9.86,9.60,9.71,+,0.11,9.71,56,9.72,2,0.00,
達新,43933,59,1272383,28.85,29.05,28.85,29.00,+,0.15,29.00,2,29.05,51,46.03,
上曜,64000,30,748150,11.70,11.70,11.60,11.70,,0.0,11.65,15,11.75,6,0.00,
東陽,5815313,"2,620",186565986,31.45,32.65,31.30,32.55,+,1.55,32.50,140,32.55,2,15.00,
大洋,641000,447,23577400,36.20,37.70,35.65,37.40,+,1.0,37.30,2,37.40,6,0.00,
永裕,97955,87,3039305,31.20,31.25,30.70,31.00,-,0.2,30.90,4,31.05,1,11.40,
地球,71000,39,950800,13.40,13.65,13.10,13.55,+,0.15,13.40,2,13.50,1,24.20,
恆大,921319,430,19247202,21.00,21.15,20.80,20.80,-,0.2,20.80,68,20.85,5,42.45,
台化,2269048,"1,324",159446549,70.80,70.80,69.70,70.30,-,0.5,70.20,4,70.30,331,18.85,
再生-KY,1436512,833,54482493,38.20,38.50,37.50,37.50,-,0.8,37.40,19,37.50,2,5.69,
廣華-KY,628138,487,61085986,94.60,99.70,94.40,97.50,+,2.9,97.40,1,97.50,1,12.44,
昭輝,68000,42,6379200,94.00,95.00,93.50,93.60,+,0.1,93.60,2,93.90,11,24.50,
勝悅-KY,296920,204,29139719,97.50,98.80,97.40,97.50,+,0.7,97.50,1,97.70,1,9.47,
遠東新,3387963,"1,228",107389904,32.00,32.00,31.55,31.70,-,0.25,31.65,450,31.70,727,16.95,
新纖,14324158,"3,137",161598841,10.90,11.45,10.80,11.20,+,0.4,11.20,348,11.25,20,13.02,
南染,41600,41,1057539,25.45,25.45,25.40,25.45,+,0.05,25.35,6,25.45,32,25.45,
宏洲,309795,111,1003318,3.20,3.28,3.19,3.24,,0.0,3.23,47,3.24,4,0.00,
東和,399630,159,3229406,8.00,8.19,8.00,8.08,+,0.1,8.08,2,8.09,9,22.44,
廣豐,491786,196,8252527,16.80,16.85,16.70,16.75,+,0.05,16.75,8,16.80,13,25.77,
嘉裕,450627,247,3533378,7.79,7.88,7.78,7.87,+,0.08,7.83,2,7.87,2,19.20,
東華,27001,17,188617,7.01,7.03,6.92,7.03,-,0.05,6.96,1,7.07,7,0.00,
新紡,80501,74,3178887,39.25,39.70,39.25,39.50,-,0.5,39.45,1,39.50,29,103.95,
利華,153023,71,1173161,7.69,7.70,7.61,7.69,,0.0,7.63,6,7.69,9,0.00,
大魯閣,623013,310,12742665,20.80,20.80,20.30,20.50,+,0.1,20.35,32,20.50,9,0.00,
福懋,568612,455,17099984,30.30,30.35,29.80,30.10,-,0.6,29.85,8,30.10,24,22.63,
中福,81030,37,461781,5.70,5.77,5.66,5.71,+,0.01,5.69,2,5.71,2,0.00,
華友聯,46114,20,2269022,49.30,49.55,48.50,49.25,-,0.05,48.30,1,49.30,5,13.57,
勤益控,1049200,223,22820820,21.70,21.95,21.65,21.70,+,0.05,21.70,1,21.75,1,0.00,
裕豐,48000,6,279710,6.09,6.09,5.80,5.82,+,0.06,5.75,2,5.85,3,52.91,
中和,55000,24,743900,13.75,13.75,13.45,13.50,+,0.05,13.50,3,13.55,2,0.00,
南紡,1378533,683,23222554,16.85,16.95,16.70,16.90,+,0.05,16.85,57,16.90,30,36.74,
大東,265093,146,2500420,9.19,9.67,9.19,9.40,+,0.23,9.40,1,9.48,6,0.00,
名軒,289390,185,6799106,23.90,23.90,23.05,23.35,-,0.5,23.35,16,23.50,2,9.42,
立益,24119,24,165599,6.76,6.91,6.76,6.89,-,0.1,6.89,20,6.95,5,0.00,
力麗,1906185,678,16992302,8.60,9.08,8.56,8.92,+,0.32,8.91,20,8.92,112,20.27,
大宇,101052,53,901841,8.93,8.95,8.89,8.94,+,0.01,8.91,8,8.94,20,27.94,
宏和,170152,80,4931677,29.00,29.15,28.90,28.95,,0.0,28.95,5,29.05,4,0.00,
力鵬,5449452,"1,493",59531220,10.50,11.15,10.45,10.90,+,0.45,10.90,175,10.95,363,12.82,
佳和,497427,40,686196,1.32,1.40,1.32,1.38,+,0.02,1.38,40,1.39,23,0.00,
年興,156050,112,3923056,25.15,25.20,25.00,25.20,+,0.05,25.15,2,25.20,29,13.85,
宏益,520438,138,6374321,12.30,12.30,12.15,12.15,-,0.1,12.15,59,12.20,1,8.74,
大將,71980,48,611176,8.54,8.56,8.43,8.50,-,0.04,8.48,1,8.50,2,0.00,
台富,48024,48,368358,7.61,7.74,7.61,7.74,+,0.11,7.65,1,7.75,2,27.64,
集盛,765236,351,6565878,8.41,8.70,8.35,8.55,+,0.16,8.55,14,8.56,1,34.20,
