證券名稱,成交股數,成交筆數,成交金額,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,最後揭示買價,最後揭示買量,最後揭示賣價,最後揭示賣量,本益比,Unnamed: 16
台泥,4068713,"1,506",190551175,47.20,47.30,46.70,46.70,-,0.3,46.70,246,46.80,276,18.46,
亞泥,2070723,907,78042127,38.00,38.05,37.50,37.55,-,0.45,37.55,11,37.65,118,20.41,
嘉泥,516409,146,7925848,15.40,15.45,15.30,15.35,-,0.05,15.35,21,15.40,88,51.17,
環泥,632291,343,18667346,29.30,29.80,29.25,29.55,+,0.3,29.55,25,29.60,5,20.38,
幸福,422479,120,3866268,9.20,9.20,9.10,9.15,,0.0,9.11,7,9.15,9,19.89,
信大,95000,25,1132350,11.85,12.00,11.85,12.00,,0.0,11.90,19,12.00,6,25.00,
東泥,78263,37,1314191,16.90,16.90,16.60,16.85,-,0.05,16.80,8,16.85,24,105.31,
味全,489702,414,23620946,48.60,48.70,48.00,48.00,-,0.6,48.00,97,48.15,8,26.23,
味王,140197,64,3357233,24.00,24.05,23.85,23.85,-,0.1,23.85,5,23.95,4,19.55,
大成,1119938,506,30420876,27.05,27.40,27.00,27.00,,0.0,27.00,123,27.05,3,22.69,
大飲,54002,42,1194644,22.10,22.40,22.00,22.20,,0.0,22.20,1,22.25,4,71.61,
卜蜂,5240116,"1,624",104347265,19.40,20.40,19.30,19.70,+,0.6,19.65,128,19.70,1,13.49,
統一,10092007,"3,085",524140427,52.20,52.60,51.50,51.70,-,0.5,51.60,155,51.70,48,19.66,
愛之味,3821483,769,37704974,9.88,9.98,9.80,9.88,+,0.03,9.86,5,9.88,7,0.00,
泰山,3959726,863,56267062,14.25,14.35,14.10,14.15,-,0.1,14.15,118,14.20,56,0.00,
福壽,1176712,310,17980202,14.95,15.50,14.95,15.50,+,0.6,15.40,10,15.50,9,0.00,
台榮,112003,43,1138980,10.20,10.20,10.10,10.10,-,0.1,10.10,16,10.20,1,21.04,
福懋油,237344,103,2966925,12.50,12.60,12.45,12.55,,0.0,12.55,12,12.60,49,0.00,
佳格,722623,621,60759885,84.00,84.30,84.00,84.00,,0.0,84.00,375,84.10,5,26.42,
聯華,344897,144,6703644,19.45,19.50,19.35,19.40,-,0.1,19.40,7,19.45,31,11.69,
聯華食,221574,142,8225100,37.20,37.35,37.00,37.20,+,0.35,37.20,11,37.25,10,16.53,
大統益,580353,395,37960352,64.00,66.10,64.00,65.90,+,3.1,65.80,57,65.90,6,20.40,
天仁,71700,44,3442400,48.00,48.10,48.00,48.00,,0.0,48.00,21,48.10,3,20.43,
黑松,184991,132,6016641,32.55,32.65,32.45,32.65,+,0.1,32.50,17,32.70,1,1.73,
興泰,548555,265,19442808,34.30,35.70,34.30,35.70,+,2.3,35.70,115,--,0,0.00,
宏亞,144120,91,3803590,26.65,26.65,26.35,26.40,-,0.25,26.40,20,26.45,1,15.44,
綠悅-KY,1273284,"1,060",326472480,252.50,268.00,248.00,259.50,+,8.5,259.00,2,259.50,1,27.52,
台塑,2834254,"1,208",208480053,74.20,74.20,73.30,73.30,-,0.7,73.30,141,73.40,1,25.99,
南亞,4805017,"2,188",308910066,64.30,64.50,63.90,64.10,-,0.1,64.10,278,64.30,8,25.24,
台聚,1636112,668,32686406,19.95,20.10,19.90,19.90,-,0.05,19.90,207,19.95,30,35.54,
華夏,5468774,"1,570",86371829,15.80,15.90,15.65,15.70,,0.0,15.70,323,15.75,23,9.52,
三芳,105031,76,3128113,29.95,29.95,29.70,29.75,-,0.2,29.75,7,29.80,14,14.51,
亞聚,686406,328,16249824,23.70,23.75,23.60,23.70,+,0.1,23.65,28,23.70,45,28.21,
台達化,2228825,702,26199714,11.80,11.90,11.60,11.60,,0.0,11.60,111,11.70,40,36.25,
台苯,17722849,"5,438",316201797,17.40,18.10,17.30,18.10,+,1.1,18.05,41,18.10,611,12.93,
國喬,27163086,"7,045",497038270,18.00,18.55,17.85,18.25,+,0.6,18.20,388,18.25,4,11.13,
國喬特,0,0,0,--,--,--,--,,0.0,22.80,1,23.00,5,0.00,
聯成,1494992,458,20726733,13.70,13.95,13.70,13.80,+,0.1,13.80,120,13.85,6,28.75,
中石化,14295442,"4,117",185690458,12.90,13.15,12.80,12.90,+,0.05,12.90,580,12.95,218,0.00,
達新,48311,32,1388151,28.85,28.90,28.60,28.90,-,0.1,28.70,1,28.90,2,45.87,
上曜,358000,88,4836900,13.50,13.60,13.45,13.55,+,0.05,13.45,9,13.55,23,0.00,
東陽,4148877,"1,745",185922294,45.20,45.30,44.50,44.80,-,0.25,44.80,486,44.90,1,21.96,
大洋,2055104,"1,018",91778030,45.10,45.80,44.00,44.00,-,1.1,44.00,75,44.10,3,0.00,
永裕,447642,252,17548138,39.80,39.80,39.00,39.15,-,0.5,39.15,2,39.20,6,14.72,
地球,3894493,"1,111",66737402,17.15,17.15,16.95,17.15,+,1.1,17.15,58,--,0,25.22,
恆大,278001,80,5524219,20.00,20.00,19.75,19.85,-,0.15,19.85,2,19.90,32,27.19,
台化,3936522,"1,996",283155084,72.00,72.40,71.50,72.00,,0.0,72.00,27,72.10,10,16.63,
再生-KY,2266052,"1,419",193513198,85.50,86.30,84.10,85.40,,0.0,85.30,1,85.40,2,13.26,
廣華-KY,2467532,"1,196",303218340,121.00,126.00,120.50,121.00,+,2.0,121.00,18,121.50,7,34.47,
昭輝,232000,144,11401550,49.80,49.90,48.60,48.70,-,1.1,48.70,5,48.90,9,15.71,
勝悅-KY,477519,397,79477559,171.00,173.00,162.50,164.00,-,6.5,164.00,20,165.00,1,22.59,
遠東新,3001677,"1,319",93600187,31.20,31.40,31.00,31.00,-,0.15,31.00,"1,027",31.15,6,23.31,
新纖,4969437,750,49827170,10.05,10.10,10.00,10.05,,0.0,10.05,181,10.10,563,15.00,
南染,218003,126,5135369,23.55,23.85,23.20,23.55,,0.0,23.35,31,23.55,13,21.41,
宏洲,252864,87,1162910,4.55,4.63,4.54,4.59,+,0.05,4.58,5,4.60,20,0.00,
東和,1301936,382,12996356,9.85,10.15,9.81,9.99,+,0.18,9.98,44,9.99,151,15.86,
廣豐,451523,117,8551908,19.00,19.00,18.90,18.90,-,0.05,18.90,39,19.00,62,75.60,
嘉裕,824166,200,6954053,8.40,8.49,8.40,8.41,+,0.02,8.41,68,8.43,10,0.00,
東華,54001,16,346746,6.41,6.45,6.40,6.40,,0.0,6.40,4,6.44,1,0.00,
新紡,66028,33,2598396,39.40,39.45,39.30,39.30,,0.0,39.30,7,39.35,4,64.43,
利華,105205,26,851381,8.13,8.13,8.07,8.09,-,0.09,8.09,10,8.10,10,0.00,
大魯閣,671128,365,17670528,26.50,26.90,26.05,26.05,-,0.35,26.05,21,26.20,1,5.71,
福懋,2061578,885,64668931,31.40,31.65,31.05,31.40,-,0.3,31.40,136,31.45,1,29.07,
中福,378242,126,2608807,6.97,6.97,6.81,6.87,-,0.1,6.83,1,6.87,9,0.00,
華友聯,12064,9,601114,49.20,49.95,49.20,49.95,-,0.05,49.20,1,49.95,20,0.00,
勤益控,663156,270,14041358,21.10,21.40,21.00,21.00,-,0.1,21.00,1,21.10,30,0.00,
裕豐,1943692,397,12840202,6.97,7.05,6.42,6.42,-,0.48,--,0,6.42,45,33.79,
中和,74001,22,1095165,14.85,14.85,14.75,14.75,,0.0,14.75,180,14.85,10,0.00,
南紡,5927614,"1,614",125223409,21.05,21.35,20.90,20.90,-,0.15,20.90,146,20.95,50,24.88,
大東,85689,54,841916,9.85,9.85,9.81,9.82,-,0.01,9.82,8,9.84,8,40.92,
名軒,299070,190,10486588,35.00,35.45,34.90,35.05,-,0.05,35.00,5,35.05,113,5.55,
立益,109999,19,847431,7.73,7.73,7.66,7.70,-,0.03,7.70,7,7.73,15,0.00,
力麗,778156,304,8323652,10.70,10.75,10.65,10.70,,0.0,10.65,350,10.70,3,12.30,
大宇,515472,106,5381307,10.40,10.50,10.40,10.50,+,0.05,10.45,24,10.50,110,25.00,
宏和,132000,62,4233300,32.20,32.25,31.95,32.10,-,0.1,32.10,7,32.20,5,0.00,
力鵬,1950861,742,27248906,14.00,14.10,13.90,13.95,,0.0,13.95,8,14.00,317,9.06,
佳和,124722,28,198002,1.59,1.60,1.57,1.58,-,0.01,1.58,19,1.59,15,0.00,
年興,1099538,374,33233790,30.00,30.35,29.95,30.20,+,0.2,30.20,102,30.30,43,18.19,
宏益,554010,166,6569466,11.90,11.95,11.80,11.80,-,0.1,11.80,122,11.90,21,11.46,
大將,45654,19,445499,9.79,9.84,9.72,9.78,+,0.03,9.78,2,9.80,18,9.88,
台富,106508,29,872448,8.19,8.22,8.15,8.18,-,0.01,8.15,1,8.18,1,48.12,
集盛,1161399,416,11447351,9.91,9.93,9.81,9.81,-,0.1,9.81,110,9.84,20,18.87,
怡華,67831,9,610245,9.00,9.00,9.00,9.00,+,0.1,9.00,40,9.30,15,0.00,
宜進,2277221,513,18420611,7.94,8.25,7.91,8.08,+,0.17,8.07,11,8.08,30,31.08,
聯發,91522,39,829198,9.12,9.12,9.02,9.04,-,0.08,9.04,2,9.10,6,75.33,
宏遠,5849782,"2,341",75434486,13.20,13.30,12.70,12.90,-,0.25,12.90,20,12.95,75,40.31,
強盛,2014000,663,34234800,16.60,17.30,16.50,17.00,+,0.5,17.00,59,17.05,31,"1,700.00",
得力,847638,220,11173018,13.20,13.40,13.00,13.00,-,0.2,12.95,14,13.00,10,81.25,
偉全,504167,178,8218247,16.15,16.50,16.15,16.45,+,0.35,16.45,23,16.50,14,14.82,
聚隆,416313,188,7928326,19.45,19.45,18.85,19.05,-,0.25,19.00,5,19.05,2,17.80,
南緯,2195610,607,34780900,15.60,16.20,15.50,16.10,+,0.55,16.10,5,16.15,84,15.05,
昶和,22000,10,220690,10.00,10.10,9.98,9.98,-,0.02,9.96,3,10.10,10,0.00,
理隆,27000,17,322650,12.65,12.65,11.65,12.20,+,0.3,12.20,3,12.25,1,0.00,
大統新創,0,0,0,--,--,--,--,,0.0,16.80,1,17.45,1,57.93,
首利,557066,182,6565621,11.85,11.90,11.75,11.75,,0.0,11.75,132,11.80,6,0.00,
三洋紡,71602,66,2902632,41.10,41.30,39.95,40.90,-,0.1,40.40,4,40.90,3,0.00,
台南,198393,129,6198469,31.00,31.50,31.00,31.40,+,0.1,31.35,3,31.40,1,16.27,
弘裕,71001,28,631628,8.86,8.95,8.83,8.88,+,0.02,8.88,8,8.90,10,0.00,
本盟,117151,82,2912609,25.30,25.30,24.50,24.90,-,0.6,24.90,2,25.20,10,0.00,
儒鴻,1123741,961,424265481,387.00,392.00,371.00,373.00,-,12.0,373.00,1,373.50,6,36.86,
聚陽,654958,452,109803486,168.00,168.50,166.50,167.50,+,0.5,167.50,4,168.00,259,22.57,
士電,77030,59,2876568,37.30,37.50,37.20,37.40,-,0.15,37.40,4,37.45,1,20.00,
東元,1757044,952,58966558,34.00,34.05,33.35,33.40,-,0.55,33.40,67,33.50,24,17.86,
正道,533321,140,10068684,18.90,19.00,18.75,18.90,,0.0,18.90,8,18.95,170,0.00,
永大,1411633,966,120297303,87.10,87.20,84.30,86.00,-,0.3,85.50,14,86.00,12,22.87,
瑞利,5470497,"1,156",58818291,10.90,10.90,10.60,10.60,-,0.2,10.60,90,10.65,34,0.00,
中興電,4471978,"1,565",96159123,21.70,21.85,21.30,21.35,-,0.35,21.30,389,21.35,3,22.47,
亞力,1808549,233,18424697,10.35,10.35,10.10,10.25,-,0.1,10.15,51,10.25,11,29.29,
力山,362801,112,4050891,11.20,11.25,11.05,11.15,-,0.05,11.10,5,11.15,2,12.97,
川飛,0,0,0,--,--,--,--,,0.0,--,0,12.90,1,0.00,
利奇,2112590,822,38278535,18.45,18.55,17.90,18.00,-,0.35,18.00,211,18.05,4,13.14,
華城,190154,96,3237943,17.05,17.25,16.90,16.95,-,0.15,16.90,47,16.95,1,19.94,
大億,136168,104,9967412,74.50,75.00,72.50,72.70,-,1.7,72.60,7,72.70,3,21.13,
堤維西,2424710,867,47080029,19.70,19.90,19.00,19.25,-,0.3,19.25,49,19.30,1,77.00,
耿鼎,2909111,691,25500764,8.62,8.84,8.57,8.71,+,0.1,8.71,26,8.72,5,0.00,
江申,402820,321,33067200,83.80,84.80,81.00,81.50,-,2.3,81.50,3,81.80,1,20.32,
日馳,48956,27,535623,11.05,11.05,10.85,10.90,-,0.15,10.85,13,10.90,8,17.87,
鑽全,1978426,"1,009",71670490,35.95,36.60,35.80,36.10,+,0.3,36.10,38,36.15,15,14.21,
恩德,198986,77,2998040,15.15,15.15,14.95,15.10,,0.0,15.00,2,15.10,8,21.27,
樂士,71050,19,214785,3.10,3.10,3.00,3.05,-,0.09,3.05,18,3.10,10,0.00,
亞崴,434760,280,24059876,56.40,56.40,54.60,55.70,-,0.4,55.00,5,55.70,2,27.30,
