證券名稱,成交股數,成交筆數,成交金額,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,最後揭示買價,最後揭示買量,最後揭示賣價,最後揭示賣量,本益比,Unnamed: 16
台泥,3737620,"1,709",173218824,46.60,46.90,46.10,46.45,,0.0,46.40,1,46.45,557,15.54,
亞泥,3831293,"1,557",150012900,39.40,39.40,39.05,39.20,+,0.1,39.20,26,39.25,8,15.62,
嘉泥,86246,68,1231689,14.30,14.35,14.20,14.35,+,0.05,14.30,8,14.35,40,7.59,
環泥,360864,195,9606260,26.50,26.75,26.50,26.75,+,0.2,26.70,5,26.75,17,12.56,
幸福,1050003,189,10535570,10.10,10.20,9.99,10.05,-,0.05,10.05,2,10.10,57,14.15,
信大,92823,42,1231663,13.25,13.40,13.20,13.25,,0.0,13.25,12,13.30,3,15.23,
東泥,131000,57,2028050,15.60,15.65,15.05,15.65,+,0.3,15.15,2,15.65,7,52.17,
味全,7089785,"2,630",179161349,25.45,25.70,24.90,25.30,-,0.35,25.25,5,25.30,36,16.98,
味王,50010,45,1113820,22.30,22.40,22.20,22.40,+,0.1,22.30,1,22.40,10,20.93,
大成,1207324,663,33125496,27.25,27.65,27.20,27.55,+,0.3,27.55,9,27.60,5,6.62,
大飲,17001,13,319269,18.85,18.85,18.75,18.85,,0.0,18.80,6,18.85,4,58.91,
卜蜂,1025799,517,25551843,24.45,25.25,24.45,25.10,+,0.65,25.00,15,25.10,8,7.77,
統一,13959637,"4,129",722872511,51.40,52.30,51.20,52.20,+,1.0,52.00,106,52.20,280,19.92,
愛之味,786225,299,6269810,7.95,8.02,7.93,8.02,+,0.09,8.02,92,8.03,5,0.00,
泰山,173256,109,1984977,11.50,11.55,11.35,11.50,+,0.1,11.50,18,11.55,18,0.00,
福壽,110184,52,1662460,15.15,15.15,15.00,15.05,,0.0,15.05,12,15.10,1,37.63,
台榮,56002,15,566120,10.10,10.15,10.05,10.15,+,0.05,10.10,6,10.15,107,26.03,
福懋油,1325324,430,25155426,18.50,19.65,17.90,19.65,+,1.25,19.55,26,19.65,11,75.58,
佳格,588252,466,41055140,69.90,70.40,69.30,70.10,+,0.4,69.60,9,70.10,20,27.28,
聯華,635840,309,12485686,19.50,19.75,19.50,19.75,+,0.25,19.75,9,19.80,183,8.90,
聯華食,104866,80,3359481,32.25,32.35,31.80,32.15,+,0.15,32.00,40,32.15,1,18.91,
大統益,113345,84,8095905,72.00,72.10,70.80,71.80,,0.0,71.70,1,71.80,2,15.34,
天仁,6000,6,280450,46.60,46.80,46.60,46.80,+,0.1,46.70,3,46.90,5,17.33,
黑松,894718,405,32382631,35.90,36.60,35.80,36.40,+,0.7,36.40,4,36.50,9,17.25,
興泰,586230,314,14452691,24.10,25.00,24.10,24.90,+,1.15,24.90,8,24.95,8,19.92,
宏亞,36150,26,875878,24.35,24.40,24.10,24.10,-,0.25,24.10,4,24.30,2,12.82,
綠悅-KY,53420,55,7423380,139.00,141.00,138.00,138.50,-,0.5,138.50,1,139.50,15,16.53,
台塑,3551735,"1,686",249082374,70.30,70.40,69.80,70.20,-,0.1,70.20,101,70.30,122,19.34,
南亞,6340806,"2,320",397229698,62.60,63.40,62.00,62.90,+,0.3,62.80,301,62.90,74,14.73,
台聚,1553864,881,21925695,13.95,14.40,13.95,14.40,+,0.5,14.35,100,14.40,34,22.15,
華夏,1601199,658,17534989,10.85,11.10,10.75,11.00,+,0.25,11.00,176,11.05,28,12.22,
三芳,223312,201,6513139,29.00,29.35,28.90,29.30,+,0.2,29.15,12,29.30,4,11.40,
亞聚,552720,341,11387547,20.30,20.90,20.30,20.85,+,0.6,20.80,3,20.85,5,18.95,
台達化,1047934,437,8688460,8.12,8.40,8.12,8.40,+,0.29,8.39,2,8.40,16,0.00,
台苯,2948475,996,36960593,12.30,12.65,12.30,12.55,+,0.3,12.55,71,12.60,46,5.43,
國喬,2213777,776,32125995,14.60,14.60,14.40,14.55,+,0.05,14.50,19,14.55,76,9.51,
國喬特,0,0,0,--,--,--,--,,0.0,20.55,6,20.65,1,0.00,
聯成,777774,268,8033756,10.20,10.45,10.20,10.40,+,0.2,10.40,7,10.45,66,37.14,
中石化,23341100,"5,520",221075109,9.15,9.60,9.13,9.60,+,0.5,9.59,380,9.60,316,0.00,
達新,116174,81,3336005,27.05,29.35,27.05,28.85,X,0.0,28.80,20,29.15,1,45.79,
上曜,36000,18,418700,11.65,11.70,11.60,11.70,,0.0,11.65,3,11.70,12,0.00,
東陽,4968337,"1,997",149847178,29.30,31.00,29.25,31.00,+,1.9,30.95,7,31.00,59,14.29,
大洋,991052,570,36109660,35.15,37.35,35.15,36.40,+,1.35,36.40,17,36.55,5,0.00,
永裕,222360,172,6834578,30.50,31.20,30.30,31.20,+,0.9,31.20,1,31.30,5,11.47,
地球,61092,38,810200,13.00,13.40,13.00,13.40,+,0.4,13.20,7,13.30,1,23.93,
恆大,853200,422,17869379,21.00,21.25,20.80,21.00,,0.0,21.00,147,21.05,9,42.86,
台化,2984586,"1,372",210414205,70.70,70.80,69.90,70.80,+,0.1,70.70,19,70.80,94,18.98,
再生-KY,2935724,"1,550",112020599,38.00,38.90,37.30,38.30,+,0.5,38.10,2,38.30,21,5.81,
廣華-KY,375132,299,35437274,94.30,94.90,93.50,94.60,+,0.6,94.50,1,94.60,22,12.07,
昭輝,303003,208,27383083,93.50,93.50,87.00,93.50,,0.0,93.50,9,93.60,1,24.48,
勝悅-KY,296500,201,28674300,97.80,98.00,95.50,96.80,-,0.4,96.70,2,96.80,1,9.40,
遠東新,5537242,"1,356",176793602,32.00,32.00,31.80,31.95,-,0.15,31.95,38,32.00,"3,100",17.09,
新纖,1413505,471,15161912,10.70,10.80,10.65,10.80,+,0.15,10.75,26,10.80,290,12.56,
南染,177985,44,4556911,25.50,25.80,25.40,25.40,-,0.1,25.40,5,25.60,1,25.40,
宏洲,348814,119,1127199,3.28,3.30,3.12,3.24,-,0.05,3.22,2,3.24,1,0.00,
東和,162068,47,1290744,7.91,7.99,7.91,7.98,+,0.07,7.95,5,7.98,7,22.17,
廣豐,398108,190,6586540,16.40,16.70,16.40,16.70,+,0.35,16.65,17,16.70,8,25.69,
嘉裕,438474,165,3408338,7.75,7.82,7.73,7.79,+,0.1,7.78,5,7.79,30,19.00,
東華,35005,10,244635,6.97,7.08,6.97,7.08,+,0.11,6.95,6,6.98,2,0.00,
新紡,102481,94,4083065,39.60,40.05,39.45,40.00,+,0.5,39.95,2,40.00,14,105.26,
利華,134245,35,1030529,7.70,7.71,7.63,7.69,,0.0,7.69,5,7.70,7,0.00,
大魯閣,1232793,643,25152926,20.25,20.85,20.15,20.40,+,0.15,20.30,36,20.40,3,0.00,
福懋,706044,450,21509392,30.50,30.70,30.10,30.70,+,0.2,30.55,22,30.70,14,23.08,
中福,51001,16,291315,5.74,5.74,5.70,5.70,,0.0,5.70,6,5.73,3,0.00,
華友聯,29000,11,1434300,49.50,49.50,49.25,49.30,-,0.05,48.90,1,49.30,1,13.58,
勤益控,789200,287,17087800,21.40,21.80,21.40,21.65,+,0.3,21.60,15,21.65,2,0.00,
裕豐,60000,17,350350,5.80,5.94,5.76,5.76,-,0.2,5.76,21,5.85,4,52.36,
中和,25300,8,339959,13.40,13.45,13.40,13.45,,0.0,13.40,11,13.50,5,0.00,
南紡,660330,283,11082596,16.90,16.90,16.70,16.85,+,0.25,16.80,10,16.85,6,36.63,
大東,72518,35,667163,9.16,9.24,9.16,9.17,+,0.01,9.17,12,9.22,5,0.00,
名軒,153000,108,3651300,24.00,24.10,23.65,23.85,-,0.2,23.80,2,23.85,1,9.62,
立益,19151,15,134011,7.06,7.06,6.98,6.99,+,0.1,6.88,1,7.00,2,0.00,
力麗,303043,150,2600535,8.59,8.61,8.54,8.60,+,0.01,8.59,22,8.60,22,19.55,
大宇,45008,22,401062,8.85,8.93,8.85,8.93,+,0.03,8.86,6,8.93,4,27.91,
宏和,170866,80,4931395,28.90,29.20,28.75,28.95,+,0.25,28.90,12,29.15,3,0.00,
力鵬,1251688,507,12967484,10.30,10.45,10.25,10.45,+,0.2,10.40,41,10.45,51,12.29,
佳和,284432,40,389775,1.38,1.39,1.36,1.36,-,0.01,1.34,50,1.36,10,0.00,
年興,72617,43,1821636,25.05,25.20,25.00,25.15,+,0.15,25.10,4,25.20,19,13.82,
宏益,443205,182,5436350,12.00,12.45,12.00,12.25,+,0.25,12.15,17,12.25,16,9.80,
大將,222810,114,1901396,8.67,8.71,8.44,8.54,-,0.12,8.51,1,8.54,1,0.00,
台富,78003,20,592141,7.65,7.65,7.55,7.63,+,0.03,7.63,5,7.64,3,27.25,
集盛,368640,175,3080509,8.35,8.40,8.31,8.39,+,0.07,8.39,7,8.40,25,33.56,
怡華,26121,6,183747,7.00,7.18,7.00,7.00,-,0.09,7.00,21,7.38,2,0.00,
宜進,149408,76,1179809,7.81,7.92,7.81,7.88,+,0.08,7.88,2,7.90,6,8.38,
聯發,108190,58,1026529,9.50,9.55,9.43,9.43,-,0.07,9.43,2,9.51,2,12.74,
宏遠,1316392,453,18714554,14.15,14.35,14.10,14.15,+,0.15,14.15,44,14.20,27,24.82,
強盛,161000,84,2392500,14.70,15.00,14.70,14.95,+,0.1,14.90,3,14.95,2,31.15,
得力,6012,17,68682,11.45,11.45,11.35,11.45,,0.0,11.25,7,11.45,10,0.00,
偉全,43600,42,669910,15.40,15.40,15.30,15.40,,0.0,15.35,6,15.40,3,11.49,
聚隆,1324010,557,26671350,19.90,20.50,19.65,20.15,+,0.95,20.10,1,20.15,3,22.64,
南緯,372000,126,4879100,13.10,13.20,13.05,13.15,+,0.2,13.15,3,13.20,46,27.40,
昶和,24000,16,253850,10.50,10.75,10.45,10.75,+,0.25,10.55,1,10.70,12,0.00,
理隆,0,0,0,--,--,--,--,,0.0,12.20,3,12.35,1,617.50,
大統新創,0,0,0,--,--,--,--,,0.0,17.75,2,18.95,1,27.54,
首利,310346,150,2547443,8.11,8.25,8.11,8.25,+,0.14,8.24,5,8.25,21,0.00,
三洋紡,66000,50,2312300,33.80,35.70,33.80,35.00,+,1.55,34.50,1,35.00,3,0.00,
台南,155058,106,3932459,25.50,25.80,25.10,25.20,-,0.2,25.10,19,25.25,5,39.38,
弘裕,15005,12,122620,8.20,8.20,8.15,8.17,-,0.05,8.17,5,8.18,1,15.13,
本盟,32000,26,496350,15.25,15.80,15.00,15.40,+,0.15,15.50,1,15.55,2,0.00,
儒鴻,3206747,"2,634",912667136,279.00,290.00,276.00,289.00,+,16.0,288.00,1,289.50,20,26.59,
聚陽,719587,446,114417037,157.50,160.00,157.50,159.00,+,1.5,158.50,45,159.00,9,18.05,
士電,113663,55,4521450,39.70,40.00,39.70,39.70,-,0.25,39.70,32,39.90,16,16.01,
東元,5403889,"2,181",181686413,33.70,34.05,33.35,33.80,+,0.2,33.70,8,33.80,848,15.79,
正道,2079100,703,45140935,20.70,22.00,20.70,21.75,+,1.15,21.75,20,21.80,28,0.00,
永大,1146534,356,77387385,67.50,67.80,67.30,67.50,+,0.5,67.40,19,67.50,28,14.15,
瑞利,277005,104,1585910,5.69,5.76,5.68,5.74,+,0.06,5.74,4,5.75,7,0.00,
中興電,533740,237,10198010,19.00,19.20,19.00,19.10,+,0.1,19.05,137,19.15,27,15.16,
亞力,128483,55,1048079,8.10,8.21,8.10,8.21,+,0.12,8.14,8,8.21,4,48.29,
力山,839359,262,9727864,11.75,11.75,11.50,11.65,-,0.1,11.55,11,11.65,38,22.40,
川飛,91,1,1228,--,--,--,--,,0.0,14.00,2,15.00,1,45.81,
利奇,103029,67,1369583,13.20,13.35,13.20,13.35,+,0.15,13.30,10,13.35,5,9.82,
華城,108607,55,1613272,14.80,14.95,14.70,14.85,+,0.05,14.75,13,14.85,1,28.02,
大億,48000,43,3421300,71.00,71.80,70.90,71.20,+,0.4,71.20,1,71.50,5,14.10,
堤維西,379100,132,6291275,16.60,16.75,16.45,16.75,+,0.3,16.75,11,16.80,38,55.83,
耿鼎,72736,41,495104,6.76,6.85,6.76,6.82,+,0.09,6.82,7,6.83,10,0.00,
江申,629285,347,34013390,53.70,55.20,53.40,54.00,+,0.8,53.80,1,54.00,294,11.25,
日馳,129951,55,1605838,12.45,12.45,12.15,12.40,-,0.05,12.30,10,12.40,6,14.76,
鑽全,1195212,774,43030544,35.35,36.30,35.35,36.20,+,1.05,36.20,24,36.30,28,12.44,
恩德,174022,64,1906955,11.00,11.05,10.85,10.95,,0.0,10.90,3,10.95,2,23.80,
樂士,88001,17,379204,4.51,4.51,4.20,4.30,-,0.21,4.30,1,4.44,42,0.00,
亞崴,12062,13,498300,41.25,41.55,41.10,41.55,+,0.15,41.70,1,41.90,1,17.17,
高林股,270000,145,5525050,20.60,20.65,20.20,20.40,-,0.2,20.40,2,20.45,31,18.21,
勤美,1010989,477,24995870,24.45,25.00,24.45,25.00,+,0.6,24.80,5,25.00,42,3.41,
車王電,677000,470,42871900,63.80,63.90,63.10,63.20,+,0.1,63.20,16,63.40,8,23.49,
中宇,59202,51,3570501,59.70,60.90,59.70,60.80,+,1.1,60.60,12,60.80,2,13.36,
和大,2116303,"1,417",114961396,54.80,55.00,54.00,54.20,-,0.1,54.20,24,54.40,6,21.94,
廣隆,158125,137,16236312,104.00,104.00,102.00,102.00,-,1.0,102.00,18,102.50,37,15.25,
巨庭,379027,197,5665906,14.95,15.25,14.65,15.05,+,0.2,15.00,12,15.05,4,10.99,
喬福,95150,59,2174850,22.95,23.00,22.75,22.90,+,0.05,22.85,3,22.90,1,13.39,
錩泰,168000,111,2804600,16.75,16.95,16.50,16.55,-,0.15,16.55,12,16.65,1,118.21,
中砂,557140,352,34126080,61.00,61.80,60.50,61.50,+,1.2,61.30,4,61.50,2,13.91,
倉佑,97006,76,1993775,20.60,20.95,20.40,20.70,+,0.35,20.65,2,20.70,5,19.35,
信錦,498003,301,28869975,58.00,58.50,57.40,58.10,+,0.5,58.10,1,58.20,1,12.00,
程泰,44662,36,3129737,70.50,70.70,70.00,70.30,+,0.3,70.10,1,70.40,1,15.38,
永冠-KY,1132885,794,138063970,121.50,124.00,119.50,122.00,+,0.5,121.50,24,122.00,4,14.65,
亞德客-KY,912540,793,204004420,223.00,227.50,217.50,222.00,+,7.5,222.00,32,223.00,2,19.89,
英瑞-KY,276000,197,8946050,32.50,33.00,32.15,32.45,-,0.55,32.40,3,32.50,2,7.28,
華電,87162,29,1051594,11.85,12.15,11.85,12.05,+,0.05,12.05,10,12.10,13,13.54,
