證券名稱,成交股數,成交筆數,成交金額,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,最後揭示買價,最後揭示買量,最後揭示賣價,最後揭示賣量,本益比,Unnamed: 16
台泥,6057377,"2,593",277777638,45.90,46.10,45.55,45.85,+,0.05,45.80,1,45.85,15,18.12,
亞泥,2482975,863,93655294,37.75,37.80,37.60,37.75,-,0.05,37.70,66,37.75,252,20.52,
嘉泥,542739,205,8446996,15.65,15.65,15.50,15.60,-,0.1,15.55,14,15.60,51,52.00,
環泥,1596044,859,47850791,30.75,30.75,29.50,29.80,-,0.95,29.80,11,29.90,5,20.55,
幸福,650213,171,5648983,8.65,8.74,8.65,8.73,+,0.07,8.72,29,8.73,2,18.98,
信大,70951,32,855712,12.15,12.15,11.95,12.10,-,0.1,12.00,5,12.15,1,25.21,
東泥,318150,104,5376085,16.50,17.05,16.50,17.00,+,0.5,16.95,7,17.00,23,106.25,
味全,234870,141,11687315,49.80,50.00,49.60,49.95,-,0.05,49.70,4,49.95,7,27.30,
味王,111425,80,2739039,24.70,24.70,24.50,24.50,-,0.2,24.50,35,24.60,7,20.08,
大成,395256,266,10269764,26.05,26.10,25.90,25.90,-,0.15,25.90,17,26.00,1,21.76,
大飲,78005,41,1746960,22.55,22.55,22.30,22.55,,0.0,22.30,4,22.55,11,72.74,
卜蜂,666846,327,10635581,16.00,16.00,15.90,15.90,-,0.05,15.90,308,15.95,30,10.89,
統一,10564518,"4,884",520386285,49.70,49.75,49.00,49.00,-,1.0,49.00,968,49.05,220,18.63,
愛之味,1023361,354,9228016,9.05,9.09,8.99,9.00,-,0.05,9.00,68,9.02,3,0.00,
泰山,698268,243,9053550,12.95,13.05,12.90,12.90,,0.0,12.90,9,12.95,2,0.00,
福壽,218483,57,3144880,14.45,14.45,14.35,14.35,-,0.15,14.35,9,14.40,4,0.00,
台榮,135306,59,1371270,10.10,10.20,10.00,10.10,,0.0,10.05,35,10.10,5,21.04,
福懋油,275820,68,3107571,11.40,11.40,11.25,11.30,,0.0,11.25,17,11.30,167,0.00,
佳格,723476,580,63159040,87.80,87.80,87.10,87.30,-,0.5,87.20,15,87.30,21,27.45,
聯華,363537,217,6947225,19.10,19.20,19.05,19.15,-,0.05,19.10,6,19.15,18,11.54,
聯華食,159871,122,5967482,37.45,37.55,37.15,37.30,-,0.05,37.30,14,37.40,2,16.58,
大統益,89221,51,5469802,61.40,61.70,61.20,61.20,-,0.2,61.30,1,61.70,18,18.95,
天仁,32301,32,1561356,48.00,48.50,48.00,48.45,-,0.05,48.10,5,48.45,2,20.62,
黑松,1068129,613,35830672,33.50,33.90,33.10,33.30,+,0.3,33.25,3,33.30,8,1.77,
興泰,14281,13,363351,25.50,25.50,25.30,25.50,-,0.05,25.40,2,25.50,1,0.00,
宏亞,88312,59,2395345,26.85,27.25,26.70,27.05,+,0.1,26.85,4,27.05,2,15.82,
綠悅-KY,371900,324,62402300,168.00,170.50,166.00,168.00,,0.0,168.00,25,169.00,1,21.13,
台塑,3183478,"1,611",243542683,76.80,77.00,76.20,76.40,-,0.9,76.40,59,76.50,611,27.09,
南亞,2608223,"1,348",166520678,64.00,64.00,63.60,64.00,,0.0,63.80,6,64.00,977,25.20,
台聚,1834922,"1,131",37481340,20.45,20.60,20.35,20.40,-,0.05,20.40,8,20.50,68,36.43,
