證券名稱,成交股數,成交筆數,成交金額,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,最後揭示買價,最後揭示買量,最後揭示賣價,最後揭示賣量,本益比,Unnamed: 16
台泥,5764309,"2,042",273845233,47.95,47.95,47.05,47.45,-,0.15,47.35,92,47.45,94,18.75,
亞泥,2494529,"1,050",95473269,38.25,38.35,38.15,38.30,+,0.05,38.15,6,38.30,"1,548",20.82,
嘉泥,395561,139,6051049,15.35,15.35,15.25,15.35,,0.0,15.30,37,15.35,6,51.17,
環泥,1340545,622,41158671,30.30,31.10,30.05,30.85,+,0.55,30.85,26,30.90,17,21.28,
幸福,5623697,"1,095",53014724,9.25,9.60,9.25,9.47,+,0.25,9.46,25,9.47,54,20.59,
信大,76000,25,904600,11.95,11.95,11.90,11.90,,0.0,11.90,6,11.95,5,24.79,
東泥,6000,3,101650,16.95,16.95,16.90,16.90,-,0.1,16.85,2,16.90,1,105.63,
味全,409083,287,19295094,47.00,47.40,47.00,47.10,+,0.5,47.10,35,47.20,10,25.74,
味王,63923,48,1535636,23.95,24.20,23.90,24.15,+,0.35,24.10,20,24.15,6,19.80,
大成,7153460,"2,397",212071508,29.85,30.20,29.10,29.60,+,0.1,29.55,7,29.60,14,24.87,
大飲,116060,68,2561823,21.90,22.30,21.75,22.20,+,0.4,22.20,3,22.25,7,71.61,
卜蜂,1301472,642,25972499,20.50,20.50,19.75,19.90,-,0.1,19.85,31,19.90,18,13.63,
統一,6794357,"2,997",348549423,50.90,51.80,50.80,51.40,+,0.9,51.30,11,51.40,8,19.54,
愛之味,1924535,515,19031925,9.89,9.94,9.86,9.90,+,0.05,9.88,34,9.90,348,0.00,
泰山,4855833,"1,288",69955055,14.00,14.65,13.90,14.65,+,0.8,14.60,16,14.65,156,0.00,
福壽,149646,79,2308532,15.20,15.55,15.20,15.40,-,0.05,15.35,14,15.40,9,0.00,
台榮,63363,35,656354,10.40,10.40,10.30,10.30,,0.0,10.30,6,10.35,3,21.46,
福懋油,431675,141,5488566,12.60,12.90,12.60,12.75,+,0.2,12.75,16,12.85,3,0.00,
佳格,1122457,792,91993994,81.50,82.50,81.50,82.10,+,0.6,82.00,100,82.10,6,25.82,
聯華,349994,156,6760331,19.30,19.40,19.25,19.35,+,0.05,19.35,30,19.40,32,11.66,
聯華食,164874,115,6080961,36.90,37.10,36.55,36.80,+,0.3,36.80,3,36.85,1,16.36,
大統益,175030,111,11648594,66.60,66.90,66.30,66.60,+,0.5,66.40,13,66.60,8,20.62,
天仁,57343,50,2776153,48.00,48.70,48.00,48.60,+,0.6,48.55,1,48.60,1,19.06,
黑松,140104,125,4617588,33.00,33.20,32.85,32.90,+,0.2,32.90,10,33.00,71,1.75,
興泰,712030,323,25454800,35.00,36.90,35.00,35.30,-,0.3,35.25,30,35.30,4,0.00,
宏亞,25507,91,678998,26.75,26.75,26.60,26.60,+,0.3,26.50,1,26.60,4,21.11,
綠悅-KY,537786,470,145556115,263.50,276.00,262.00,270.00,+,8.0,270.00,5,271.00,2,28.63,
台塑,3978681,"1,581",294711494,74.60,74.60,73.30,74.00,-,0.6,74.00,16,74.10,2,22.77,
南亞,5081841,"2,357",325395766,63.80,64.40,63.80,63.80,-,0.6,63.80,116,63.90,2,25.12,
台聚,1609708,863,31830913,19.85,19.90,19.70,19.75,,0.0,19.75,10,19.80,22,35.27,
華夏,4082032,"1,617",64192147,15.65,15.80,15.65,15.80,+,0.25,15.75,2,15.80,240,9.58,
三芳,74206,49,2201163,29.55,29.80,29.55,29.70,+,0.15,29.70,10,29.80,3,14.49,
亞聚,847414,500,19700080,23.25,23.50,23.10,23.25,+,0.1,23.25,2,23.30,34,27.68,
台達化,420341,271,4728942,11.25,11.30,11.20,11.20,,0.0,11.20,106,11.30,24,35.00,
台苯,4960147,"1,838",87076042,17.70,17.85,17.35,17.40,-,0.25,17.40,58,17.45,17,12.43,
國喬,7661943,"2,374",141258166,18.55,18.60,18.35,18.40,+,0.2,18.40,455,18.45,141,11.22,
國喬特,2000,2,46400,23.15,23.25,23.15,23.25,X,0.0,23.15,2,23.25,1,0.00,
聯成,1471335,489,19932364,13.60,13.70,13.50,13.60,+,0.05,13.55,86,13.60,157,28.33,
中石化,6104599,"2,461",77001211,12.75,12.75,12.50,12.50,-,0.1,12.50,703,12.55,36,0.00,
達新,72006,48,2087824,28.70,29.30,28.65,29.20,+,0.5,29.00,5,29.20,2,46.35,
上曜,219209,70,2860087,13.30,13.30,13.00,13.15,,0.0,13.10,2,13.15,15,0.00,
東陽,1065456,557,46718182,44.00,44.45,43.65,43.70,-,0.4,43.70,574,43.90,2,21.42,
大洋,1229156,692,54388075,44.50,44.90,43.70,44.00,-,0.4,44.00,23,44.30,3,0.00,
永裕,182650,132,7113084,38.80,39.00,38.80,38.85,+,0.1,38.85,2,38.95,5,14.61,
地球,343000,160,5776400,16.80,17.15,16.65,16.70,+,0.1,16.70,45,16.80,4,24.56,
恆大,113000,70,2167350,19.40,19.40,19.00,19.30,+,0.3,19.10,5,19.30,11,26.44,
台化,4475705,"2,639",321960873,72.80,72.80,71.70,71.70,-,1.1,71.70,118,71.80,1,16.87,
再生-KY,761891,475,66196824,87.00,87.40,86.30,86.80,+,0.3,86.70,15,86.80,1,13.48,
廣華-KY,405300,261,47908300,119.00,120.00,116.00,116.00,-,2.0,116.00,43,116.50,5,33.05,
昭輝,1108056,673,57368933,50.50,52.50,50.00,52.20,+,2.7,52.20,15,52.30,17,16.84,
勝悅-KY,179100,157,29366450,166.00,166.00,163.00,163.00,-,2.5,163.00,14,164.00,2,22.45,
遠東新,5111419,"1,669",163207081,32.20,32.20,31.70,31.75,-,0.25,31.75,231,31.85,3,23.87,
新纖,4540796,855,45909763,10.05,10.20,10.00,10.15,+,0.1,10.15,238,10.20,667,15.15,
南染,220004,82,5247146,24.00,24.05,23.60,23.85,+,0.05,23.85,13,23.90,8,21.68,
宏洲,190407,55,857581,4.52,4.55,4.44,4.54,+,0.07,4.50,3,4.52,10,0.00,
東和,3981014,901,41259775,10.15,10.50,10.15,10.30,+,0.2,10.25,55,10.30,26,16.35,
廣豐,839246,235,16812019,20.05,20.20,19.95,20.20,+,0.25,20.10,28,20.20,16,80.80,
嘉裕,466958,151,3878749,8.25,8.34,8.25,8.28,-,0.02,8.28,13,8.30,10,0.00,
東華,106611,33,684476,6.46,6.46,6.39,6.40,+,0.01,6.39,31,6.45,31,0.00,
新紡,33482,19,1324017,39.40,39.65,39.30,39.30,-,0.1,39.30,7,39.50,6,64.43,
利華,122592,44,979976,8.04,8.04,7.95,8.02,,0.0,8.01,3,8.02,1,0.00,
大魯閣,668199,268,16911375,25.40,25.60,25.05,25.05,-,0.05,25.05,51,25.20,10,5.49,
福懋,5405243,"2,404",180331665,32.80,34.10,32.25,34.00,+,1.35,33.95,39,34.00,80,31.48,
中福,200525,71,1371697,6.93,6.97,6.80,6.82,-,0.11,6.82,1,6.88,3,0.00,
華友聯,126000,63,6038450,49.30,49.30,46.80,48.00,-,1.95,47.35,1,48.00,4,0.00,
勤益控,2543859,883,56377319,22.00,22.65,21.90,22.35,+,0.7,22.35,34,22.40,21,0.00,
裕豐,1186260,303,7746555,6.39,6.76,6.32,6.76,+,0.44,6.76,160,--,0,35.58,
中和,70000,33,1028500,14.65,14.75,14.60,14.75,+,0.15,14.75,9,14.80,20,0.00,
南紡,15548265,"4,260",358531476,23.10,23.55,22.50,22.75,-,0.2,22.75,146,22.80,5,29.93,
大東,119102,102,1157446,9.69,9.76,9.69,9.71,+,0.05,9.71,2,9.72,2,40.46,
名軒,710262,418,25093120,35.30,35.50,35.15,35.35,,0.0,35.35,1,35.50,3,5.60,
立益,79088,19,576386,7.23,7.30,7.23,7.30,,0.0,7.26,10,7.30,7,0.00,
力麗,5739542,"2,449",62714969,10.70,11.05,10.70,10.95,+,0.25,10.90,211,10.95,50,12.59,
大宇,344428,75,3566654,10.40,10.40,10.25,10.40,+,0.05,10.30,2,10.40,85,24.76,
宏和,244035,88,7641050,31.10,31.70,31.10,31.70,+,0.6,31.60,2,31.75,14,0.00,
力鵬,4058020,"1,111",57437871,14.00,14.30,13.95,14.10,+,0.2,14.10,7,14.15,11,9.16,
佳和,134507,18,213460,1.59,1.59,1.57,1.59,+,0.04,1.57,10,1.59,79,0.00,
年興,1881121,734,58347105,30.40,31.35,30.40,31.30,+,1.0,31.25,30,31.30,50,18.86,
宏益,2245367,770,28000996,12.20,12.65,12.15,12.50,+,0.45,12.50,19,12.55,19,12.14,
大將,62170,33,607091,9.71,9.88,9.71,9.84,,0.0,9.83,1,9.84,2,9.94,
台富,39875,33,322757,8.00,8.15,8.00,8.12,,0.0,8.07,8,8.13,1,47.76,
