證券名稱,成交股數,成交筆數,成交金額,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,最後揭示買價,最後揭示買量,最後揭示賣價,最後揭示賣量,本益比,Unnamed: 16
台泥,6356453,"3,289",287238410,45.10,45.60,44.80,45.30,+,0.3,45.30,146,45.35,5,15.15,
亞泥,3791873,"1,909",146675997,38.80,39.10,38.20,38.85,+,0.15,38.85,296,39.00,46,15.48,
嘉泥,541577,202,8024784,14.90,14.90,14.75,14.85,,0.0,14.80,102,14.85,50,7.86,
環泥,354839,206,9399953,26.60,26.65,26.30,26.65,+,0.25,26.60,1,26.65,107,12.51,
幸福,1039082,424,10281218,9.80,10.05,9.78,10.00,+,0.2,9.99,4,10.00,42,14.08,
信大,213000,172,3012650,13.75,14.40,13.70,14.35,+,0.65,14.30,1,14.35,8,16.49,
東泥,407692,167,6635519,16.00,16.80,15.80,16.75,+,0.7,16.70,1,16.75,14,55.83,
味全,1374669,804,49345361,36.30,36.50,35.45,36.05,-,0.25,36.05,12,36.15,4,24.19,
味王,152882,122,3608461,23.55,23.75,23.50,23.70,+,0.05,23.65,9,23.70,5,22.15,
大成,3871754,"1,663",115164520,30.20,30.40,29.35,29.65,-,0.55,29.65,294,29.80,6,7.13,
大飲,84000,44,1584950,18.80,19.05,18.75,19.00,+,0.05,18.95,8,19.05,2,59.38,
卜蜂,1397543,656,35286125,25.50,25.55,24.90,25.40,-,0.1,25.40,30,25.50,73,7.86,
統一,9647557,"3,662",511649121,53.50,53.70,52.60,52.80,-,1.0,52.80,99,52.90,10,20.15,
愛之味,2223840,742,18800657,8.58,8.63,8.40,8.44,-,0.14,8.44,18,8.47,31,0.00,
泰山,514499,265,6367760,12.45,12.45,12.30,12.35,-,0.1,12.35,24,12.45,1,0.00,
福壽,146729,118,2429444,16.35,16.80,16.20,16.80,+,0.4,16.70,1,16.80,9,42.00,
台榮,114531,54,1149560,10.05,10.10,9.97,10.10,,0.0,10.05,4,10.10,45,25.90,
福懋油,1167094,464,30544208,25.70,26.65,25.70,26.35,+,0.4,26.35,13,26.40,25,101.35,
佳格,3440145,"1,622",237461113,70.50,70.60,68.10,68.50,-,2.4,68.50,17,68.60,2,26.65,
聯華,748463,499,15024772,19.95,20.30,19.85,20.30,+,0.35,20.20,7,20.30,71,9.14,
聯華食,333769,273,11424219,34.70,34.80,33.80,34.55,-,0.35,34.55,9,34.70,12,20.32,
大統益,171043,104,12129466,71.00,71.40,70.50,71.40,+,0.4,71.30,1,71.50,2,15.26,
天仁,66200,62,3270429,48.65,50.50,48.60,49.65,+,1.0,49.60,1,49.70,1,18.39,
黑松,514700,328,17530681,34.00,34.40,33.85,34.25,+,0.3,34.25,29,34.30,2,16.23,
興泰,220001,123,6871531,30.45,31.95,30.45,31.55,+,0.75,31.55,7,31.60,1,25.24,
宏亞,122012,87,3090856,24.80,25.60,24.80,25.60,+,0.8,25.50,21,25.60,7,13.62,
綠悅-KY,73600,73,11829600,161.00,161.50,159.00,161.00,,0.0,160.50,3,161.00,14,19.21,
台塑,8074577,"4,243",577982135,71.60,72.50,71.00,72.10,+,0.1,72.00,1,72.10,154,19.86,
南亞,9947340,"3,397",666285721,67.50,68.10,66.50,66.60,-,1.1,66.60,21,66.70,10,15.60,
台聚,1795168,682,26956070,15.10,15.15,14.95,15.00,-,0.1,15.00,104,15.10,1,23.08,
華夏,1214942,514,14122796,11.85,11.85,11.55,11.65,-,0.2,11.60,27,11.65,42,12.94,
三芳,184178,142,5422366,29.10,29.70,29.00,29.65,+,0.45,29.60,11,29.65,4,11.54,
亞聚,563874,275,11636940,20.70,20.80,20.50,20.65,-,0.2,20.65,30,20.75,1,18.77,
台達化,855321,316,7560582,9.00,9.05,8.61,8.81,-,0.1,8.80,2,8.81,9,0.00,
台苯,2213159,953,29334901,13.40,13.45,13.10,13.30,-,0.2,13.30,26,13.40,55,5.76,
國喬,4554125,"1,213",62767474,14.20,14.35,13.40,13.75,-,0.5,13.70,241,13.75,5,8.99,
國喬特,32000,17,662700,20.60,20.85,20.50,20.80,+,0.25,20.55,1,20.80,6,0.00,
聯成,682105,375,7680341,11.35,11.45,11.10,11.45,+,0.15,11.35,1,11.45,154,40.89,
中石化,22226852,"5,226",211665806,10.05,10.10,9.30,9.52,-,0.47,9.51,161,9.52,67,0.00,
達新,121006,91,3380518,27.90,28.15,27.75,28.15,+,0.25,28.05,8,28.20,11,44.68,
