證券名稱,成交股數,成交筆數,成交金額,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,最後揭示買價,最後揭示買量,最後揭示賣價,最後揭示賣量,本益比,Unnamed: 16
台泥,8117150,"3,471",288722193,35.40,35.75,35.40,35.60,+,0.2,35.55,137,35.60,487,9.78,
亞泥,5297404,"1,916",180516306,33.55,34.30,33.55,33.95,+,0.4,33.90,348,33.95,38,10.38,
嘉泥,200166,78,2707790,13.50,13.60,13.45,13.60,+,0.05,13.55,2,13.60,26,4.81,
環泥,69541,52,1310445,18.80,18.90,18.80,18.90,,0.0,18.85,6,18.90,30,10.80,
幸福,31287,18,229674,7.34,7.35,7.34,7.34,+,0.04,7.34,63,7.35,9,0.00,
信大,15000,8,205450,13.95,13.95,13.60,13.80,,0.0,13.80,4,13.85,3,6.51,
東泥,268551,48,4546306,17.00,17.00,16.80,16.95,-,0.05,16.85,5,16.95,23,67.80,
味全,777200,342,16886469,22.00,22.25,21.50,22.25,+,0.25,22.20,5,22.25,27,7.04,
味王,4009,13,104134,25.95,26.00,25.95,26.00,+,0.05,25.80,1,26.00,2,14.36,
大成,2080672,888,69430401,33.50,33.55,33.05,33.50,+,0.05,33.50,67,33.55,25,10.84,
大飲,5000,5,50250,10.05,10.05,10.05,10.05,,0.0,10.05,2,10.10,2,0.00,
卜蜂,1787238,"1,264",95500181,54.80,54.80,52.80,53.20,-,1.1,53.10,16,53.20,3,13.93,
統一,6172491,"2,452",428668555,69.70,69.80,68.80,69.80,+,0.6,69.80,169,69.90,205,9.97,
愛之味,238371,94,1628591,6.83,6.85,6.80,6.85,+,0.05,6.83,2,6.85,33,17.13,
泰山,9722031,"1,820",182127868,18.45,19.10,18.35,19.00,+,0.5,19.00,395,19.05,35,20.88,
福壽,32745,21,598718,18.25,18.35,18.15,18.35,+,0.1,18.25,2,18.35,1,107.94,
台榮,27171,15,295446,10.90,10.95,10.85,10.90,,0.0,10.85,2,10.90,7,22.71,
福懋油,17215,11,1314719,76.00,77.80,76.00,77.80,+,1.2,74.90,1,78.00,1,96.05,
佳格,396454,315,19662841,49.95,49.95,49.20,49.70,-,0.25,49.60,4,49.70,16,15.88,
聯華,1952758,596,57812815,29.60,29.65,29.50,29.65,+,0.05,29.65,70,29.70,12,11.96,
聯華食,80403,61,2937265,36.50,36.80,36.30,36.70,+,0.2,36.65,3,36.70,1,12.23,
大統益,12412,16,1214403,97.80,98.00,97.30,98.00,+,0.6,97.60,3,98.10,1,18.77,
天仁,32000,23,1208700,37.40,38.10,37.40,38.05,+,0.1,38.00,5,38.05,1,18.84,
黑松,24253,14,726311,29.90,29.95,29.90,29.95,,0.0,29.85,6,29.95,1,18.04,
興泰,75440,27,1935786,25.65,25.95,25.60,25.70,+,0.05,25.70,1,25.80,6,9.55,
宏亞,2170,8,29850,13.60,13.70,13.60,13.70,,0.0,13.60,3,13.70,2,0.00,
鮮活果汁-KY,10378,13,1451798,140.00,141.00,139.50,139.50,+,0.5,139.00,6,140.00,3,10.43,
綠悅-KY,363178,229,13046351,37.00,37.00,35.65,35.70,-,0.85,35.70,3,35.85,7,0.00,
台塑,7228094,"2,924",722315300,98.00,101.00,98.00,101.00,+,3.2,100.50,"2,131",101.00,736,10.70,
南亞,7694927,"2,882",577493701,73.70,75.50,73.60,75.50,+,1.5,75.50,468,75.60,101,9.02,
