證券名稱,成交股數,成交筆數,成交金額,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,最後揭示買價,最後揭示買量,最後揭示賣價,最後揭示賣量,本益比,Unnamed: 16
台泥,12886568,"4,956",576828457,44.65,45.15,44.35,45.00,+,0.25,44.90,1,45.00,353,19.65,
亞泥,5970972,"2,323",201395191,34.00,34.00,33.60,33.85,-,0.45,33.80,18,33.85,4,15.97,
嘉泥,392328,181,5276909,13.40,13.55,13.35,13.55,+,0.1,13.55,3,13.60,25,7.53,
環泥,188599,130,4037015,21.50,21.55,21.35,21.40,,0.0,21.35,81,21.40,43,12.37,
幸福,291261,86,2363663,8.14,8.15,8.06,8.15,+,0.03,8.15,31,8.16,5,0.00,
信大,41191,33,580582,14.00,14.25,14.00,14.15,+,0.15,14.10,5,14.15,3,8.79,
東泥,159862,41,2264676,14.00,14.30,14.00,14.30,+,0.15,14.10,3,14.30,11,158.89,
味全,1622909,697,40005923,24.45,24.85,24.45,24.50,+,0.1,24.50,78,24.55,13,16.90,
味王,23703,20,609848,25.75,25.75,25.70,25.75,,0.0,25.75,1,25.90,1,14.31,
大成,774475,509,30670650,39.50,39.75,39.45,39.70,+,0.2,39.65,4,39.70,28,10.73,
大飲,44811,27,663868,14.85,14.90,14.80,14.80,-,0.1,14.80,2,14.90,1,0.00,
卜蜂,336262,284,20269245,60.10,60.50,60.10,60.30,+,0.2,60.30,24,60.40,1,12.56,
統一,6467673,"3,130",485465675,75.50,75.50,74.80,75.00,-,0.5,74.90,28,75.00,649,10.74,
愛之味,3514250,"1,072",29230114,8.35,8.43,8.21,8.23,-,0.07,8.23,1,8.25,12,20.58,
泰山,6181813,"2,298",126524427,20.10,20.80,20.05,20.45,+,0.35,20.40,44,20.45,16,24.94,
福壽,45505,27,846192,18.55,18.70,18.55,18.65,-,0.05,18.65,4,18.70,9,38.85,
台榮,110424,40,1354722,12.35,12.35,12.20,12.30,-,0.05,12.25,6,12.30,15,21.58,
福懋油,60574,9,4892148,80.50,80.90,80.50,80.90,+,0.1,80.90,1,81.60,1,70.96,
佳格,513510,364,32204966,63.00,63.20,62.50,62.70,-,0.6,62.60,1,62.70,80,24.49,
聯華,850703,521,32932237,38.70,38.80,38.65,38.70,+,0.05,38.70,20,38.75,111,12.09,
聯華食,127756,114,4882993,38.60,38.60,38.05,38.30,-,0.1,38.15,1,38.30,2,13.03,
大統益,8130,12,768950,94.30,94.70,94.30,94.60,,0.0,94.40,2,94.60,2,17.92,
天仁,54971,32,2091398,38.05,38.05,38.00,38.00,-,0.15,38.00,17,38.10,2,20.32,
黑松,103752,72,3315859,31.75,32.15,31.75,31.90,+,0.1,31.85,22,32.00,12,22.31,
興泰,16068,12,624448,38.90,39.20,38.70,39.20,+,0.25,38.70,2,39.00,1,8.29,
宏亞,44853,28,779805,17.35,17.50,17.20,17.45,+,0.05,17.40,7,17.50,2,41.55,
鮮活果汁-KY,74650,58,13526125,182.00,182.50,180.00,181.50,-,0.5,181.00,6,182.50,1,18.06,
