證券名稱,成交股數,成交筆數,成交金額,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,最後揭示買價,最後揭示買量,最後揭示賣價,最後揭示賣量,本益比,Unnamed: 16
台泥,5977425,"2,984",218628760,36.65,36.80,36.35,36.55,-,0.45,36.55,154,36.65,92,19.97,
亞泥,3326433,"1,808",93643275,28.50,28.55,28.00,28.10,-,0.3,28.10,48,28.15,7,17.56,
嘉泥,1620068,395,18024508,10.95,11.30,10.95,11.25,+,0.3,11.20,41,11.25,74,70.31,
環泥,233971,129,5177704,22.10,22.20,22.10,22.15,+,0.05,22.15,9,22.20,24,9.59,
幸福,163885,69,1311330,8.01,8.02,7.99,8.00,-,0.02,7.98,23,8.00,7,50.00,
信大,41796,28,589333,14.30,14.35,14.00,14.15,+,0.2,14.05,6,14.15,5,14.74,
東泥,23207,15,323398,13.90,14.00,13.90,14.00,,0.0,13.90,8,13.95,5,127.27,
味全,3232165,"1,080",77986473,24.00,24.50,23.90,24.20,+,0.7,24.15,47,24.20,49,18.47,
味王,79558,58,2109422,26.95,26.95,26.25,26.30,-,0.25,26.30,13,26.40,7,13.08,
大成,815056,369,28153082,34.65,34.80,34.25,34.55,-,0.05,34.55,1,34.60,6,10.57,
大飲,32500,27,493425,15.25,15.35,15.05,15.35,+,0.1,15.05,8,15.40,5,383.75,
卜蜂,311587,248,20362307,65.30,65.60,65.20,65.40,+,0.2,65.30,47,65.40,18,12.22,
統一,17148089,"8,367",1184308871,69.10,70.00,68.30,68.30,+,0.3,68.30,70,68.40,6,9.74,
愛之味,526673,221,3907709,7.41,7.45,7.40,7.44,+,0.03,7.42,8,7.44,12,21.88,
泰山,718897,282,12395620,17.20,17.35,17.15,17.20,+,0.05,17.15,51,17.25,76,39.09,
福壽,17362,12,319208,18.40,18.45,18.30,18.45,,0.0,18.45,4,18.50,3,41.93,
台榮,92128,39,1009795,10.95,11.00,10.90,10.95,-,0.05,10.90,13,10.95,10,24.89,
福懋油,43054,42,3127493,72.90,72.90,72.20,72.60,+,0.6,72.00,5,72.70,5,44.81,
佳格,1051441,876,71787301,68.80,68.80,67.90,68.30,+,0.1,68.30,71,68.40,39,28.11,
聯華,1160347,706,43572503,37.45,37.65,37.45,37.50,+,0.1,37.50,34,37.55,11,12.06,
聯華食,158867,88,5570745,35.20,35.20,34.95,34.95,-,0.15,34.95,1,35.05,16,13.76,
大統益,36371,28,3362727,92.50,92.50,92.30,92.50,+,0.3,92.60,1,92.90,2,18.10,
天仁,59664,42,2258114,38.00,38.00,37.70,37.90,-,0.1,37.90,1,37.95,1,19.54,
黑松,56906,42,1770545,31.10,31.20,31.05,31.10,,0.0,31.10,18,31.15,5,23.04,
興泰,31885,19,1086213,34.25,34.25,34.00,34.10,-,0.2,34.10,2,34.25,1,6.52,
宏亞,21736,18,379544,17.55,17.55,17.40,17.40,-,0.15,17.45,3,17.70,2,348.00,
鮮活果汁-KY,71618,67,11233908,157.00,159.00,155.50,156.50,+,1.5,156.00,6,157.50,5,16.79,
綠悅-KY,1050960,496,51727349,49.50,50.20,48.70,48.70,-,0.3,48.70,18,48.85,1,10.38,
台塑,5704137,"2,762",588448111,103.00,104.00,102.50,103.00,,0.0,103.00,133,103.50,133,13.27,
南亞,7298687,"3,263",596486970,82.10,82.20,81.30,81.80,-,0.7,81.70,160,81.80,31,11.91,
台聚,674065,296,9816965,14.60,14.65,14.50,14.55,-,0.05,14.55,9,14.60,151,14.13,
華夏,5390836,"2,564",168339628,32.00,32.00,30.90,31.10,-,0.9,31.10,86,31.15,1,12.05,
三芳,34239,31,1119788,32.75,32.75,32.65,32.70,,0.0,32.75,1,32.80,8,14.41,
亞聚,146051,121,2623221,18.05,18.05,17.90,17.95,+,0.05,17.95,4,18.00,75,16.47,
台達化,710578,218,8191312,11.55,11.65,11.45,11.50,-,0.15,11.50,53,11.55,11,10.45,
台苯,2882444,"1,268",62668313,21.50,21.95,21.50,21.75,+,0.3,21.70,486,21.75,13,10.88,
國喬,7744560,"2,590",234994517,30.35,30.50,30.05,30.50,+,0.45,30.50,19,30.55,142,8.54,
國喬特,2000,2,67600,33.80,33.80,33.80,33.80,+,0.1,33.70,10,33.80,1,0.00,
聯成,1658513,751,31180737,18.85,18.95,18.70,18.80,-,0.05,18.80,40,18.85,31,9.35,
中石化,8841854,"2,156",110590962,12.55,12.60,12.45,12.55,+,0.05,12.50,111,12.55,643,5.55,
達新,8463,11,224725,26.90,26.90,26.55,26.55,-,0.45,26.45,2,26.55,3,29.50,
上曜,433338,184,9038609,21.15,21.15,20.70,20.70,-,0.1,20.70,21,20.75,1,7.16,
東陽,559132,376,29276602,52.90,52.90,52.10,52.30,-,0.2,52.30,7,52.40,3,13.21,
大洋,143000,51,3853250,27.10,27.10,26.80,26.95,-,0.05,26.95,48,27.00,5,0.00,
永裕,1682746,889,60325953,33.40,36.60,33.35,36.60,+,3.3,36.60,270,--,0,13.12,
地球,129003,74,1706489,13.25,13.45,13.15,13.15,,0.0,13.15,1,13.20,1,16.44,
恆大,78415,55,1393227,17.85,18.00,17.65,18.00,,0.0,17.90,7,18.00,6,24.00,
台化,5464768,"2,615",594372712,109.50,109.50,108.00,109.00,,0.0,109.00,233,109.50,104,11.68,
再生-KY,484773,200,5407411,11.25,11.25,11.10,11.15,-,0.05,11.10,197,11.15,6,16.40,
廣華-KY,292149,238,31598231,109.00,109.50,107.50,107.50,-,1.0,107.50,36,108.00,13,11.62,
昭輝,53000,45,2088950,39.25,39.65,39.20,39.55,+,0.15,39.45,2,39.55,2,10.63,
勝悅-KY,505400,400,23510500,46.80,46.95,46.20,46.20,-,0.3,46.20,17,46.40,3,6.99,
遠東新,5489039,"2,255",143380654,26.30,26.30,26.00,26.25,+,0.15,26.20,5,26.25,78,15.91,
新纖,1394575,358,13410002,9.65,9.66,9.59,9.61,-,0.01,9.60,42,9.61,39,16.86,
南染,20003,17,469523,23.50,23.50,23.45,23.50,+,0.15,23.50,3,23.55,1,18.36,
宏洲,211968,85,2009348,9.45,9.60,9.40,9.45,,0.0,9.45,4,9.50,5,10.74,
東和,142601,74,1057127,7.45,7.45,7.38,7.38,-,0.03,7.38,9,7.42,8,18.00,
廣豐,464027,274,7628320,16.05,16.65,16.05,16.55,+,0.55,16.55,5,16.60,31,13.79,
嘉裕,319550,63,1454158,4.55,4.58,4.54,4.56,,0.0,4.56,3,4.57,24,0.00,
東華,22,19,176,--,--,--,--,,0.0,8.50,3,9.10,1,0.00,
新紡,25481,29,1230388,48.25,48.40,48.25,48.30,+,0.05,48.30,45,48.35,1,117.80,
利華,3591301,"1,220",34315619,9.27,9.77,9.27,9.59,+,0.4,9.56,2,9.59,35,35.52,
大魯閣,37000,19,421500,11.35,11.55,11.35,11.40,+,0.05,11.35,1,11.40,2,0.00,
福懋,1897643,"1,003",60998004,32.05,32.40,31.90,32.10,,0.0,32.10,28,32.20,1,12.64,
中福,78093,17,430191,5.48,5.53,5.48,5.53,+,0.01,5.50,1,5.53,3,92.17,
華友聯,26765,23,1070622,39.80,40.50,39.75,39.90,+,0.2,39.70,1,40.00,2,12.67,
勤益控,59000,30,1066750,18.05,18.15,18.00,18.15,+,0.25,18.10,4,18.15,39,12.02,
裕豐,143000,38,993870,6.95,6.96,6.95,6.95,-,0.05,6.92,1,6.95,13,0.00,
中和,1144442,464,32923496,28.65,29.25,28.10,28.50,-,0.15,28.30,2,28.50,2,0.00,
南紡,164786,92,2163080,13.15,13.20,13.10,13.10,-,0.05,13.10,15,13.15,21,29.11,
大東,586981,201,7908328,13.55,13.70,13.30,13.45,-,0.05,13.45,35,13.50,15,0.00,
名軒,514336,212,10193849,19.70,20.00,19.65,19.80,+,0.15,19.75,3,19.80,68,10.59,
