證券名稱,成交股數,成交筆數,成交金額,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,最後揭示買價,最後揭示買量,最後揭示賣價,最後揭示賣量,本益比,Unnamed: 16
台泥,7214929,"2,996",255539657,34.90,35.60,34.90,35.60,+,0.7,35.55,1,35.60,219,10.32,
亞泥,6083929,"2,065",203872386,33.10,33.80,33.05,33.70,+,0.65,33.65,6,33.70,56,11.50,
嘉泥,210893,115,2548366,12.05,12.20,12.00,12.05,+,0.05,12.05,5,12.10,18,5.55,
環泥,61502,46,1177087,19.10,19.20,19.10,19.15,,0.0,19.10,14,19.20,13,10.94,
幸福,105052,17,756825,7.25,7.25,7.15,7.23,+,0.03,7.20,30,7.22,1,0.00,
信大,56900,40,793419,13.95,14.10,13.80,13.90,+,0.15,13.85,2,13.90,4,8.63,
東泥,44500,34,616600,13.80,13.95,13.75,13.95,+,0.05,13.85,2,13.95,2,55.80,
味全,593739,314,12276117,20.70,20.95,20.45,20.80,,0.0,20.60,5,20.80,9,15.52,
味王,28644,17,740884,26.00,26.00,25.75,25.75,-,0.25,25.75,2,25.95,3,13.77,
大成,747234,442,22744400,30.10,30.65,30.10,30.50,-,0.1,30.50,13,30.55,1,9.87,
大飲,7133,10,70594,9.89,9.98,9.88,9.88,-,0.17,9.89,1,9.93,1,123.50,
卜蜂,209911,177,9182770,43.50,43.95,43.40,43.85,+,0.15,43.80,1,43.90,20,11.48,
統一,8877089,"4,535",642044340,71.90,73.10,71.50,72.40,+,0.3,72.30,12,72.40,55,10.34,
愛之味,172826,74,1179532,6.87,6.87,6.82,6.82,,0.0,6.82,20,6.83,7,17.05,
泰山,441379,262,6987576,15.85,15.95,15.60,15.80,-,0.15,15.80,77,15.85,2,14.36,
福壽,5200,7,94850,18.25,18.30,18.05,18.30,+,0.05,18.20,3,18.35,13,30.50,
台榮,28000,13,332950,11.90,11.90,11.80,11.90,,0.0,11.90,1,11.95,5,24.79,
福懋油,8223,9,626793,73.50,77.50,73.50,77.50,+,2.4,75.80,4,77.80,1,67.39,
佳格,712863,618,33669336,47.00,47.45,46.75,47.40,+,0.4,47.15,23,47.40,10,17.49,
聯華,503966,359,15597276,30.90,31.10,30.70,31.10,+,0.05,31.00,2,31.10,17,9.63,
聯華食,38959,50,1324540,34.00,34.10,33.95,34.05,+,0.05,34.00,8,34.05,2,11.66,
大統益,25474,32,2497533,98.00,98.50,97.90,98.30,-,0.4,97.80,1,98.30,1,18.83,
天仁,5000,5,186500,37.30,37.30,37.30,37.30,+,0.2,37.20,3,37.35,2,18.37,
黑松,89002,60,2487358,28.00,28.10,27.90,27.95,-,0.05,27.95,8,28.15,2,16.74,
興泰,107842,91,4613574,42.55,43.35,42.40,43.10,+,0.55,42.90,3,43.10,14,10.91,
宏亞,8001,9,111064,13.90,14.00,13.70,13.80,-,0.1,13.75,2,13.85,10,53.08,
鮮活果汁-KY,40020,29,5567800,139.00,141.00,138.50,139.50,-,0.5,139.00,3,140.00,4,10.43,
綠悅-KY,875800,534,29910230,33.50,34.65,33.50,34.40,-,0.2,34.40,9,34.45,1,0.00,
台塑,3476212,"1,192",351573788,100.50,101.50,100.00,101.00,,0.0,101.00,"1,376",101.50,59,10.93,
南亞,2408948,"1,285",186181588,76.50,77.70,76.50,77.30,+,0.7,77.20,39,77.30,34,9.24,
台聚,426833,206,5391079,12.50,12.65,12.50,12.65,+,0.1,12.65,11,12.70,130,11.93,
華夏,1432080,816,29028912,20.05,20.50,19.95,20.50,+,0.3,20.45,11,20.50,76,6.45,
三芳,90000,68,2072600,23.15,23.40,22.75,22.80,-,0.35,22.80,7,23.00,1,26.21,
亞聚,107675,79,1518636,14.15,14.15,14.05,14.15,,0.0,14.10,2,14.15,10,18.14,
台達化,593499,328,6488560,10.85,11.05,10.85,10.90,,0.0,10.90,138,10.95,22,4.16,
台苯,3134724,"1,633",72345752,22.70,23.30,22.70,23.15,+,0.5,23.15,27,23.20,16,9.73,
國喬,3182095,"1,373",70668691,21.95,22.45,21.80,22.20,,0.0,22.20,137,22.30,2,5.39,
國喬特,5000,4,169000,33.80,33.80,33.80,33.80,+,0.05,33.40,2,33.80,3,0.00,
聯成,1002432,537,11626377,11.65,11.70,11.50,11.60,-,0.1,11.60,11,11.65,88,10.64,
中石化,11255598,"2,817",126275501,11.30,11.35,11.15,11.15,-,0.15,11.15,575,11.20,31,7.34,
達新,1064,2,27332,25.70,25.70,25.70,25.70,-,0.05,25.45,2,25.75,5,19.04,
上曜,555000,195,9574500,17.20,17.40,17.20,17.20,-,0.05,17.20,5,17.30,32,3.12,
東陽,727080,536,25133098,34.80,34.95,34.30,34.70,-,0.05,34.60,3,34.70,12,8.81,
大洋,11000,8,283950,26.00,26.00,25.55,25.90,+,0.05,25.75,2,25.90,1,0.00,
永裕,181315,69,6077699,33.40,34.00,33.30,34.00,+,0.4,33.55,1,34.00,9,10.49,
地球,18001,12,199911,11.15,11.30,11.05,11.15,-,0.25,11.00,11,11.10,1,185.83,
恆大,31000,21,526500,17.00,17.05,16.90,16.90,-,0.15,16.90,3,16.95,1,23.15,
台化,3650454,"1,883",391376793,106.00,108.00,106.00,107.50,,0.0,107.50,463,108.00,329,9.93,
再生-KY,160934,77,1036297,6.39,6.54,6.36,6.45,+,0.01,6.44,7,6.47,3,0.00,
廣華-KY,217020,188,15428440,70.70,72.00,70.60,71.00,-,1.1,71.00,8,71.40,8,9.01,
昭輝,98000,71,3315200,34.00,34.05,33.60,33.65,-,0.15,33.65,1,33.70,1,5.70,
勝悅-KY,786427,491,15319210,19.75,19.80,19.25,19.55,-,1.0,19.55,14,19.75,4,6.45,
遠東新,5762397,"2,261",180233918,30.70,31.50,30.60,31.50,+,0.55,31.30,178,31.50,146,13.35,
新纖,2138533,842,23118347,10.80,11.00,10.70,10.70,-,0.2,10.70,98,10.75,26,9.91,
南染,147001,35,3351222,22.90,22.90,22.55,22.80,-,0.3,22.75,5,22.85,3,15.94,
宏洲,103851,44,1255276,12.15,12.25,11.95,12.00,-,0.1,11.95,6,12.05,13,6.82,
東和,37551,30,267010,7.09,7.14,7.09,7.10,+,0.01,7.09,5,7.11,2,78.89,
廣豐,23250,22,323523,13.90,13.95,13.90,13.90,-,0.05,13.85,23,13.90,2,22.42,
嘉裕,354575,101,1572644,4.44,4.48,4.41,4.41,-,0.07,4.41,18,4.44,3,0.00,
東華,10,8,72,--,--,--,--,,0.0,7.20,1,8.30,1,0.00,
新紡,11283,10,464203,40.65,41.20,40.65,41.20,+,0.3,41.20,2,41.30,1,9.45,
利華,135685,49,1433723,10.60,10.60,10.50,10.55,-,0.1,10.50,18,10.60,8,15.98,
大魯閣,57230,32,462411,8.23,8.23,8.00,8.17,-,0.11,7.98,2,8.08,1,0.00,
福懋,1348419,937,46409954,34.30,34.55,34.10,34.50,+,0.25,34.45,2,34.50,19,11.62,
中福,123326,34,664467,5.38,5.47,5.34,5.34,-,0.03,5.34,28,5.40,2,133.50,
華友聯,29321,28,1090376,37.20,37.40,36.95,37.30,+,0.05,36.80,1,37.30,1,9.10,
勤益控,38201,27,673186,17.65,17.70,17.60,17.60,,0.0,17.55,5,17.60,1,12.39,
裕豐,52260,11,382648,7.31,7.60,7.31,7.32,X,0.0,7.35,1,7.56,1,0.00,
