證券名稱,成交股數,成交筆數,成交金額,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,最後揭示買價,最後揭示買量,最後揭示賣價,最後揭示賣量,本益比,Unnamed: 16
台泥,16365415,"5,979",589040490,35.60,36.20,35.55,36.00,+,0.25,36.00,"1,182",36.05,53,9.89,
亞泥,12996092,"5,068",451082085,34.40,35.25,34.25,34.80,+,0.8,34.80,18,34.85,192,10.64,
嘉泥,759607,247,10658011,14.00,14.10,13.95,14.00,-,0.05,14.00,71,14.05,15,4.95,
環泥,58716,56,1121207,19.05,19.15,19.05,19.15,+,0.1,19.10,1,19.15,1,10.94,
幸福,71123,20,523006,7.29,7.38,7.29,7.35,+,0.02,7.33,16,7.34,3,0.00,
信大,144950,59,2025900,13.95,14.10,13.90,14.10,-,0.1,14.05,9,14.10,8,6.65,
東泥,29000,15,400700,13.85,13.85,13.80,13.80,-,0.1,13.80,33,13.85,16,55.20,
味全,2033608,965,48115098,23.65,24.00,23.20,23.20,-,0.4,23.20,11,23.25,6,7.34,
味王,80132,52,2098282,26.10,26.50,26.00,26.05,+,0.05,26.05,6,26.10,4,14.39,
大成,4551063,"2,891",158778907,34.50,35.50,34.35,34.35,+,0.4,34.35,42,34.40,1,11.12,
大飲,13000,10,134450,10.10,10.40,10.10,10.40,-,0.05,10.30,10,10.35,8,0.00,
卜蜂,6588953,"4,546",360453383,53.20,55.50,53.20,55.00,+,3.5,55.00,16,55.10,27,14.40,
統一,4963917,"1,814",345605856,68.90,70.00,68.80,69.80,+,0.9,69.70,6,69.80,105,9.97,
愛之味,201120,98,1409870,7.01,7.04,6.99,6.99,-,0.02,6.99,3,7.00,4,17.48,
泰山,557814,269,9540788,16.95,17.20,16.95,17.05,+,0.05,17.05,8,17.10,11,18.74,
福壽,18111,16,331780,18.45,18.45,18.20,18.30,-,0.05,18.30,10,18.35,1,107.65,
台榮,38000,22,425500,11.10,11.25,11.10,11.20,+,0.05,11.20,4,11.25,22,23.33,
福懋油,17687,23,1316041,74.70,75.10,73.80,74.50,-,0.5,74.50,2,75.20,1,91.98,
佳格,663029,562,33304997,49.90,50.50,49.80,50.40,+,0.75,50.30,1,50.40,16,16.10,
聯華,1379743,877,42193791,30.40,30.75,30.35,30.60,+,0.2,30.60,42,30.65,1,12.34,
聯華食,129232,114,4768942,37.00,37.10,36.50,36.85,-,0.2,36.80,3,36.85,3,12.28,
大統益,25799,36,2516618,97.70,97.90,97.10,97.60,-,0.2,97.60,8,98.00,3,18.70,
天仁,18181,22,689507,37.90,38.10,37.85,38.10,+,0.1,37.90,5,38.10,1,18.86,
黑松,41235,25,1196194,29.05,29.05,29.00,29.00,-,0.05,28.95,14,29.00,14,17.47,
興泰,50859,59,1440529,28.45,28.80,27.80,27.80,-,0.65,27.75,1,27.80,1,10.33,
宏亞,4019,7,55158,13.80,13.80,13.70,13.70,+,0.05,13.65,2,13.70,9,0.00,
鮮活果汁-KY,11000,10,1547000,140.50,141.00,140.50,140.50,,0.0,140.50,1,141.00,5,10.50,
綠悅-KY,223204,163,8240246,36.80,37.35,36.70,36.70,-,0.1,36.70,11,36.80,5,0.00,
台塑,3879629,"2,063",385244180,99.40,99.80,98.90,99.30,+,0.1,99.30,39,99.40,34,10.52,
南亞,4147018,"1,427",302862088,73.00,73.40,72.70,73.30,+,0.3,73.20,6,73.30,159,8.76,
台聚,306896,140,3752924,12.20,12.30,12.15,12.20,,0.0,12.20,74,12.25,11,15.06,
華夏,2142895,875,48594027,22.65,23.05,22.45,22.50,-,0.3,22.50,41,22.55,1,7.45,
三芳,117500,44,2636799,22.20,22.50,22.20,22.45,+,0.3,22.40,33,22.55,1,25.80,
亞聚,300035,104,4087576,13.60,13.70,13.60,13.60,,0.0,13.60,78,13.70,38,21.25,
台達化,584962,209,6103502,10.50,10.50,10.40,10.45,,0.0,10.45,15,10.50,64,5.47,
台苯,8490130,"2,563",211951950,25.45,25.50,24.70,25.15,-,0.45,25.15,41,25.20,2,10.18,
國喬,2865599,"1,175",65114614,22.70,23.05,22.55,22.60,-,0.2,22.60,4,22.65,34,5.49,
國喬特,9000,6,307750,34.15,34.20,34.15,34.20,,0.0,33.50,3,34.20,2,0.00,
聯成,682269,309,8339504,12.10,12.30,12.10,12.30,+,0.1,12.25,9,12.30,126,11.28,
中石化,7480837,"1,450",87008447,11.55,11.75,11.55,11.55,-,0.05,11.55,648,11.60,129,6.08,
達新,22001,21,574126,25.90,26.40,25.90,26.40,,0.0,26.00,5,26.40,1,19.56,
上曜,6607879,"3,370",82242912,12.15,12.65,12.10,12.60,+,0.3,12.60,16,12.65,44,2.29,
東陽,535478,349,19968876,37.00,37.50,37.00,37.25,+,0.3,37.25,60,37.40,3,10.49,
大洋,52000,51,1406250,26.55,27.25,26.50,27.10,+,0.3,26.80,2,27.10,13,0.00,
永裕,96030,58,3482530,36.30,36.40,36.00,36.40,+,0.2,36.00,1,36.40,39,11.23,
地球,20006,10,217760,10.90,10.90,10.85,10.85,-,0.15,10.85,1,10.90,4,180.83,
恆大,34262,14,572162,16.70,16.75,16.65,16.75,,0.0,16.65,5,16.70,1,23.59,
台化,2399248,897,253295153,105.50,106.00,105.00,105.50,+,0.5,105.50,198,106.00,"1,233",9.74,
再生-KY,111027,62,760552,6.86,6.89,6.83,6.85,-,0.02,6.84,7,6.85,5,0.00,
廣華-KY,1465306,"1,128",116187249,77.90,80.40,77.50,79.70,+,2.5,79.60,4,79.70,5,10.11,
昭輝,15000,8,525100,35.00,35.10,35.00,35.00,,0.0,34.90,1,35.10,3,6.96,
勝悅-KY,69510,63,1269081,18.30,18.30,18.20,18.20,-,0.05,18.20,24,18.25,3,6.01,
遠東新,7260069,"2,823",207485289,28.30,28.90,28.20,28.80,+,0.65,28.75,182,28.80,125,12.36,
新纖,1410416,552,16531919,11.70,11.80,11.65,11.70,,0.0,11.70,35,11.75,176,8.36,
南染,16006,13,383292,23.80,24.25,23.80,23.90,-,0.3,23.85,11,24.05,1,16.71,
宏洲,319413,167,3600083,11.35,11.40,11.15,11.15,-,0.45,11.15,13,11.20,1,6.34,
東和,301157,75,2175153,7.21,7.27,7.20,7.27,+,0.06,7.25,3,7.27,1,80.78,
廣豐,32183,26,462106,14.40,14.40,14.30,14.30,-,0.15,14.30,6,14.35,18,23.06,
嘉裕,617653,135,3197721,5.16,5.23,5.10,5.11,-,0.07,5.11,2,5.15,9,0.00,
東華,7304,9,45674,6.15,6.51,6.15,6.51,X,0.0,6.55,2,6.98,1,0.00,
新紡,257763,31,10811775,41.95,42.80,41.90,42.80,+,0.3,42.05,1,42.60,1,9.22,
利華,25760,25,269576,10.50,10.50,10.40,10.40,-,0.05,10.40,21,10.45,6,15.76,
大魯閣,275985,151,2687284,9.78,9.96,9.58,9.75,-,0.03,9.67,5,9.75,18,0.00,
福懋,1280152,951,44529377,34.75,34.95,34.65,34.90,+,0.2,34.80,2,34.90,67,11.75,
中福,50003,26,277526,5.63,5.63,5.46,5.63,,0.0,5.63,5,5.65,9,0.00,
華友聯,22094,24,811474,36.95,36.95,36.60,36.60,-,0.25,36.70,1,36.85,1,8.93,
勤益控,24366,20,441609,18.00,18.20,18.00,18.15,+,0.05,18.15,1,18.20,27,13.65,
裕豐,24231,9,188279,7.75,7.78,7.75,7.78,+,0.48,7.55,11,7.78,1,0.00,
