證券名稱,成交股數,成交筆數,成交金額,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,最後揭示買價,最後揭示買量,最後揭示賣價,最後揭示賣量,本益比,Unnamed: 16
台泥,22887183,"9,042",817259938,36.25,36.25,35.50,35.70,-,0.95,35.65,53,35.75,83,9.81,
亞泥,6035446,"3,197",198919904,33.25,33.25,32.80,33.00,-,0.25,32.95,5,33.00,90,10.09,
嘉泥,223271,109,2899755,13.00,13.05,12.90,13.05,,0.0,13.00,79,13.05,14,4.61,
環泥,70168,47,1340592,19.20,19.20,19.05,19.15,-,0.1,19.05,10,19.15,1,10.94,
幸福,28001,11,203177,7.25,7.28,7.24,7.28,+,0.03,7.28,44,7.33,3,0.00,
信大,83500,41,1237950,14.70,15.00,14.65,14.75,+,0.15,14.75,3,14.85,1,6.96,
東泥,23883,17,331435,13.95,13.95,13.85,13.95,,0.0,13.85,1,13.95,10,55.80,
味全,588404,258,12327584,21.00,21.25,20.80,20.80,-,0.2,20.80,31,20.90,20,6.58,
味王,21042,15,538523,25.50,25.75,25.50,25.70,+,0.15,25.50,9,25.70,5,14.20,
大成,646265,402,20462875,31.50,31.95,31.10,31.70,,0.0,31.70,4,31.85,9,10.26,
大飲,40003,14,396728,9.96,9.96,9.85,9.85,-,0.11,9.85,4,9.99,35,0.00,
卜蜂,450836,360,20150848,44.40,45.20,43.85,45.00,+,0.5,44.90,1,45.00,7,11.78,
統一,4704700,"2,813",351344176,74.20,75.00,74.20,74.60,-,0.5,74.60,84,74.80,11,10.66,
愛之味,299636,129,2040032,6.80,6.85,6.77,6.81,+,0.02,6.80,2,6.82,48,17.03,
泰山,1332614,539,21836463,16.40,16.60,16.20,16.40,-,0.15,16.40,32,16.45,2,18.02,
福壽,14862,12,270400,18.20,18.20,18.20,18.20,-,0.1,18.20,5,18.25,1,107.06,
台榮,22000,14,256150,11.65,11.70,11.60,11.65,,0.0,11.65,1,11.70,11,24.27,
福懋油,11000,7,830800,75.80,75.80,74.70,74.70,-,0.1,74.70,1,75.70,1,92.22,
佳格,856456,628,42639990,49.90,50.00,49.15,49.90,,0.0,49.85,19,49.90,10,15.94,
聯華,817155,669,24752067,30.45,30.45,30.20,30.35,-,0.15,30.35,4,30.40,6,12.24,
聯華食,56961,44,1999528,35.00,35.20,35.00,35.05,-,0.15,35.05,5,35.15,1,11.68,
大統益,18530,24,1836839,98.80,99.70,98.30,99.00,+,0.1,99.00,1,99.50,4,18.97,
天仁,14000,8,519250,37.00,37.15,37.00,37.10,-,0.05,37.10,1,37.30,4,18.37,
黑松,38600,23,1106667,28.65,28.70,28.55,28.70,-,0.05,28.70,25,28.75,22,17.29,
