證券名稱,成交股數,成交筆數,成交金額,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,最後揭示買價,最後揭示買量,最後揭示賣價,最後揭示賣量,本益比,Unnamed: 16
台泥,4661788,"1,798",182023140,38.90,39.25,38.80,39.20,+,0.5,39.05,17,39.20,310,18.76,
亞泥,4934655,"1,878",184568625,37.30,37.50,37.25,37.45,+,0.1,37.40,4,37.45,18,19.40,
嘉泥,175255,83,2280278,13.05,13.10,13.00,13.00,,0.0,13.00,23,13.05,7,0.00,
環泥,1855042,570,33583799,17.85,18.25,17.85,18.15,+,0.4,18.10,59,18.15,18,15.38,
幸福,230999,92,1604242,6.95,6.99,6.92,6.95,,0.0,6.95,3,6.98,13,16.16,
信大,46000,12,478400,10.40,10.40,10.40,10.40,,0.0,10.40,55,10.45,7,49.52,
東泥,1288047,71,17490421,14.50,14.50,14.30,14.40,+,0.05,14.35,12,14.40,8,120.00,
味全,3596584,"1,416",166515485,45.70,46.70,45.70,46.00,+,0.5,46.00,14,46.05,6,30.87,
味王,71520,31,1448302,20.40,20.40,20.20,20.30,,0.0,20.20,2,20.30,4,48.33,
大成,1187408,658,29424527,24.80,24.85,24.70,24.75,-,0.05,24.70,210,24.75,62,19.04,
大飲,44100,31,1058500,24.00,24.10,23.85,24.00,+,0.2,24.00,25,24.05,4,109.09,
卜蜂,753232,219,11548535,15.30,15.45,15.25,15.35,+,0.05,15.25,53,15.35,4,11.54,
統一,10368995,"3,174",602967775,58.00,58.60,57.80,58.10,+,0.1,58.00,372,58.10,5,22.78,
愛之味,3053566,539,31812856,10.35,10.50,10.30,10.50,+,0.2,10.45,24,10.50,243,105.00,
泰山,301411,169,4390655,14.50,14.65,14.50,14.60,+,0.1,14.55,40,14.60,88,0.00,
福壽,228125,34,3423175,15.00,15.05,14.85,15.00,+,0.15,15.00,32,15.05,13,0.00,
台榮,19320,16,205690,10.70,10.70,10.60,10.65,,0.0,10.60,6,10.65,3,13.15,
福懋油,171702,49,2248392,13.15,13.15,13.05,13.15,+,0.05,13.10,1,13.15,22,62.62,
佳格,2619706,"1,766",262559543,101.00,101.00,99.50,101.00,+,1.0,100.50,12,101.00,56,25.96,
聯華,955576,440,19462621,20.40,20.45,20.25,20.35,,0.0,20.35,141,20.40,16,11.00,
聯華食,772215,406,31281560,40.90,40.90,40.10,40.40,-,0.2,40.40,1,40.45,15,13.47,
大統益,115456,61,6143724,53.50,53.50,53.00,53.50,+,0.2,53.30,1,53.50,27,19.31,
天仁,31100,24,1498260,48.20,48.40,48.15,48.40,-,0.1,48.30,1,48.45,1,18.91,
黑松,1079209,513,42225743,39.05,39.25,39.05,39.05,+,0.05,39.05,32,39.10,48,2.58,
興泰,40045,6,1006577,25.10,25.15,24.90,25.15,,0.0,25.15,1,25.20,2,96.73,
宏亞,83046,53,1977031,24.00,24.00,23.70,23.75,-,0.15,23.70,11,23.75,8,18.55,
台塑,9113190,"3,024",656422229,71.40,72.60,71.40,71.60,+,0.6,71.50,148,71.60,307,29.83,
南亞,14453227,"4,563",865010854,60.00,60.40,58.80,58.80,-,1.0,58.80,126,59.00,44,108.89,
台聚,972451,462,20087847,20.60,20.80,20.55,20.70,+,0.15,20.65,11,20.70,24,14.28,
華夏,1340228,438,20024843,15.05,15.05,14.90,14.95,+,0.1,14.95,11,15.00,241,7.95,
三芳,60215,46,1612733,26.95,26.95,26.65,26.85,+,0.05,26.80,1,26.85,4,13.43,
亞聚,713903,380,15952886,22.40,22.65,22.20,22.25,,0.0,22.20,22,22.25,15,16.86,
台達化,242905,98,2256659,9.26,9.34,9.26,9.30,+,0.05,9.28,3,9.30,33,0.00,
台苯,1338539,376,13451201,10.10,10.15,9.99,10.00,+,0.02,9.99,42,10.00,16,0.00,
國喬,1560447,472,23649855,15.20,15.25,15.05,15.05,-,0.1,15.05,149,15.15,36,8.01,
國喬特,0,0,0,--,--,--,--,,0.0,20.70,20,20.85,16,0.00,
聯成,901316,267,13912909,15.55,15.55,15.40,15.45,,0.0,15.40,49,15.45,5,14.44,
中石化,13979380,"3,813",222512435,15.85,16.05,15.80,15.95,+,0.2,15.90,248,15.95,598,26.15,
達新,74039,66,2189653,29.75,29.75,29.30,29.75,+,0.25,29.45,1,29.75,1,40.20,
上曜,1637000,585,21131700,13.10,13.20,12.65,13.15,-,0.1,13.10,14,13.15,5,0.00,
東陽,1279862,481,39642804,31.30,31.30,30.80,30.85,-,0.05,30.85,25,30.90,3,22.04,
大洋,719040,363,22408752,31.20,31.60,30.80,31.25,+,0.3,31.20,12,31.25,24,0.00,
永裕,1245123,589,32378481,26.00,26.30,25.55,26.30,+,0.3,26.30,22,26.35,31,11.69,
地球,187898,87,2563778,13.55,13.85,13.55,13.55,,0.0,13.55,5,13.70,6,27.10,
恆大,3403519,"1,421",81770046,24.55,24.55,23.70,23.75,-,0.8,23.75,46,23.80,23,32.09,
台化,7612032,"2,520",529900508,69.60,70.70,69.00,69.10,-,0.1,69.10,74,69.20,5,55.28,
再生-KY,358469,224,28385989,79.50,79.90,78.90,79.10,-,0.1,79.10,7,79.40,3,9.24,
廣華-KY,28000,20,2164800,77.00,78.00,76.80,76.80,+,0.1,76.70,5,77.00,3,17.34,
昭輝,219000,71,7814750,35.50,36.00,35.40,35.45,-,0.25,35.45,1,35.50,20,13.85,
遠東新,8046030,"2,126",256479278,32.00,32.15,31.65,31.75,-,0.05,31.75,115,31.80,10,18.35,
新纖,2379858,601,22022444,9.29,9.33,9.21,9.26,+,0.02,9.26,7,9.27,40,16.84,
南染,129847,59,3119657,24.10,24.20,23.95,24.00,+,0.05,23.95,21,24.00,1,18.75,
宏洲,50197,31,198847,4.00,4.00,3.91,3.98,-,0.04,3.98,8,4.01,3,0.00,
東和,188698,94,1680777,8.93,8.96,8.86,8.87,-,0.05,8.86,29,8.87,12,21.12,
廣豐,633281,194,11248633,17.85,17.90,17.65,17.80,+,0.05,17.75,2,17.80,23,6.18,
