證券名稱,成交股數,成交筆數,成交金額,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,最後揭示買價,最後揭示買量,最後揭示賣價,最後揭示賣量,本益比,Unnamed: 16
台泥,4782486,"1,943",183647246,38.40,38.50,38.30,38.30,-,0.3,38.30,32,38.35,9,17.65,
亞泥,2850436,"1,947",104588624,36.80,36.80,36.55,36.80,,0.0,36.80,49,36.85,61,17.69,
嘉泥,375063,166,5122745,13.65,13.70,13.60,13.70,+,0.05,13.65,135,13.70,37,0.0,
環泥,573186,221,10405610,18.00,18.25,17.90,18.20,+,0.1,18.05,14,18.20,22,15.17,
幸福,2662711,593,19886857,7.20,7.57,7.20,7.51,+,0.37,7.50,4,7.51,1,17.07,
信大,99001,22,1036910,10.45,10.55,10.45,10.45,,0.0,10.45,151,10.50,9,49.76,
東泥,109000,57,1504050,13.95,13.95,13.65,13.75,-,0.2,13.75,3,13.80,5,65.48,
味全,1500114,737,68835722,45.75,46.30,45.55,45.70,,0.0,45.70,20,45.75,8,29.29,
味王,82221,47,1682081,20.40,20.60,20.35,20.45,+,0.05,20.45,9,20.50,15,511.25,
大成,1569032,668,42413814,26.70,27.15,26.70,27.10,+,0.4,27.10,103,27.15,77,16.04,
大飲,185018,116,4456462,24.20,24.50,24.00,24.10,-,0.1,24.10,16,24.15,2,73.03,
卜蜂,467084,167,7230991,15.55,15.55,15.40,15.50,+,0.05,15.45,39,15.50,11,14.09,
統一,12342285,"4,695",736173230,58.60,60.40,58.40,59.60,+,0.9,59.50,5,59.60,93,25.04,
愛之味,5480601,894,58794543,10.65,10.80,10.60,10.70,+,0.05,10.70,163,10.75,288,107.0,
泰山,2041589,679,32071901,15.45,15.80,15.45,15.65,+,0.2,15.65,12,15.70,1,65.21,
福壽,878758,424,14132944,15.15,16.20,15.15,16.20,+,1.05,16.15,1,16.20,77,0.0,
台榮,98008,42,1039731,10.65,10.65,10.55,10.65,,0.0,10.55,13,10.65,1,12.99,
福懋油,219600,86,2868150,12.95,13.10,12.95,13.10,+,0.1,13.05,2,13.10,49,33.59,
佳格,1353154,879,115795355,85.40,86.20,85.00,85.10,-,0.3,85.10,21,85.30,11,22.94,
聯華,598127,211,11648839,19.35,19.55,19.35,19.40,+,0.05,19.40,67,19.45,11,11.28,
聯華食,1487705,921,59756250,38.90,41.00,38.90,40.00,+,1.3,39.95,2,40.00,5,13.47,
大統益,50056,47,2679113,53.70,53.70,53.30,53.30,+,0.4,53.30,1,53.50,3,15.72,
天仁,52044,33,2507781,48.05,48.50,48.05,48.50,+,0.2,48.30,5,48.65,3,20.38,
黑松,896046,360,33863356,37.50,38.15,37.50,38.05,+,0.5,38.05,1,38.10,28,52.12,
興泰,7156,8,178687,24.85,25.05,24.85,25.00,,0.0,25.00,1,25.10,1,80.65,
宏亞,62894,40,1376319,21.80,22.05,21.80,21.95,+,0.2,21.85,5,21.95,1,21.52,
台塑,2480365,"1,762",186483542,75.40,75.50,74.70,75.50,+,0.8,75.40,13,75.50,227,36.65,
南亞,2320780,"1,569",129933471,55.90,56.30,55.60,55.90,-,0.1,55.80,55,55.90,315,621.11,
台聚,2833183,"1,177",65275009,23.10,23.15,22.95,23.00,-,0.1,23.00,37,23.05,39,12.37,
華夏,5148001,"1,494",77432114,15.20,15.30,14.95,15.00,-,0.2,15.00,95,15.05,5,12.71,
三芳,75183,58,1863384,25.00,25.00,24.65,24.90,-,0.05,24.85,1,24.90,1,12.15,
亞聚,1089719,593,27744010,25.60,25.65,25.30,25.55,-,0.05,25.50,1,25.55,5,14.52,
台達化,304378,103,2941694,9.65,9.70,9.65,9.67,-,0.04,9.67,9,9.69,24,0.0,
台苯,3984150,"1,164",35333230,9.04,9.04,8.78,8.96,-,0.08,8.94,10,8.97,10,0.0,
國喬,2640237,686,40804743,15.50,15.60,15.40,15.40,-,0.1,15.35,472,15.40,86,8.95,
國喬特,9000,7,181400,20.10,20.30,20.10,20.10,-,0.2,20.05,8,20.40,6,0.0,
聯成,2542833,"1,106",41936763,16.45,16.70,16.25,16.70,+,0.3,16.65,127,16.70,5,17.77,
中石化,14887001,"3,831",274354840,18.40,18.60,18.30,18.30,,0.0,18.30,"2,062",18.35,311,15.38,
達新,67761,37,2007246,29.70,29.75,29.50,29.60,-,0.1,29.60,27,29.75,8,11.89,
上曜,936001,316,10129760,10.90,11.05,10.65,10.80,-,0.1,10.80,4,10.85,79,0.0,
東陽,793364,352,21788697,27.20,27.60,27.20,27.50,+,0.3,27.50,34,27.55,41,17.41,
大洋,1079000,392,29040750,26.85,27.30,26.65,26.85,,0.0,26.80,6,26.85,10,0.0,
永裕,1135550,498,26131042,22.50,23.25,22.50,23.05,+,0.55,23.00,7,23.05,3,10.24,
地球,119001,71,1361911,11.35,11.50,11.35,11.50,+,0.2,11.50,7,11.55,6,33.82,
恆大,116840,64,1988304,17.00,17.10,16.95,17.10,+,0.1,17.05,1,17.10,5,20.85,
