證券名稱,成交股數,成交筆數,成交金額,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,最後揭示買價,最後揭示買量,最後揭示賣價,最後揭示賣量,本益比,Unnamed: 16
台泥,3338850,"2,027",129870797,39.40,39.50,38.70,38.75,-,0.6,38.75,25,38.85,433,18.54,
亞泥,4317356,"2,682",160201572,37.30,37.35,37.00,37.10,,0.0,37.05,6,37.10,897,19.22,
嘉泥,364248,124,4745652,13.10,13.10,12.95,13.05,-,0.05,13.00,10,13.05,21,0.00,
環泥,244869,175,4283855,17.70,17.70,17.35,17.60,-,0.1,17.40,7,17.60,8,14.92,
幸福,198106,68,1405493,7.20,7.20,7.04,7.11,-,0.05,7.08,10,7.11,1,16.53,
信大,104282,25,1086982,10.45,10.50,10.40,10.45,,0.0,10.45,9,10.50,52,49.76,
東泥,1446000,98,19746000,14.35,14.40,14.10,14.35,-,0.05,14.25,2,14.35,5,119.58,
味全,941993,620,42333414,45.50,45.50,44.60,45.00,-,0.05,44.95,7,45.00,24,30.20,
味王,13501,23,271517,20.15,20.15,20.05,20.05,-,0.1,20.05,18,20.10,1,47.74,
大成,1031610,548,25762750,25.00,25.10,24.85,24.95,-,0.05,24.90,13,24.95,73,19.19,
大飲,76000,49,1814100,23.80,23.90,23.75,23.90,+,0.25,23.75,1,23.95,7,108.64,
卜蜂,255521,124,3871415,15.10,15.20,15.05,15.20,+,0.15,15.20,10,15.25,20,11.43,
統一,4759189,"2,027",277118478,58.00,58.50,58.00,58.20,-,0.3,58.20,164,58.30,1,22.82,
愛之味,2524217,400,26216532,10.35,10.40,10.30,10.35,,0.0,10.35,59,10.40,221,103.50,
泰山,455905,200,6769349,14.95,14.95,14.75,14.75,-,0.1,14.75,15,14.80,1,0.00,
福壽,93254,32,1408560,15.05,15.15,14.95,15.10,+,0.05,15.10,2,15.15,20,0.00,
台榮,55004,26,587190,10.75,10.75,10.60,10.70,-,0.05,10.65,2,10.70,41,13.21,
福懋油,79386,134,1048379,13.20,13.25,13.20,13.25,+,0.05,13.20,12,13.25,19,63.10,
佳格,1946817,"1,356",191513966,99.80,99.80,97.60,98.80,-,1.1,98.70,1,98.80,16,25.40,
聯華,849296,429,17093120,20.20,20.20,20.05,20.10,-,0.05,20.10,49,20.15,3,10.86,
聯華食,286415,169,11095975,39.20,39.20,38.55,38.65,-,0.4,38.60,27,38.70,1,12.88,
大統益,89732,73,4760587,53.00,53.40,52.70,53.40,+,0.7,53.40,3,53.50,23,19.28,
天仁,28502,29,1374946,48.20,48.40,48.10,48.10,-,0.1,48.10,4,48.55,2,18.79,
黑松,1198838,667,48093158,40.00,40.35,39.90,40.25,+,0.25,40.20,15,40.25,34,2.66,
興泰,28009,8,704123,25.00,25.15,25.00,25.15,,0.0,24.95,6,25.20,3,96.73,
宏亞,13817,14,315140,22.80,22.90,22.80,22.80,-,0.1,22.80,6,22.90,3,17.81,
台塑,3683426,"1,942",254503594,69.10,69.40,69.00,69.00,,0.0,69.00,539,69.10,2,28.75,
南亞,8737661,"4,070",485994668,55.00,56.00,55.00,55.70,+,0.9,55.60,35,55.70,132,103.15,
台聚,2260985,"1,092",46989374,20.45,20.95,20.45,20.95,+,0.55,20.90,138,20.95,56,14.45,
華夏,3956043,"1,037",58748284,14.80,14.95,14.70,14.90,+,0.2,14.85,42,14.90,11,7.93,
三芳,248823,141,6744612,27.30,27.50,26.80,26.95,-,0.35,26.95,9,27.10,6,13.48,
亞聚,1965958,901,43793953,21.70,22.55,21.70,22.55,+,0.9,22.50,103,22.55,11,17.08,
台達化,656106,271,6021473,9.09,9.27,9.09,9.21,+,0.11,9.21,41,9.25,4,0.00,
台苯,2111082,648,21078790,9.86,10.15,9.85,10.05,+,0.19,10.05,37,10.10,228,0.00,
國喬,2072286,659,31579528,15.30,15.30,15.15,15.25,,0.0,15.25,129,15.30,109,8.11,
國喬特,3000,3,62250,20.70,20.80,20.70,20.80,,0.0,20.75,2,20.80,17,0.00,
聯成,831704,387,12719562,15.40,15.40,15.25,15.30,,0.0,15.25,121,15.30,135,14.30,
中石化,6985518,"2,516",108754810,15.60,15.65,15.50,15.65,+,0.05,15.60,731,15.65,524,25.66,
達新,355222,162,10540703,29.60,29.95,29.30,29.90,+,0.3,29.70,2,29.90,105,40.41,
上曜,606000,240,6791200,11.25,11.40,11.00,11.25,+,0.25,11.20,18,11.25,3,0.00,
東陽,4140103,"1,813",132606429,31.95,32.50,31.55,31.60,,0.0,31.55,23,31.60,19,22.57,
大洋,5719753,"1,512",186224347,30.80,32.80,30.80,32.80,+,2.1,32.80,319,--,0,0.00,
永裕,376200,212,8682289,23.00,23.20,22.85,23.20,+,0.3,23.20,7,23.25,14,10.31,
地球,492210,195,6582937,13.60,13.60,13.15,13.30,-,0.4,13.30,12,13.35,1,26.60,
恆大,1210454,630,24079803,20.60,20.60,19.50,19.95,-,0.65,19.90,66,20.00,9,26.96,
台化,2939282,"1,403",199855602,68.20,68.30,67.70,68.00,+,0.2,67.90,6,68.00,33,54.40,
再生-KY,323180,178,25630000,79.40,79.90,79.00,79.40,,0.0,79.40,9,79.50,1,9.28,
廣華-KY,35000,24,2688500,77.60,77.60,76.60,76.60,-,1.0,76.70,1,76.80,7,17.29,
昭輝,297999,176,10761562,36.20,36.95,35.10,36.95,+,0.55,36.35,1,36.95,17,14.43,
遠東新,4743959,"1,711",150718639,31.95,31.95,31.60,31.90,+,0.05,31.85,2,31.90,153,18.44,
新纖,1574613,501,14366914,9.12,9.15,9.10,9.14,+,0.03,9.13,49,9.14,26,16.62,
南染,231152,114,5566966,24.45,24.45,23.85,23.95,-,0.35,23.95,2,24.00,26,18.71,
宏洲,95096,40,374787,3.89,3.97,3.89,3.96,+,0.07,3.96,4,3.97,5,0.00,
