證券名稱,成交股數,成交筆數,成交金額,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,最後揭示買價,最後揭示買量,最後揭示賣價,最後揭示賣量,本益比,Unnamed: 16
台泥,18930650,"6,336",662317332,35.15,35.30,34.60,34.60,-,0.55,34.60,592,34.70,3,16.63,
亞泥,4709623,"1,657",165399479,35.05,35.95,34.95,35.15,+,0.1,35.15,328,35.20,1,19.64,
嘉泥,313259,130,4362892,13.95,14.05,13.80,13.95,,0.0,13.95,27,14.00,8,0.00,
環泥,3447097,352,59147815,16.90,17.50,16.90,17.30,+,0.45,17.25,2,17.40,6,13.95,
幸福,186000,60,1331760,7.18,7.20,7.13,7.18,,0.0,7.14,36,7.18,14,23.16,
信大,29354,17,310867,10.55,10.65,10.55,10.60,,0.0,10.60,12,10.65,1,40.77,
東泥,259147,123,3905012,15.00,15.60,14.60,15.40,+,0.3,15.05,5,15.40,3,220.00,
味全,1396315,667,69483539,49.95,50.80,49.35,49.50,-,0.5,49.50,49,49.55,10,31.13,
味王,661234,286,14864948,22.65,22.80,22.15,22.15,-,0.4,22.15,26,22.35,18,26.37,
大成,503888,255,13109804,26.00,26.15,25.90,26.00,-,0.05,26.00,7,26.10,6,18.71,
大飲,149001,94,3308922,22.20,22.45,22.00,22.30,-,0.4,22.10,1,22.30,3,89.20,
卜蜂,303589,95,4705266,15.50,15.55,15.40,15.50,+,0.05,15.50,18,15.55,14,9.69,
統一,10986452,"5,003",637484978,58.30,58.70,57.40,58.20,,0.0,58.20,145,58.30,143,21.72,
愛之味,1715100,288,16564049,9.70,9.70,9.52,9.70,,0.0,9.67,14,9.70,133,69.29,
泰山,297770,158,4277645,14.30,14.50,14.20,14.35,+,0.15,14.35,5,14.40,1,0.00,
福壽,87153,34,1294170,14.85,14.95,14.80,14.95,+,0.05,14.95,7,15.00,7,0.00,
台榮,35013,22,375985,10.70,10.75,10.70,10.70,,0.0,10.70,18,10.75,21,14.08,
