證券名稱,成交股數,成交筆數,成交金額,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,最後揭示買價,最後揭示買量,最後揭示賣價,最後揭示賣量,本益比,Unnamed: 16
台泥,2230761,"1,074",81582255,36.60,36.75,36.40,36.50,-,0.25,36.45,108,36.50,43,21.22,
亞泥,841127,574,25809922,31.10,31.10,30.50,30.60,-,0.6,30.60,94,30.65,31,26.15,
嘉泥,586189,246,6008440,10.40,10.40,10.05,10.05,-,0.25,10.05,23,10.10,1,251.25,
環泥,262357,120,6858746,26.25,26.25,26.00,26.05,-,0.2,26.05,12,26.10,5,9.72,
幸福,339000,108,3315650,9.83,9.85,9.71,9.75,-,0.08,9.75,7,9.79,1,12.50,
信大,127035,43,1293353,10.30,10.30,10.10,10.15,-,0.15,10.00,11,10.20,5,24.17,
東泥,24000,15,395100,16.45,16.60,16.40,16.60,-,0.05,16.35,8,16.50,5,87.37,
味全,373175,241,6656241,18.00,18.05,17.60,17.65,-,0.35,17.65,20,17.70,15,0.00,
味王,40004,59,952921,23.95,23.95,23.75,23.80,-,0.1,23.80,3,23.90,1,13.37,
大成,1775829,802,50768228,28.70,28.85,28.50,28.50,-,0.3,28.50,118,28.55,10,9.47,
大飲,133000,49,2337250,17.75,17.95,17.50,17.50,-,0.4,17.50,6,17.60,1,64.81,
卜蜂,1642362,826,90538211,55.00,55.50,54.70,55.10,+,0.1,55.10,18,55.20,19,11.70,
統一,1687891,953,94204572,56.00,56.00,55.50,55.80,-,0.2,55.80,403,55.90,386,21.80,
愛之味,783490,516,5871155,7.55,7.55,7.47,7.48,-,0.09,7.47,40,7.50,14,35.62,
泰山,424121,165,6344572,15.00,15.00,14.90,14.90,-,0.1,14.90,45,14.95,7,41.39,
福壽,32788,52,536937,16.50,16.50,16.20,16.50,,0.0,16.35,5,16.50,11,33.67,
台榮,424115,155,4587115,10.85,10.95,10.75,10.90,-,0.15,10.80,27,10.90,5,11.72,
福懋油,22470,56,1125785,49.80,50.50,49.75,50.50,+,0.95,49.60,2,50.50,2,28.69,
佳格,302089,219,22521926,74.90,74.90,74.40,74.50,-,0.4,74.50,158,74.60,9,25.00,
聯華,1815753,796,48973022,27.15,27.20,26.85,26.95,-,0.3,26.95,9,27.00,65,11.37,
聯華食,281301,214,9695165,35.00,35.00,34.30,34.30,-,0.7,34.30,3,34.40,1,11.17,
大統益,79751,75,7276491,91.60,91.60,91.00,91.00,-,0.6,91.00,10,91.10,2,16.31,
天仁,6120,8,228626,37.65,37.65,37.30,37.30,-,0.3,37.25,2,37.30,2,19.95,
黑松,201239,163,6603125,32.90,32.90,32.75,32.75,-,0.15,32.75,11,32.80,10,11.91,
興泰,34001,24,919527,27.20,27.45,26.85,27.10,-,0.2,27.05,3,27.20,1,7.11,
宏亞,36161,67,644326,17.80,18.00,17.70,17.70,-,0.25,17.70,11,17.90,1,25.65,
鮮活果汁-KY,15150,17,2025674,134.50,134.50,133.00,133.00,-,1.5,133.00,4,134.00,1,15.93,
綠悅-KY,1085350,722,176374873,166.00,166.50,160.00,161.00,-,4.5,161.00,7,161.50,4,13.10,
台塑,6029686,"3,554",553889282,93.00,93.00,90.90,92.60,-,0.6,92.50,37,92.60,29,14.96,
南亞,3631120,"1,985",262024609,72.10,72.50,71.70,72.00,-,0.4,72.00,58,72.10,133,11.69,
台聚,1913753,747,29512411,15.65,15.65,15.30,15.35,-,0.3,15.35,24,15.40,29,13.35,
華夏,2444216,"1,255",71702150,29.70,29.70,28.80,29.25,-,0.85,29.25,18,29.30,28,9.69,
三芳,273391,192,10238569,37.95,37.95,37.20,37.20,-,0.85,37.20,30,37.35,9,11.88,
亞聚,494444,222,9141115,18.60,18.60,18.40,18.45,-,0.15,18.40,101,18.45,7,13.98,
台達化,1401591,529,13675504,9.96,9.96,9.67,9.68,-,0.29,9.67,36,9.68,21,26.16,
台苯,9253926,"3,061",216863650,23.80,23.80,23.15,23.30,-,0.55,23.30,203,23.35,73,8.73,
國喬,6753431,"2,356",141323038,21.35,21.35,20.65,20.70,-,0.8,20.65,232,20.70,6,7.93,
國喬特,32000,18,837000,26.90,26.90,24.50,26.70,X,0.0,25.00,2,27.00,1,0.00,
