證券名稱,成交股數,成交筆數,成交金額,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,最後揭示買價,最後揭示買量,最後揭示賣價,最後揭示賣量,本益比,Unnamed: 16
台泥,12051257,"2,510",406727962,34.60,34.60,34.25,34.40,-,0.15,34.35,3,34.40,129,18.80,
亞泥,1768034,939,47077192,26.75,26.75,26.60,26.60,-,0.2,26.60,213,26.65,13,16.63,
嘉泥,176791,59,2154695,12.20,12.25,12.15,12.25,+,0.05,12.20,15,12.25,100,76.56,
環泥,140836,76,3258628,23.25,23.25,23.10,23.15,-,0.05,23.10,11,23.20,24,10.02,
幸福,44012,21,376111,8.55,8.57,8.53,8.55,-,0.03,8.54,20,8.55,2,53.44,
信大,30028,21,361929,12.10,12.10,11.90,12.05,-,0.05,12.00,1,12.10,9,12.55,
東泥,13001,12,183364,14.10,14.15,14.10,14.15,,0.0,14.05,5,14.15,44,0.00,
味全,2331669,915,46561238,19.75,20.20,19.75,20.05,+,0.3,20.05,58,20.10,18,0.00,
味王,98713,48,2492936,25.25,25.50,25.20,25.25,,0.0,25.25,3,25.30,1,12.56,
大成,900429,495,31139724,34.80,34.80,34.40,34.40,-,0.35,34.40,59,34.45,10,11.78,
大飲,600501,342,10046315,16.30,17.25,16.30,16.35,+,0.25,16.30,2,16.35,8,116.79,
卜蜂,947554,617,59636007,63.20,63.60,62.60,62.80,-,0.4,62.70,20,62.80,96,11.52,
統一,3972552,"1,899",251949275,64.10,64.20,63.20,63.30,-,0.7,63.30,4,63.40,79,22.21,
愛之味,707783,237,5329263,7.54,7.54,7.51,7.51,,0.0,7.51,22,7.52,7,22.09,
泰山,1067482,389,18955251,17.70,17.85,17.70,17.75,X,0.0,17.75,59,17.80,7,40.34,
福壽,92269,27,1647132,17.95,17.95,17.75,17.85,,0.0,17.75,5,17.85,5,61.55,
台榮,96101,37,993559,10.40,10.40,10.30,10.40,+,0.05,10.35,5,10.40,145,17.93,
福懋油,415576,25,25727583,65.70,67.20,65.70,65.90,+,0.2,65.90,1,66.00,4,40.68,
佳格,464590,382,34242529,74.00,74.00,73.50,73.70,-,0.1,73.70,31,73.80,408,30.33,
聯華,1205058,693,40061149,33.30,33.45,32.95,33.25,-,0.05,33.25,21,33.30,46,11.35,
聯華食,67017,75,2229906,33.35,33.35,33.20,33.25,-,0.05,33.25,4,33.30,9,12.41,
大統益,25441,32,2333872,92.00,92.00,91.60,91.60,+,0.1,91.50,2,91.60,1,16.96,
天仁,42001,23,1459834,34.65,35.00,34.60,34.60,,0.0,34.60,4,34.80,3,17.39,
黑松,67237,36,2089793,31.15,31.15,31.05,31.05,-,0.1,31.10,1,31.15,9,22.34,
興泰,205918,60,7808954,38.45,38.45,37.20,38.00,-,0.3,38.00,2,38.20,1,8.60,
宏亞,45749,25,770853,16.80,16.90,16.80,16.90,+,0.1,16.80,5,16.90,11,45.68,
鮮活果汁-KY,194744,110,27931507,146.50,146.50,142.00,144.50,-,1.5,143.00,2,144.50,2,15.90,
綠悅-KY,433200,324,24177680,56.40,56.70,55.00,55.00,-,0.8,55.00,23,55.20,1,6.94,
台塑,6011485,"2,183",559345660,92.60,93.30,92.50,93.30,+,0.8,93.20,14,93.30,95,12.23,
南亞,5359420,"1,945",405865032,75.10,76.00,75.10,75.90,+,0.4,75.80,91,75.90,50,9.52,
台聚,1651977,609,25521287,15.40,15.50,15.40,15.40,,0.0,15.40,54,15.50,192,14.95,
華夏,1680974,"1,066",49670225,29.50,29.70,29.35,29.55,+,0.2,29.50,54,29.55,23,9.82,
三芳,70984,57,2454544,34.70,34.80,34.50,34.55,-,0.25,34.50,11,34.55,2,12.52,
亞聚,295858,177,5592102,18.85,18.95,18.85,18.90,+,0.05,18.90,22,18.95,41,14.10,
台達化,2612835,753,31730748,12.10,12.30,12.00,12.15,+,0.15,12.15,45,12.20,234,11.05,
台苯,2538936,"1,045",54200777,21.35,21.55,21.20,21.35,-,0.05,21.35,123,21.40,49,8.75,
國喬,7043119,"2,820",194325256,27.50,27.80,27.35,27.55,+,0.05,27.55,8,27.60,16,8.10,
國喬特,2000,2,61250,30.45,30.80,30.45,30.80,X,0.0,30.50,2,30.80,1,0.00,
聯成,7912813,"1,777",139314697,17.60,17.90,17.45,17.60,+,0.25,17.60,228,17.65,166,8.80,
中石化,30056346,"5,516",426903785,14.25,14.30,14.10,14.25,+,0.1,14.20,749,14.25,"1,462",8.01,
達新,60400,18,1541269,25.60,25.60,25.45,25.45,-,0.15,25.25,2,25.55,2,17.08,
上曜,694305,245,17702235,25.70,25.90,25.30,25.30,-,0.5,25.25,13,25.30,21,0.00,
東陽,1021200,734,59387000,58.50,58.70,57.90,58.00,-,0.5,58.00,21,58.20,3,14.18,
大洋,243000,115,7023250,28.80,29.15,28.80,28.90,+,0.15,28.80,2,28.90,10,0.00,
永裕,308335,178,10432204,33.85,34.00,33.65,33.75,+,0.15,33.75,3,33.90,7,12.36,
地球,23001,17,291012,12.75,12.75,12.60,12.75,+,0.05,12.60,3,12.75,3,12.75,
恆大,34000,17,650950,19.10,19.20,19.10,19.20,,0.0,19.05,19,19.20,14,25.60,
台化,4249130,"1,951",402942560,94.50,95.30,94.10,94.90,+,1.1,94.80,20,94.90,12,11.76,
再生-KY,574076,244,7406467,12.80,13.00,12.80,12.80,,0.0,12.80,135,12.85,2,16.84,
廣華-KY,2106127,"1,552",251212859,119.00,121.50,117.00,117.00,,0.0,117.00,80,117.50,2,12.91,
昭輝,80120,56,3524417,44.00,44.15,43.90,43.90,-,0.25,43.85,10,44.05,1,8.54,
勝悅-KY,702259,491,34195998,49.15,49.15,48.30,48.90,+,0.25,48.85,5,48.90,3,7.69,
遠東新,1995822,951,51218301,25.95,25.95,25.50,25.60,-,0.15,25.60,18,25.65,225,15.52,
新纖,2167486,505,21636935,10.05,10.05,9.95,9.96,-,0.04,9.96,43,9.97,3,17.47,
南染,48111,26,1137119,23.70,23.70,23.60,23.65,-,0.05,23.60,10,23.65,1,17.01,
