證券名稱,成交股數,成交筆數,成交金額,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,最後揭示買價,最後揭示買量,最後揭示賣價,最後揭示賣量,本益比,Unnamed: 16
台泥,5243700,"1,524",182071284,34.70,34.80,34.60,34.75,+,0.05,34.75,104,34.80,577,18.01,
亞泥,3838522,"1,769",103004620,26.60,27.00,26.60,26.90,X,0.0,26.90,19,26.95,146,20.53,
嘉泥,2325008,569,28043787,11.70,12.25,11.70,12.00,+,0.25,12.00,813,12.05,51,42.86,
環泥,445853,268,10218376,23.00,23.10,22.80,22.80,-,0.2,22.80,8,22.85,2,9.50,
幸福,297900,114,2631880,8.73,8.92,8.73,8.88,+,0.15,8.82,2,8.88,2,24.00,
信大,62800,27,715919,11.50,11.50,11.35,11.40,+,0.05,11.40,4,11.45,1,16.06,
東泥,2382,2,35830,15.05,15.05,15.05,15.05,,0.0,14.90,5,15.05,18,0.00,
味全,1279379,498,24916460,19.40,19.55,19.35,19.45,+,0.05,19.40,81,19.50,165,0.00,
味王,43978,34,1061214,24.05,24.25,24.05,24.15,X,0.0,24.10,20,24.20,3,13.13,
大成,1734182,888,53644915,30.80,31.15,30.80,31.05,+,0.4,31.00,7,31.05,60,11.09,
大飲,54483,34,857186,15.75,15.95,15.50,15.65,-,0.05,15.70,1,15.80,10,313.00,
卜蜂,739377,543,48543787,65.60,66.30,65.40,65.50,+,0.2,65.50,11,65.70,2,12.15,
統一,13125627,"4,389",839238128,63.90,64.30,63.50,64.30,+,0.3,64.20,154,64.30,197,25.02,
愛之味,894426,332,7091831,7.97,7.99,7.90,7.92,,0.0,7.92,3,7.93,49,29.33,
泰山,2273783,669,41004109,18.30,18.30,17.90,17.95,-,0.35,17.95,194,18.00,21,0.00,
福壽,140384,41,2546838,18.30,18.30,17.80,17.80,-,0.4,17.80,2,17.90,5,55.63,
台榮,70109,36,716461,10.25,10.30,10.20,10.25,,0.0,10.20,11,10.25,23,16.53,
福懋油,129778,42,8018266,60.50,62.40,60.50,61.80,+,1.5,61.90,2,62.20,1,38.63,
佳格,580742,461,44132203,75.90,76.40,75.60,76.30,+,0.4,76.20,7,76.30,12,31.40,
聯華,1181429,537,32695487,27.70,27.80,27.60,27.70,-,0.05,27.70,13,27.75,39,10.99,
聯華食,314379,176,10711515,34.15,34.30,34.00,34.05,-,0.1,34.05,9,34.15,29,12.66,
大統益,19545,21,1761531,90.20,90.20,90.00,90.00,-,0.2,90.00,7,90.50,3,17.54,
天仁,18100,16,642460,35.40,35.55,35.40,35.55,+,0.1,35.45,2,35.55,5,19.86,
黑松,110500,73,3464773,31.30,31.45,31.30,31.40,+,0.1,31.35,1,31.40,2,25.12,
興泰,36070,21,1190666,33.45,33.45,32.90,33.15,-,0.3,33.15,1,33.20,2,10.36,
宏亞,10440,15,180523,17.30,17.30,17.30,17.30,,0.0,17.15,1,17.25,2,44.36,
鮮活果汁-KY,304708,248,40989580,135.50,138.00,129.50,136.00,+,2.0,135.50,5,136.00,3,14.58,
綠悅-KY,1697536,"1,226",136132216,81.70,82.30,79.20,79.70,-,1.1,79.60,19,79.70,9,7.19,
台塑,4470520,"1,686",419370546,93.90,94.30,93.40,94.00,+,0.3,93.90,291,94.00,29,13.91,
南亞,6492126,"2,257",493793515,76.20,76.30,75.90,76.20,,0.0,76.20,103,76.30,352,10.98,
台聚,1357326,654,20428390,15.05,15.15,15.00,15.00,,0.0,15.00,132,15.05,17,15.63,
