證券名稱,成交股數,成交筆數,成交金額,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,最後揭示買價,最後揭示買量,最後揭示賣價,最後揭示賣量,本益比,Unnamed: 16
台泥,3346840,"1,180",112186981,33.65,33.70,33.40,33.40,-,0.3,33.40,282,33.50,1,17.31,
亞泥,569460,304,15358810,26.95,27.00,26.90,27.00,,0.0,26.95,21,27.00,266,20.61,
嘉泥,207292,80,2509762,12.10,12.15,12.10,12.10,+,0.05,12.10,1,12.15,39,43.21,
環泥,183504,110,4331862,23.45,23.70,23.45,23.65,+,0.1,23.65,9,23.70,28,9.85,
幸福,72000,41,624730,8.70,8.71,8.66,8.67,-,0.03,8.67,6,8.70,9,23.43,
信大,11800,11,149889,12.65,12.85,12.60,12.85,+,0.05,12.80,1,12.85,6,18.10,
東泥,75000,34,1061300,14.20,14.25,14.05,14.05,-,0.2,14.00,28,14.05,1,0.00,
味全,1196894,469,23208130,19.55,19.55,19.25,19.35,-,0.1,19.35,5,19.40,7,0.00,
味王,4608,7,114045,24.75,24.75,24.75,24.75,-,0.25,24.75,10,24.95,2,13.45,
大成,1675131,983,58289680,34.90,35.00,34.65,34.80,+,0.6,34.80,21,34.85,19,12.43,
大飲,46000,17,699300,15.20,15.25,15.20,15.20,,0.0,15.20,4,15.25,13,304.00,
卜蜂,1036405,787,67299499,64.70,65.20,64.60,65.20,+,0.5,65.10,13,65.20,30,11.96,
統一,6952408,"2,988",432147286,62.30,62.60,62.00,62.30,,0.0,62.20,4,62.30,"1,043",24.24,
愛之味,463028,183,3488001,7.53,7.57,7.52,7.54,-,0.02,7.53,15,7.54,2,27.93,
泰山,493563,214,9099630,18.50,18.50,18.40,18.45,-,0.05,18.45,7,18.50,62,0.00,
福壽,282298,34,5012741,17.75,17.80,17.60,17.75,-,0.05,17.60,6,17.75,2,55.47,
台榮,39000,22,401750,10.35,10.35,10.25,10.30,-,0.05,10.30,2,10.35,27,16.61,
福懋油,33110,24,2148383,64.80,65.40,64.80,64.80,-,1.6,64.70,1,65.10,1,40.50,
佳格,377407,325,28338825,75.30,75.30,75.00,75.00,-,0.4,75.00,18,75.10,1,30.86,
聯華,1459409,879,47240032,32.70,32.80,32.10,32.45,,0.0,32.45,82,32.50,48,12.88,
聯華食,65821,57,2193766,33.45,33.45,33.20,33.35,-,0.1,33.30,5,33.35,3,12.40,
大統益,31500,30,2862998,90.50,91.00,90.50,90.60,+,0.1,90.60,2,91.00,7,16.78,
天仁,9357,8,323652,34.55,34.60,34.55,34.60,+,0.05,34.60,6,34.90,2,19.33,
黑松,147545,35,4594370,31.15,31.20,31.10,31.15,,0.0,31.10,14,31.20,7,24.92,
興泰,24520,36,805591,33.00,33.00,32.80,33.00,-,0.1,32.80,2,33.00,3,10.31,
宏亞,8125,9,137531,17.00,17.00,16.90,16.90,-,0.15,16.90,8,17.00,1,43.33,
鮮活果汁-KY,156150,135,23072124,148.00,150.00,146.00,146.00,+,1.0,146.00,6,147.00,5,16.06,
綠悅-KY,869500,690,61911597,73.60,73.60,70.00,71.20,-,2.0,71.00,3,71.20,5,6.42,
台塑,3564214,"1,818",329457425,91.90,92.70,91.90,92.70,+,0.9,92.60,3,92.70,167,13.71,
南亞,4098087,"1,666",306844598,74.50,75.10,74.50,75.10,+,0.5,75.00,20,75.10,282,10.82,
台聚,1939996,598,29644475,15.30,15.40,15.20,15.20,-,0.1,15.20,171,15.30,153,15.83,
華夏,3005286,"1,824",83581460,27.75,28.00,27.65,27.75,+,0.15,27.75,19,27.80,8,8.87,
三芳,40652,40,1431247,35.30,35.30,35.15,35.20,,0.0,35.20,1,35.25,2,11.73,
亞聚,600221,257,11529123,19.40,19.40,19.15,19.15,-,0.15,19.15,21,19.20,9,13.88,
台達化,1877714,546,21329092,11.50,11.55,11.20,11.25,-,0.1,11.25,46,11.30,31,43.27,
台苯,5144583,"1,509",107652416,21.05,21.10,20.80,20.85,-,0.15,20.85,9,20.90,216,8.37,
