證券名稱,成交股數,成交筆數,成交金額,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,最後揭示買價,最後揭示買量,最後揭示賣價,最後揭示賣量,本益比,Unnamed: 16
台泥,4425075,"2,321",150117225,34.00,34.00,33.85,33.95,-,0.1,33.90,258,33.95,83,17.59,
亞泥,1863056,"1,009",50672258,27.30,27.35,27.10,27.20,-,0.1,27.20,91,27.25,54,20.76,
嘉泥,1017519,357,12445626,12.10,12.30,12.10,12.30,+,0.2,12.25,1,12.30,171,43.93,
環泥,704297,350,16434652,23.05,23.45,23.05,23.25,+,0.45,23.25,13,23.35,6,9.69,
幸福,119063,50,1045451,8.80,8.86,8.75,8.76,-,0.04,8.75,28,8.82,5,23.68,
信大,201194,68,2389919,11.80,11.95,11.80,11.80,+,0.05,11.80,13,11.85,9,16.62,
東泥,31499,20,472457,15.05,15.10,14.95,15.10,+,0.05,15.05,1,15.10,11,0.00,
味全,663901,306,12485141,18.80,18.90,18.70,18.75,-,0.05,18.75,8,18.80,32,0.00,
味王,43530,28,1037093,23.90,23.90,23.80,23.80,-,0.1,23.85,4,24.00,2,12.93,
大成,3014283,"1,412",97123231,32.40,32.40,32.00,32.30,+,0.25,32.25,41,32.30,53,11.54,
大飲,21202,19,327131,15.30,15.50,15.30,15.35,-,0.05,15.35,8,15.40,10,307.00,
卜蜂,2259752,"1,387",151196347,67.00,67.50,66.30,67.10,+,1.1,67.10,23,67.20,25,12.45,
統一,6015208,"2,731",392057738,65.50,65.60,65.00,65.10,-,0.1,65.10,"1,377",65.20,59,25.33,
愛之味,1090149,297,8516756,7.87,7.87,7.75,7.85,+,0.03,7.82,6,7.85,9,29.07,
泰山,1242000,459,21931441,17.85,17.85,17.50,17.55,-,0.1,17.55,104,17.60,8,0.00,
福壽,47196,35,837525,17.75,18.10,17.60,17.85,+,0.1,17.75,2,17.90,5,55.78,
台榮,64000,25,651750,10.20,10.25,10.15,10.20,,0.0,10.15,5,10.20,11,16.45,
福懋油,102327,11,6406337,63.00,63.00,62.60,62.60,+,0.6,60.90,1,62.60,1,39.13,
