證券名稱,成交股數,成交筆數,成交金額,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,最後揭示買價,最後揭示買量,最後揭示賣價,最後揭示賣量,本益比,Unnamed: 16
台泥,5734084,"1,918",197359126,34.70,34.75,34.30,34.40,-,0.35,34.35,19,34.40,257,18.20,
亞泥,5065267,"1,504",135128918,27.10,27.20,26.50,26.55,-,0.55,26.55,29,26.60,31,22.50,
嘉泥,524116,158,5584475,10.70,10.70,10.60,10.70,,0.0,10.65,3,10.70,35,66.88,
環泥,169405,123,3759036,22.25,22.35,22.10,22.20,-,0.05,22.20,15,22.25,22,8.57,
幸福,398005,110,3500143,8.82,8.85,8.77,8.80,-,0.06,8.77,4,8.80,34,15.44,
信大,38000,11,391650,10.35,10.35,10.30,10.30,-,0.05,10.25,31,10.35,9,19.07,
東泥,24051,13,363177,15.10,15.10,15.10,15.10,,0.0,14.95,6,15.10,42,503.33,
味全,559368,268,10117827,18.15,18.15,18.05,18.05,-,0.1,18.05,29,18.10,3,0.00,
味王,41000,22,1003500,24.55,24.60,24.40,24.45,-,0.2,24.45,1,24.50,5,13.74,
大成,7929295,"3,862",250605237,32.80,32.90,30.80,31.00,-,1.95,31.00,91,31.05,13,10.26,
大飲,63000,44,972400,15.65,15.70,15.35,15.35,-,0.1,15.35,1,15.45,5,307.00,
卜蜂,4257761,"2,868",274794006,67.00,67.10,63.30,63.60,-,3.5,63.60,38,63.80,5,11.80,
統一,8867094,"3,487",511728493,57.70,58.00,57.40,57.80,+,0.4,57.70,4,57.80,203,22.49,
愛之味,1723025,564,13267898,7.78,7.81,7.65,7.65,-,0.13,7.65,18,7.67,14,33.26,
泰山,4838617,"1,603",95228768,20.20,20.40,19.25,19.30,-,0.9,19.30,251,19.40,18,91.90,
福壽,23542,37,409929,17.50,17.80,17.25,17.80,+,0.4,17.40,5,17.65,1,37.08,
台榮,102000,60,1031000,10.20,10.20,10.05,10.15,,0.0,10.15,28,10.20,23,12.69,
福懋油,20000,14,1171200,58.40,58.70,58.40,58.70,+,0.3,58.50,1,58.70,4,34.53,
佳格,519966,459,41240393,80.00,80.00,79.10,79.40,-,0.4,79.40,8,79.50,2,29.85,
聯華,2497272,"1,196",70335896,28.35,28.50,27.95,28.05,-,0.25,28.05,56,28.10,77,11.13,
聯華食,344950,245,12375705,36.40,36.40,35.75,35.75,-,0.65,35.75,6,35.80,2,13.14,
大統益,45777,53,4145445,90.50,90.80,90.50,90.60,-,0.2,90.50,2,90.60,1,17.66,
天仁,91000,26,3162000,35.00,35.00,34.55,34.85,-,0.15,34.65,6,34.85,1,19.25,
黑松,194006,137,6143892,31.80,31.90,31.55,31.75,-,0.05,31.65,4,31.75,2,11.55,
興泰,414004,63,13149272,31.75,31.90,31.30,31.80,+,0.05,31.70,6,31.80,7,9.94,
宏亞,32001,17,537066,16.85,16.90,16.75,16.80,-,0.1,16.75,18,16.85,3,50.91,
鮮活果汁-KY,143708,140,17114544,122.50,122.50,117.00,117.50,-,5.5,117.50,2,118.00,2,12.59,
綠悅-KY,3922385,"2,219",305048760,76.00,78.80,76.00,77.40,-,0.2,77.40,43,77.50,20,6.98,
台塑,4565834,"2,480",421260969,92.80,93.00,91.90,92.60,-,0.2,92.50,24,92.60,44,13.70,
南亞,5811465,"2,183",436815254,76.00,76.10,74.80,75.40,-,0.8,75.10,2,75.40,355,11.01,
台聚,1400059,480,21001069,15.25,15.25,14.85,14.90,-,0.3,14.85,89,14.90,27,12.74,
華夏,3644017,"2,115",117511584,33.10,33.10,31.70,31.70,-,1.5,31.70,62,31.90,4,9.22,
三芳,405288,226,14504368,36.20,36.30,35.60,35.70,-,0.5,35.65,3,35.70,4,11.90,
亞聚,1023835,499,18674832,18.50,18.50,18.10,18.25,-,0.3,18.20,1,18.25,24,12.76,
台達化,2932888,784,31826698,11.30,11.30,10.65,10.70,-,0.5,10.70,8,10.75,35,21.40,
台苯,5447244,"1,938",112789748,20.85,21.00,20.55,20.55,-,0.45,20.55,172,20.60,21,7.56,
國喬,16944978,"6,570",394367128,23.85,23.90,22.85,23.65,-,0.1,23.60,10,23.65,14,8.36,
國喬特,42000,15,1170600,28.00,28.00,27.80,27.80,-,0.1,27.70,20,27.90,6,0.00,
聯成,7217664,"1,581",103971222,14.85,14.85,14.15,14.25,-,0.8,14.25,40,14.30,64,12.39,
中石化,37069389,"5,032",445759716,12.30,12.45,11.85,11.95,-,0.35,11.95,174,12.00,794,170.71,
達新,53124,21,1359790,25.60,25.65,25.30,25.55,-,0.05,25.25,4,25.55,8,17.99,
上曜,381797,205,9794860,26.15,26.15,25.50,25.75,-,0.2,25.70,16,25.75,9,0.00,
東陽,2898921,"1,637",162098180,56.80,56.90,55.60,55.70,-,1.1,55.60,103,55.70,2,14.25,
大洋,608418,320,18356306,31.20,31.20,29.60,29.70,-,1.2,29.70,3,29.80,2,0.00,
永裕,794442,473,25644837,31.80,32.60,31.70,31.80,,0.0,31.80,11,31.90,1,11.20,
地球,110000,27,1463600,13.35,13.35,13.30,13.35,,0.0,13.30,7,13.40,9,11.41,
恆大,53500,29,1050299,19.70,19.75,19.55,19.70,,0.0,19.60,3,19.70,9,21.41,
台化,3905922,"2,093",357345933,92.70,92.70,91.10,91.50,-,1.2,91.50,43,91.60,105,12.15,
再生-KY,1731201,673,24017868,14.15,14.15,13.75,13.80,-,0.35,13.80,145,13.85,2,13.14,
