證券名稱,成交股數,成交筆數,成交金額,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,最後揭示買價,最後揭示買量,最後揭示賣價,最後揭示賣量,本益比,Unnamed: 16
台泥,2785373,"1,618",87917562,31.00,31.90,30.85,31.85,+,0.35,31.80,36,31.85,235,22.59,
亞泥,2279613,"1,435",62775825,27.80,27.80,27.30,27.55,-,0.45,27.50,188,27.55,85,25.75,
嘉泥,164757,107,1368638,8.26,8.35,8.26,8.34,+,0.08,8.31,4,8.34,2,24.53,
環泥,237108,139,5082193,21.50,21.60,21.25,21.35,-,0.15,21.35,12,21.45,1,9.09,
幸福,263000,50,2655150,10.15,10.15,10.05,10.10,-,0.05,10.10,15,10.15,64,9.81,
信大,52000,15,521000,10.00,10.10,9.95,10.05,,0.0,10.05,1,10.10,2,0.00,
東泥,28000,14,425200,15.05,15.30,15.05,15.30,,0.0,15.00,2,15.30,2,38.25,
味全,2239775,971,48638094,21.85,22.10,21.40,21.60,,0.0,21.55,101,21.60,11,0.00,
味王,295091,43,6396323,21.60,21.75,21.60,21.75,+,0.1,21.70,3,21.75,7,21.75,
大成,5861240,"3,218",174712381,29.80,30.10,29.40,29.80,-,0.05,29.75,23,29.80,3,21.91,
大飲,89000,47,1689150,18.80,19.20,18.80,19.20,+,0.2,19.00,11,19.20,3,96.00,
卜蜂,2733513,"1,610",103504603,37.85,38.20,37.50,38.00,-,0.2,38.00,37,38.05,2,13.24,
統一,9956391,"6,091",614493642,62.20,62.60,61.30,62.00,-,1.3,61.90,174,62.00,439,24.90,
愛之味,287308,132,2318896,8.04,8.12,8.03,8.08,-,0.03,8.08,14,8.10,3,50.50,
泰山,486750,147,6352123,12.95,13.20,12.85,13.15,+,0.15,13.15,9,13.20,7,23.91,
福壽,10871,11,166237,15.30,15.30,15.30,15.30,,0.0,15.25,3,15.35,12,42.50,
台榮,182201,81,2078941,11.50,11.50,11.35,11.50,,0.0,11.45,3,11.50,4,13.22,
福懋油,94900,36,3735751,39.60,40.30,39.10,39.45,-,0.15,39.05,1,39.30,1,13.89,
佳格,471494,407,36680374,77.50,78.10,77.50,78.10,+,0.1,78.00,20,78.10,44,22.84,
聯華,548553,262,11508213,21.00,21.10,20.80,20.90,-,0.1,20.90,67,21.00,75,12.59,
聯華食,109080,69,3409096,30.70,31.45,30.55,31.20,+,0.3,31.15,5,31.35,3,12.05,
大統益,83100,73,6597900,79.50,79.50,79.30,79.40,,0.0,79.40,15,79.50,10,15.04,
天仁,20338,15,761125,37.60,37.60,37.40,37.40,-,0.35,37.40,5,37.50,1,17.00,
黑松,100750,85,3245549,32.05,32.60,32.05,32.20,-,0.3,32.20,2,32.30,2,22.05,
興泰,45000,33,1030200,22.95,23.15,22.65,23.15,+,0.2,23.15,40,23.20,7,10.43,
宏亞,2000,2,39750,19.80,19.95,19.80,19.95,+,0.1,19.85,5,20.15,10,35.00,
鮮活果汁-KY,41000,38,4304500,104.50,105.50,104.50,105.50,+,0.5,105.00,1,105.50,5,14.14,
綠悅-KY,336130,246,50201500,147.00,151.00,147.00,150.00,+,1.0,149.50,3,150.00,43,13.89,
台塑,7452178,"4,122",567488528,76.20,76.60,75.80,76.00,-,0.2,76.00,206,76.10,100,14.67,
南亞,3644752,"2,354",218505820,60.00,60.20,59.60,60.00,-,0.1,60.00,181,60.10,40,14.35,
台聚,728321,310,9006493,12.40,12.40,12.30,12.35,-,0.05,12.35,15,12.40,18,13.14,
華夏,1709980,"1,245",25389598,14.65,15.00,14.65,14.85,+,0.1,14.85,40,14.95,20,8.89,
三芳,107120,89,4044502,37.30,38.10,37.20,37.95,+,0.3,37.95,5,38.10,8,12.20,
亞聚,165411,85,2805237,16.85,17.05,16.85,17.00,,0.0,16.95,23,17.00,13,16.50,
台達化,109214,54,779308,7.13,7.16,7.12,7.13,-,0.04,7.13,1,7.16,1,64.82,
台苯,1445389,527,21789047,15.05,15.20,15.00,15.10,+,0.05,15.10,12,15.15,51,7.40,
國喬,2815305,"1,695",42378475,15.00,15.15,14.85,15.05,-,0.05,15.05,96,15.10,19,7.84,
國喬特,2000,2,46300,23.15,23.15,23.15,23.15,X,0.0,23.20,1,23.35,7,0.00,
聯成,440968,148,3924963,8.81,9.00,8.78,8.91,+,0.02,8.91,7,8.98,12,0.00,
中石化,4015692,"1,095",28890515,7.20,7.23,7.17,7.18,-,0.02,7.18,144,7.20,49,0.00,
達新,63010,26,1548345,24.35,24.90,24.35,24.50,+,0.15,24.45,5,24.60,4,16.67,
上曜,43003,33,473483,10.95,11.10,10.90,11.10,+,0.15,11.00,8,11.10,22,0.00,
東陽,1726915,"1,167",82787694,47.35,48.60,46.90,48.35,+,0.55,48.30,3,48.35,2,15.06,
大洋,23000,13,575350,25.00,25.10,25.00,25.05,,0.0,25.00,9,25.10,6,147.35,
永裕,450139,274,14660883,32.45,32.70,32.15,32.65,+,0.2,32.60,8,32.65,18,11.96,
地球,14002,13,154872,11.00,11.15,11.00,11.15,+,0.1,11.00,6,11.15,4,12.25,
恆大,46011,26,907770,19.65,19.85,19.55,19.85,+,0.2,19.75,21,19.85,3,17.11,
台化,3984719,"2,748",321655914,79.90,81.50,79.30,81.00,+,1.1,80.80,82,81.00,105,14.41,
再生-KY,384049,235,6966188,17.95,18.30,17.90,18.20,+,0.1,18.20,9,18.25,4,10.83,
廣華-KY,505000,452,57048000,112.00,113.50,111.50,113.00,+,0.5,112.50,72,113.00,1,12.40,
昭輝,243010,168,10838005,44.40,45.20,44.00,45.15,+,0.55,45.00,10,45.15,3,10.38,
勝悅-KY,1042130,472,65933955,62.70,64.00,62.40,63.30,+,0.5,63.30,9,63.60,1,8.24,
