證券名稱,成交股數,成交筆數,成交金額,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,最後揭示買價,最後揭示買量,最後揭示賣價,最後揭示賣量,本益比,Unnamed: 16
台泥,6577921,"2,675",245289707,37.40,37.75,36.85,37.05,-,0.45,37.05,30,37.10,44,21.67,
亞泥,3908762,"1,933",104288699,27.00,27.00,26.55,26.65,-,0.05,26.60,55,26.65,45,32.11,
嘉泥,136096,73,1186415,8.71,8.77,8.70,8.70,+,0.01,8.69,27,8.73,2,11.15,
環泥,220575,121,5226394,23.70,23.95,23.55,23.70,+,0.05,23.70,2,23.80,3,8.91,
幸福,121237,40,1099881,9.09,9.10,9.06,9.07,-,0.01,9.06,15,9.07,2,10.93,
信大,8000,6,79880,10.10,10.10,9.95,9.97,-,0.08,9.96,2,10.00,6,27.69,
東泥,52331,27,792047,14.95,15.25,14.95,15.20,,0.0,15.10,9,15.20,6,58.46,
味全,641018,194,11143208,17.50,17.50,17.25,17.30,-,0.1,17.30,135,17.40,7,0.00,
味王,64404,40,1418956,22.30,22.30,21.85,22.05,+,0.15,22.00,2,22.10,3,21.00,
大成,5675709,"2,217",166949197,29.10,29.75,29.00,29.35,+,0.05,29.35,85,29.40,2,12.65,
大飲,21115,20,343563,16.25,16.30,16.15,16.30,+,0.05,16.25,3,16.30,8,148.18,
卜蜂,2646646,"1,503",115249645,44.30,44.30,42.90,43.85,-,0.55,43.85,6,43.90,16,11.02,
統一,18520743,"8,240",1014374365,54.90,55.30,54.50,54.50,-,0.4,54.40,711,54.50,18,20.96,
愛之味,317491,142,2274999,7.18,7.21,7.13,7.18,-,0.01,7.18,3,7.20,28,0.00,
泰山,1522552,545,24212431,15.70,16.10,15.65,16.10,+,0.4,16.05,30,16.10,51,17.13,
福壽,23100,19,359440,15.55,15.80,15.45,15.50,,0.0,15.50,10,15.70,1,28.18,
台榮,144000,59,1539750,10.60,10.75,10.55,10.75,+,0.15,10.70,20,10.75,3,11.81,
福懋油,84045,48,4251272,51.00,51.00,50.10,50.90,-,0.1,50.60,1,50.80,2,15.10,
佳格,962334,732,72823684,76.10,76.40,75.50,75.60,-,0.5,75.60,17,75.70,29,26.43,
聯華,1947231,910,42468307,21.95,21.95,21.70,21.70,+,0.7,21.70,275,21.80,21,11.36,
聯華食,169434,110,5044376,29.75,29.85,29.70,29.70,+,0.05,29.70,5,29.75,6,10.68,
大統益,66273,54,5534505,83.50,84.00,83.20,84.00,,0.0,83.90,3,84.10,11,15.76,
天仁,41100,26,1482280,36.30,36.30,36.00,36.20,-,0.1,36.20,3,36.70,1,16.76,
黑松,64509,46,2069337,32.20,32.20,32.05,32.10,-,0.1,32.05,18,32.20,6,12.25,
興泰,379755,244,11775027,30.30,31.80,30.25,30.60,+,0.45,30.55,5,30.60,3,6.19,
宏亞,10010,19,183580,18.50,18.50,18.30,18.30,-,0.2,18.20,1,18.35,1,38.13,
鮮活果汁-KY,21100,18,2610900,123.00,126.50,122.00,124.00,,0.0,124.50,1,125.50,1,15.52,
綠悅-KY,567565,475,86033880,153.00,153.50,148.50,153.00,-,1.0,152.50,9,153.00,11,13.37,
台塑,9332018,"3,831",789285605,84.60,85.30,83.10,85.10,+,0.1,85.00,"1,042",85.10,75,16.33,
南亞,8006270,"3,838",512337110,64.30,64.60,63.60,64.00,-,0.7,64.00,256,64.10,20,18.55,
台聚,3704710,"1,205",56453372,15.50,15.55,15.10,15.20,-,0.3,15.15,57,15.20,4,12.77,
華夏,5767791,"2,583",138809887,24.30,24.80,23.55,23.70,-,0.95,23.70,55,23.75,10,9.96,
三芳,160029,99,5420132,34.20,34.20,33.60,34.05,+,0.15,34.05,1,34.10,5,11.27,
亞聚,628455,270,11323929,18.15,18.15,17.90,18.10,-,0.05,18.05,8,18.10,13,15.88,
台達化,814347,232,6457745,8.06,8.06,7.84,7.94,-,0.11,7.94,22,7.97,2,0.00,
台苯,21952185,"5,301",396614622,18.40,18.40,17.75,18.15,+,1.35,18.10,100,18.15,75,8.60,
國喬,9755272,"4,230",181265876,18.95,19.00,18.30,18.50,+,0.1,18.50,5,18.55,42,10.34,
國喬特,21000,6,515450,24.60,24.75,24.50,24.75,+,0.25,24.55,2,24.80,3,0.00,
聯成,2763412,890,31939012,11.65,11.70,11.45,11.50,+,0.05,11.50,32,11.55,14,127.78,
中石化,13647318,"2,872",120419443,8.90,8.93,8.73,8.78,-,0.05,8.78,87,8.80,14,0.00,
達新,7000,3,174800,25.00,25.00,24.80,24.80,-,0.35,24.80,1,25.00,1,18.65,
上曜,90323,30,952038,10.60,10.75,10.50,10.55,,0.0,10.55,5,10.60,4,0.00,
東陽,3869788,"2,595",249901371,62.60,66.20,61.90,65.20,+,2.7,65.20,18,65.40,3,16.38,
大洋,70000,60,1804000,25.90,26.00,25.55,25.55,-,0.35,25.55,6,25.60,1,319.38,
永裕,473303,311,16659211,35.40,35.90,34.80,35.50,-,0.2,35.45,5,35.50,17,10.79,
地球,10013,13,130721,13.10,13.10,13.00,13.10,-,0.05,13.05,10,13.10,2,15.23,
恆大,42171,20,805999,19.20,19.20,19.05,19.15,-,0.05,19.10,15,19.15,7,18.41,
台化,9514250,"3,761",905656555,95.10,95.70,94.60,95.00,-,0.1,95.00,77,95.10,185,13.51,
再生-KY,585739,512,10050235,17.10,17.25,17.05,17.15,+,0.05,17.15,16,17.25,66,7.87,
廣華-KY,577020,473,53115464,89.00,93.60,89.00,92.90,+,2.9,92.70,1,92.90,1,11.38,
昭輝,318700,166,11468894,37.00,37.00,35.80,35.90,-,1.15,35.90,36,36.05,2,11.62,
勝悅-KY,673610,469,37301471,56.40,56.40,54.60,55.40,-,0.7,55.40,12,55.50,12,6.92,
遠東新,6912714,"2,658",159380022,23.35,23.40,22.95,22.95,-,0.45,22.95,115,23.00,10,25.50,
新纖,1755351,186,14643427,8.42,8.44,8.32,8.39,-,0.03,8.35,25,8.39,11,26.22,
南染,25024,18,606417,24.35,24.35,24.15,24.15,-,0.2,24.10,1,24.30,1,15.78,
宏洲,29000,14,163050,5.67,5.80,5.50,5.80,+,0.05,5.56,6,5.75,10,0.00,
東和,64457,31,378844,5.88,5.90,5.77,5.90,+,0.06,5.84,5,5.87,10,147.50,
