證券名稱,成交股數,成交筆數,成交金額,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,最後揭示買價,最後揭示買量,最後揭示賣價,最後揭示賣量,本益比,Unnamed: 16
台泥,7902753,"2,560",208839228,25.85,26.80,25.80,26.60,+,0.75,26.55,2,26.60,738,14.94,
亞泥,4913873,"2,062",125888098,25.00,26.05,25.00,26.05,+,0.9,25.80,21,26.05,87,13.29,
嘉泥,188538,80,1690662,9.00,9.03,8.90,9.03,+,0.04,9.01,3,9.03,20,0.00,
環泥,285547,176,5779607,20.25,20.40,20.05,20.40,,0.0,20.40,8,20.45,8,10.15,
幸福,100001,45,950299,9.48,9.55,9.45,9.52,+,0.04,9.52,15,9.55,20,8.00,
信大,20116,8,195894,9.74,9.75,9.74,9.74,+,0.05,9.71,1,9.80,12,243.50,
東泥,88000,22,1222750,13.75,14.05,13.75,13.85,,0.0,13.85,4,13.90,1,81.47,
味全,333459,203,5844365,17.50,17.60,17.40,17.60,+,0.1,17.55,7,17.60,8,0.00,
味王,10021,15,226574,22.60,22.70,22.60,22.60,,0.0,22.50,1,22.60,2,13.87,
大成,806416,516,16084693,20.00,20.00,19.85,20.00,+,0.1,19.95,5,20.00,66,22.99,
大飲,15000,11,224950,15.00,15.15,14.95,14.95,-,0.05,14.95,2,15.00,8,33.98,
卜蜂,353732,207,7792755,21.90,22.20,21.85,22.10,+,0.2,22.10,7,22.15,3,8.44,
統一,12605604,"3,987",693686611,54.50,55.50,54.50,55.50,+,0.2,55.40,30,55.50,226,21.76,
愛之味,1522578,540,12183588,7.92,8.05,7.92,8.03,+,0.13,8.02,32,8.03,32,89.22,
泰山,182699,65,2165312,11.80,11.95,11.80,11.80,,0.0,11.80,7,11.85,21,56.19,
福壽,1980418,577,27263827,14.70,14.70,13.35,13.35,-,1.45,--,0,13.35,135,34.23,
台榮,47001,22,491560,10.55,10.60,10.40,10.50,-,0.1,10.45,8,10.50,1,22.34,
福懋油,326208,30,8432571,25.85,26.20,25.75,25.75,-,0.45,25.50,3,25.75,18,34.33,
佳格,1037608,628,81826884,77.90,79.50,77.90,79.50,+,1.6,79.20,22,79.50,19,23.66,
聯華,382309,253,7133439,18.60,18.75,18.55,18.75,+,0.25,18.70,2,18.75,25,11.23,
聯華食,86100,61,2522549,29.45,29.45,29.20,29.30,+,0.1,29.30,3,29.35,1,11.63,
大統益,41180,25,3048136,74.00,74.30,73.80,74.20,+,0.2,74.10,3,74.30,5,10.83,
天仁,55302,38,1961336,35.80,35.80,35.10,35.80,,0.0,35.80,1,35.85,1,17.55,
黑松,56671,52,1891524,33.30,33.55,33.25,33.30,+,0.1,33.30,3,33.45,26,20.68,
興泰,30000,12,570250,19.10,19.10,18.95,19.05,-,0.15,19.05,2,19.15,12,0.00,
宏亞,13539,26,283544,21.10,21.10,20.70,20.70,-,0.5,20.70,4,21.10,3,23.26,
綠悅-KY,399003,286,44153836,108.00,113.00,108.00,111.00,+,2.0,110.50,3,111.00,1,9.87,
台塑,8047090,"3,069",615574675,75.00,77.30,75.00,77.00,+,1.4,76.70,22,77.00,12,20.00,
南亞,8323128,"3,850",476562750,56.00,57.80,56.00,57.80,+,1.6,57.60,31,57.80,747,13.63,
台聚,1962626,768,25479185,12.85,13.10,12.85,12.85,+,0.15,12.85,130,12.90,41,18.36,
華夏,2405707,"1,048",33181433,13.80,13.95,13.65,13.90,+,0.15,13.90,18,13.95,63,14.79,
三芳,1949345,"1,004",69860770,34.60,36.50,34.60,36.00,+,1.45,35.90,8,36.00,61,12.81,
亞聚,695575,354,12457586,18.00,18.10,17.75,17.95,+,0.25,17.95,18,18.00,86,18.13,
台達化,540754,139,3995222,7.43,7.43,7.36,7.39,+,0.07,7.38,10,7.39,3,0.00,
台苯,4314989,931,72996656,17.00,17.05,16.80,16.95,+,0.1,16.95,66,17.00,184,26.08,
國喬,6644009,"2,111",101141734,15.15,15.40,15.10,15.35,+,0.4,15.30,1,15.35,19,11.46,
