證券名稱,成交股數,成交筆數,成交金額,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,最後揭示買價,最後揭示買量,最後揭示賣價,最後揭示賣量,本益比,Unnamed: 16
台泥,4783923,"2,016",150926787,31.75,31.95,31.10,31.65,+,0.05,31.60,5,31.65,104,17.78,
亞泥,3798425,"1,750",113896000,30.20,30.20,29.70,30.00,-,0.25,30.00,35,30.05,5,15.31,
嘉泥,425420,152,4028239,9.37,9.55,9.35,9.53,+,0.33,9.53,45,9.54,4,0.00,
環泥,381937,197,8249181,21.55,21.80,21.40,21.70,+,0.15,21.70,14,21.75,13,10.80,
幸福,145000,46,1451260,10.05,10.05,9.98,10.05,-,0.05,10.00,16,10.05,7,8.45,
信大,45600,25,453439,9.95,9.99,9.90,9.95,-,0.05,9.95,1,9.99,10,248.75,
東泥,30000,19,457000,15.05,15.60,15.00,15.50,+,0.45,15.20,7,15.30,7,91.18,
味全,1179198,504,25195768,21.50,21.65,21.15,21.45,-,0.25,21.40,35,21.45,15,0.00,
味王,111917,84,2526625,22.70,22.70,22.50,22.55,-,0.15,22.55,13,22.60,2,13.83,
大成,1166560,565,25983671,22.25,22.50,22.10,22.50,+,0.05,22.40,3,22.50,103,25.86,
大飲,6013,9,100565,16.25,16.90,16.25,16.80,,0.0,16.60,8,16.80,2,38.18,
卜蜂,797413,338,20109608,25.30,25.45,25.00,25.20,-,0.05,25.20,30,25.30,15,9.62,
統一,4949725,"2,400",285878271,58.30,58.40,57.50,57.80,-,0.7,57.70,59,57.80,313,22.67,
愛之味,1067820,367,8803265,8.28,8.32,8.20,8.23,,0.0,8.23,13,8.25,5,91.44,
泰山,694098,494,9112003,13.15,13.30,13.05,13.10,-,0.05,13.10,16,13.15,71,62.38,
福壽,157484,108,2435400,15.40,15.70,15.30,15.30,+,0.1,15.30,1,15.50,12,39.23,
台榮,68017,23,716179,10.55,10.55,10.50,10.55,,0.0,10.50,12,10.55,14,22.45,
福懋油,84837,81,2739270,31.30,33.90,31.30,33.30,+,2.1,33.10,4,33.30,1,44.40,
佳格,419035,367,34893091,84.00,84.00,83.00,83.40,-,0.4,83.30,8,83.40,19,24.82,
聯華,759412,363,15108806,19.80,20.00,19.80,19.90,+,0.25,19.90,1,19.95,22,11.92,
聯華食,107211,67,3186764,30.00,30.00,29.55,29.75,-,0.05,29.65,2,29.75,3,11.81,
大統益,177447,119,13993101,78.70,79.30,78.60,78.80,+,0.1,78.80,4,79.00,7,11.50,
天仁,53001,32,2058389,39.20,39.20,38.75,38.90,,0.0,38.90,2,38.95,4,16.84,
黑松,50514,49,1806439,35.90,36.00,35.50,35.50,-,0.05,35.40,2,35.60,2,22.05,
興泰,240762,124,6009106,25.20,25.30,24.45,25.00,+,0.65,24.80,2,25.00,1,0.00,
宏亞,20578,298,425434,20.70,20.85,20.65,20.70,-,0.2,20.70,14,20.90,5,22.02,
鮮活果汁-KY,42170,45,5536100,127.00,133.50,126.00,130.00,+,4.0,130.00,3,132.00,1,16.75,
綠悅-KY,230031,173,28991906,126.00,127.00,125.00,126.00,-,0.5,126.00,4,126.50,8,11.20,
台塑,5272935,"2,512",422167991,80.50,80.60,79.80,79.90,-,0.6,79.90,34,80.00,6,16.47,
南亞,6281795,"3,324",421769810,67.80,68.00,66.50,67.30,+,0.2,67.20,76,67.30,252,15.87,
台聚,934578,386,12472070,13.35,13.40,13.25,13.40,+,0.05,13.35,37,13.40,126,19.14,
華夏,5481620,"1,918",88660923,16.00,16.40,15.80,16.25,+,0.25,16.25,57,16.30,239,17.29,
三芳,567173,395,22428314,39.80,40.00,39.05,39.50,-,0.3,39.50,4,39.55,1,14.06,
亞聚,432645,221,7961607,18.40,18.55,18.35,18.40,-,0.1,18.35,70,18.40,53,18.59,
台達化,493123,154,3880107,7.91,7.92,7.83,7.90,,0.0,7.86,6,7.90,2,0.00,
台苯,2944848,850,50269184,17.05,17.20,16.90,17.15,+,0.15,17.10,7,17.15,7,26.38,
