證券名稱,成交股數,成交筆數,成交金額,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,最後揭示買價,最後揭示買量,最後揭示賣價,最後揭示賣量,本益比,Unnamed: 16
台泥,6341786,"2,454",163560655,26.00,26.15,25.60,25.65,-,0.2,25.65,107,25.70,8,14.41,
亞泥,1683817,908,42288930,25.30,25.40,25.00,25.10,+,0.05,25.05,21,25.10,50,12.81,
嘉泥,130537,88,1156258,8.85,8.94,8.81,8.89,+,0.03,8.82,8,8.89,4,0.00,
環泥,72443,69,1462418,20.20,20.25,20.05,20.25,+,0.2,20.10,25,20.25,9,10.07,
幸福,117000,47,1097690,9.40,9.46,9.30,9.35,-,0.04,9.35,31,9.39,4,7.86,
信大,8590,5,84582,9.85,9.85,9.85,9.85,-,0.01,9.80,1,9.85,3,246.25,
東泥,39000,22,535000,13.60,13.80,13.50,13.80,+,0.2,13.50,1,13.85,6,81.18,
味全,820216,342,14380629,17.80,17.95,17.35,17.55,-,0.1,17.55,49,17.60,3,0.00,
味王,106077,50,2364505,22.40,22.50,22.05,22.20,-,0.2,22.10,2,22.20,6,13.62,
大成,435988,309,8557661,19.70,19.75,19.55,19.55,-,0.15,19.55,59,19.60,2,22.47,
大飲,9000,4,132550,14.85,14.85,14.70,14.80,-,0.05,14.60,2,14.80,1,33.64,
卜蜂,205893,160,4436438,21.60,21.65,21.40,21.55,-,0.05,21.55,28,21.60,1,8.23,
統一,6798054,"2,860",356089383,53.00,53.20,52.10,52.30,,0.0,52.30,187,52.40,49,20.51,
愛之味,1418733,376,11085393,7.75,7.93,7.75,7.84,+,0.06,7.83,1,7.84,17,87.11,
泰山,394645,125,4618508,11.60,11.80,11.60,11.70,+,0.15,11.70,48,11.75,32,55.71,
福壽,83932,31,1237247,14.70,14.85,14.60,14.80,+,0.1,14.75,14,14.80,28,37.95,
台榮,81000,23,869550,10.50,11.00,10.40,10.50,,0.0,10.50,8,10.55,10,22.34,
福懋油,43086,32,1111715,25.70,26.00,25.70,26.00,+,0.1,25.75,1,26.00,4,34.67,
佳格,669479,488,50540093,76.00,76.20,75.00,75.60,+,0.3,75.50,87,75.60,23,22.50,
聯華,136171,96,2517614,18.50,18.60,18.40,18.55,+,0.1,18.50,3,18.55,1,11.11,
聯華食,25240,25,705170,28.00,28.10,27.85,28.00,,0.0,28.00,3,28.05,1,11.11,
大統益,32667,29,2420525,74.90,74.90,73.90,74.00,-,0.1,73.90,6,74.10,2,10.80,
天仁,13050,12,463095,35.40,36.00,35.35,35.40,,0.0,35.30,1,35.40,2,17.35,
黑松,11100,16,349638,31.50,31.50,31.50,31.50,-,0.05,31.45,4,31.65,27,19.57,
興泰,36700,19,700538,19.15,19.25,19.00,19.25,+,0.2,19.20,2,19.30,12,0.00,
宏亞,7380,17,152686,20.80,20.80,20.50,20.70,+,0.2,20.45,1,20.80,3,23.26,
綠悅-KY,147419,96,15909252,108.00,108.50,106.50,108.50,+,0.5,108.00,2,108.50,12,9.64,
台塑,3814249,"2,305",282985835,74.60,74.80,73.70,74.40,+,0.5,74.30,85,74.40,57,19.32,
南亞,4567002,"2,345",252363797,55.70,55.70,54.90,55.30,+,0.4,55.30,39,55.40,85,13.04,
台聚,486150,228,6043792,12.35,12.50,12.35,12.35,+,0.05,12.35,41,12.40,9,17.64,
華夏,5150392,"1,528",69307525,13.30,13.65,13.15,13.45,+,0.4,13.45,31,13.50,6,14.31,
三芳,211350,180,7196970,34.25,34.50,33.80,33.85,-,0.25,33.85,27,34.00,3,12.05,
亞聚,324010,282,5369260,16.75,16.80,16.45,16.60,+,0.05,16.55,4,16.60,9,16.77,
台達化,200518,98,1423074,7.19,7.20,7.03,7.07,+,0.01,7.07,4,7.11,12,0.00,
台苯,6221273,"1,461",105611264,16.95,17.25,16.55,16.80,+,0.3,16.80,76,16.85,26,25.85,
國喬,4246944,"1,456",60616955,14.45,14.50,14.05,14.15,,0.0,14.10,166,14.15,3,10.56,
國喬特,0,0,0,--,--,--,--,,0.0,21.45,1,21.85,1,0.00,
聯成,1062110,410,8983673,8.35,8.53,8.35,8.46,+,0.08,8.45,7,8.47,6,423.00,
中石化,4708449,"1,384",36035512,7.63,7.74,7.60,7.62,+,0.04,7.62,43,7.65,25,12.29,
達新,12004,6,274392,22.90,22.90,22.85,22.85,-,0.05,22.45,1,22.85,3,15.23,
上曜,33000,11,324670,9.81,9.87,9.80,9.87,+,0.01,9.86,2,9.87,1,0.00,
東陽,9857858,"5,069",447303836,44.90,46.15,44.70,45.40,+,1.75,45.40,9,45.45,15,25.51,
大洋,73000,41,1759850,24.10,24.25,24.00,24.25,+,0.35,24.00,4,24.25,1,303.13,
永裕,67304,52,1544522,23.10,23.10,22.80,23.00,-,0.1,22.90,1,23.05,4,8.95,
地球,58004,32,666844,11.00,11.80,11.00,11.10,+,0.25,11.10,1,11.25,1,16.82,
恆大,124000,46,2548950,20.50,20.70,20.50,20.70,+,0.05,20.60,12,20.70,3,20.50,
台化,3580252,"1,868",246103960,68.40,69.70,68.20,68.80,+,1.0,68.80,278,68.90,26,26.06,
