證券名稱,成交股數,成交筆數,成交金額,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,最後揭示買價,最後揭示買量,最後揭示賣價,最後揭示賣量,本益比,Unnamed: 16
台泥,3452766,"1,579",126632603,37.00,37.00,36.50,36.60,-,0.4,36.60,63,36.65,187,21.40,
亞泥,2936602,"1,494",79216584,27.20,27.20,26.80,27.00,-,0.15,26.95,12,27.00,282,32.53,
嘉泥,311890,190,2660360,8.44,8.61,8.43,8.51,+,0.09,8.51,11,8.55,10,10.91,
環泥,184752,81,4446332,24.05,24.20,24.00,24.10,+,0.05,24.05,20,24.10,5,9.06,
幸福,130510,29,1205262,9.23,9.25,9.23,9.24,+,0.02,9.23,2,9.24,1,11.13,
信大,40700,18,404940,9.95,9.96,9.91,9.91,-,0.04,9.91,8,9.96,1,27.53,
東泥,32000,17,482050,15.00,15.15,15.00,15.10,-,0.05,15.00,9,15.10,24,58.08,
味全,174006,110,3122955,17.95,18.05,17.90,17.95,,0.0,17.90,8,17.95,1,0.00,
味王,83822,34,1881339,22.10,22.50,22.10,22.40,+,0.05,22.35,1,22.45,6,21.33,
大成,1449644,730,43483743,29.85,30.15,29.85,30.00,-,0.2,29.95,27,30.00,25,12.93,
大飲,24489,23,405118,16.40,16.75,16.40,16.60,,0.0,16.50,12,16.65,1,150.91,
卜蜂,1624614,"1,207",75094369,46.00,46.55,45.65,46.35,+,0.25,46.30,6,46.35,30,11.65,
統一,15159581,"6,532",836002148,55.40,55.70,54.70,55.00,-,0.3,55.00,"1,072",55.10,33,21.15,
愛之味,802720,321,5847540,7.21,7.33,7.21,7.27,+,0.05,7.27,49,7.28,4,0.00,
泰山,641781,214,10159783,15.85,15.90,15.80,15.85,-,0.05,15.85,54,15.90,62,16.86,
福壽,911296,42,14147986,15.60,15.65,15.50,15.55,-,0.2,15.50,12,15.55,12,28.27,
台榮,111002,39,1212772,11.00,11.00,10.85,10.95,-,0.05,10.90,9,10.95,8,12.03,
福懋油,37001,20,1651544,44.65,44.80,44.40,44.40,-,0.25,44.40,1,44.50,3,13.18,
佳格,510136,389,38438783,75.20,75.50,75.20,75.40,+,0.2,75.30,4,75.40,27,26.36,
聯華,1344427,619,29576105,21.95,22.15,21.90,22.00,+,0.05,22.00,40,22.05,26,11.52,
聯華食,63626,42,1916390,30.05,30.30,30.05,30.15,+,0.1,30.15,3,30.25,1,10.85,
大統益,116112,84,9756408,84.20,84.20,83.90,83.90,-,0.3,83.90,26,84.00,53,15.74,
天仁,15150,16,553605,36.60,36.60,36.50,36.60,,0.0,36.60,9,36.70,1,16.94,
黑松,36367,38,1175750,32.50,32.50,32.25,32.30,-,0.1,32.30,33,32.35,5,12.33,
興泰,37680,25,1114962,29.60,29.70,29.50,29.70,,0.0,29.70,6,29.75,11,6.01,
宏亞,14003,8,257354,18.40,18.40,18.35,18.40,,0.0,18.35,1,18.50,8,38.33,
鮮活果汁-KY,15002,12,1824242,122.00,122.00,121.00,121.00,-,1.0,120.50,2,122.00,2,15.14,
綠悅-KY,417755,366,61630617,148.50,148.50,146.50,147.50,-,2.0,147.50,6,148.00,8,12.89,
台塑,6406292,"3,339",574024265,88.90,90.00,88.60,89.90,+,1.1,89.80,54,89.90,203,17.26,
南亞,3779897,"2,017",252678435,67.40,67.40,66.30,66.70,-,0.3,66.60,154,66.70,49,19.33,
