Date,Open,High,Low,Close,Adj Close,Volume
1997-07-01,725.028992,732.515991,724.994995,731.6190190000001,731.59729,0.0
1997-07-02,731.7529910000001,734.018005,727.4520259999999,730.155029,730.133362,0.0
1997-07-03,730.481995,735.492004,729.562988,735.492004,735.470154,0.0
1997-07-04,735.825012,736.596985,733.885986,736.596985,736.5751339999999,0.0
1997-07-07,736.617981,739.8330080000001,735.773987,738.0059809999999,737.98407,0.0
1997-07-08,738.020996,741.544006,737.833984,740.8330080000001,740.810974,0.0
1997-07-09,740.942017,742.953979,737.064026,738.138,738.116089,0.0
1997-07-10,738.166016,738.401978,724.2529910000001,729.151001,729.129395,0.0
1997-07-11,729.437988,729.515991,721.330994,723.416016,723.3945309999999,0.0
1997-07-14,723.690979,725.2020259999999,719.523987,722.4979860000001,722.476501,0.0
1997-07-15,722.6740110000001,725.117981,720.103027,722.208984,722.1875610000001,0.0
1997-07-16,723.679016,725.234009,721.2020259999999,723.5029910000001,723.481506,0.0
1997-07-17,,,,,,
1997-07-18,723.5469969999999,726.489014,720.932007,724.0,723.978516,0.0
1997-07-21,724.392029,724.669983,710.612976,712.401978,712.380798,0.0
1997-07-22,712.6740110000001,713.836975,710.145996,711.440979,711.4198610000001,0.0
1997-07-23,711.768005,718.189026,711.768005,718.189026,718.167725,0.0
1997-07-24,718.539978,720.5759889999999,709.817993,712.046021,712.024841,0.0
1997-07-25,712.046021,712.271973,707.4169919999999,710.057983,710.036926,0.0
1997-07-28,710.4990230000001,712.304993,709.315979,710.81897,710.797913,0.0
1997-07-29,710.81897,716.35498,710.81897,716.35498,716.333679,0.0
1997-07-30,716.43103,721.979004,716.3229980000001,721.979004,721.957581,0.0
1997-07-31,722.344971,724.2509769999999,717.0,721.27002,721.248596,0.0
1997-08-01,721.4970089999999,722.223022,719.060974,721.771973,721.750549,0.0
1997-08-04,721.2459719999999,721.901001,717.3599849999999,718.708984,718.6876219999999,0.0
1997-08-05,718.7990110000001,719.93103,711.2470089999999,713.880005,713.858826,0.0
1997-08-06,713.979004,714.0469969999999,695.7540280000001,699.856018,699.835266,0.0
1997-08-07,699.856018,699.856018,673.7189940000001,677.838989,677.818909,0.0
1997-08-08,677.939026,684.132996,671.7470089999999,675.435974,675.4158940000001,0.0
1997-08-11,675.435974,675.435974,636.387024,658.169983,658.150452,0.0
1997-08-12,658.6220089999999,667.8259889999999,647.176025,662.947021,662.927368,0.0
1997-08-13,662.3380129999999,663.546021,654.1900019999999,658.604004,658.584473,0.0
1997-08-14,658.604004,660.538025,638.616028,643.010986,642.991882,0.0
1997-08-15,641.90802,641.90802,611.6240230000001,617.705994,617.6876219999999,0.0
1997-08-18,617.705994,617.705994,565.778992,599.635986,599.618164,0.0
1997-08-19,598.89801,612.2080080000001,585.586975,590.530029,590.512512,0.0
1997-08-20,590.151978,595.8380129999999,589.224976,593.171021,593.153442,0.0
1997-08-21,594.812988,610.309021,594.812988,603.0599980000001,603.042114,0.0
1997-08-22,602.81897,602.81897,570.1220089999999,574.39502,574.3779910000001,0.0
1997-08-25,572.4119870000001,572.4119870000001,532.721985,540.929016,540.912964,0.0
1997-08-26,540.419006,556.724976,517.39502,554.237976,554.221497,0.0
1997-08-27,554.237976,561.2470089999999,551.981018,555.461975,555.445496,0.0
1997-08-28,554.692017,554.692017,528.4060059999999,530.366028,530.350281,0.0
1997-08-29,529.073975,529.073975,491.910004,493.962006,493.947357,0.0
1997-09-01,493.59899900000005,499.73001100000005,484.02200300000004,485.96899400000007,485.95455899999996,0.0
1997-09-02,486.52600099999995,489.950012,475.471008,479.014008,478.99978600000003,0.0
1997-09-03,485.27600099999995,513.366028,485.27600099999995,512.388,512.372803,0.0
1997-09-04,518.396973,533.869995,518.396973,533.869995,533.854126,0.0
1997-09-05,540.310974,594.112976,540.310974,594.112976,594.095398,0.0
1997-09-08,598.5319820000001,614.866028,589.984009,600.310974,600.293152,0.0
1997-09-09,606.395996,615.133972,593.112976,598.0040280000001,597.986267,0.0
1997-09-10,597.7919919999999,598.596008,572.757996,575.015991,574.998962,0.0
1997-09-11,574.2180179999999,574.2180179999999,554.2069700000001,556.135986,556.119507,0.0
1997-09-12,555.307007,555.307007,544.138977,546.637024,546.62085,0.0
1997-09-15,547.632996,554.8690190000001,547.205017,550.760986,550.744629,0.0
1997-09-16,551.052979,554.2919919999999,533.278992,534.828979,534.8131099999999,0.0
1997-09-17,534.4970089999999,535.612,524.346985,526.737,526.721375,0.0
1997-09-18,526.3259889999999,526.3259889999999,518.939026,524.271973,524.256409,0.0
1997-09-19,524.271973,531.513,524.271973,531.078979,531.0632320000001,0.0
1997-09-22,531.078979,539.107971,530.585999,535.601013,535.585144,0.0
1997-09-23,536.142029,539.823975,534.937988,539.482971,539.4669190000001,0.0
1997-09-24,539.482971,556.3259889999999,539.482971,553.645996,553.629578,0.0
1997-09-25,555.27301,560.96698,554.914978,559.219971,559.2033690000001,0.0
1997-09-26,558.786011,558.786011,548.044983,549.919983,549.903687,0.0
1997-09-29,549.945007,549.945007,542.59198,546.237976,546.2218019999999,0.0
1997-09-30,547.396973,553.403015,543.6569820000001,546.687988,546.6718139999999,0.0
1997-10-01,546.219971,546.219971,535.223022,536.986023,536.970093,0.0
1997-10-02,536.986023,536.986023,530.734009,536.9240110000001,536.9080809999999,0.0
1997-10-03,535.492004,535.492004,506.747986,515.47699,515.46167,0.0
1997-10-06,515.192993,515.913025,492.471008,512.893005,512.877808,0.0
1997-10-07,514.185974,523.893982,512.1669919999999,513.948975,513.933716,0.0
1997-10-08,515.200012,518.9400019999999,511.25,518.9400019999999,518.924622,0.0
1997-10-09,520.9229740000001,526.5780030000001,520.312012,521.112,521.096558,0.0
1997-10-10,522.525024,534.7520139999999,522.525024,534.7520139999999,534.736145,0.0
1997-10-13,533.937988,535.851013,528.7069700000001,534.8259889999999,534.81012,0.0
1997-10-14,534.98999,536.539978,524.94397,528.919006,528.9032589999999,0.0
1997-10-15,529.099976,529.382019,515.4630129999999,518.914978,518.899597,0.0
1997-10-16,518.109009,518.109009,511.828003,517.091003,517.075684,0.0
1997-10-17,517.091003,522.143982,514.0020139999999,520.6849980000001,520.669556,0.0
1997-10-20,520.6849980000001,520.6849980000001,510.378998,514.171021,514.155762,0.0
1997-10-21,514.606995,518.8280030000001,512.346985,514.9680179999999,514.952698,0.0
1997-10-22,514.809021,514.809021,503.47399900000005,505.23300199999994,505.218018,0.0
1997-10-23,505.23300199999994,505.23300199999994,490.73901399999994,494.13699299999996,494.122345,0.0
1997-10-24,493.98901399999994,493.98901399999994,486.76800499999996,490.39700300000004,490.382446,0.0
1997-10-27,490.54400599999997,493.93701200000004,487.626007,490.119995,490.105438,0.0
1997-10-28,487.93899500000003,487.93899500000003,444.300995,447.996002,447.982697,0.0
1997-10-29,453.798004,472.59899900000005,453.798004,472.050995,472.036987,0.0
1997-10-30,472.125,502.871002,467.33099400000003,502.871002,502.856079,0.0
1997-10-31,502.69100999999995,511.665009,488.722992,500.417999,500.403137,0.0
1997-11-03,500.800995,514.716003,498.23999000000003,501.71398899999997,501.699097,0.0
1997-11-04,502.674988,506.03299000000004,492.57901,494.84899900000005,494.83429,0.0
