Date,Open,High,Low,Close,Adj Close,Volume
1987-09-10,167.440002,168.979996,167.440002,168.970001,168.970001,1798000
1987-09-11,168.970001,170.53999299999998,168.75,170.53999299999998,170.53999299999998,1780000
1987-09-14,170.529999,170.949997,170.149994,170.429993,170.429993,1544000
1987-09-15,170.419998,170.440002,169.130005,169.199997,169.199997,1362000
1987-09-16,169.309998,170.029999,168.820007,168.919998,168.919998,1957000
1987-09-17,168.919998,169.25,168.53999299999998,168.820007,168.820007,1507000
1987-09-18,168.820007,169.03999299999998,168.75,168.75,168.75,1881000
1987-09-21,168.75,169.130005,167.360001,167.399994,167.399994,1701000
1987-09-22,167.399994,167.559998,166.690002,167.559998,167.559998,2095000
1987-09-23,167.559998,168.649994,167.550003,168.649994,168.649994,2203000
1987-09-24,168.649994,169.059998,168.520004,168.720001,168.720001,1622000
1987-09-25,168.720001,168.850006,168.429993,168.850006,168.850006,1380000
1987-09-28,168.83999599999999,169.800003,168.83999599999999,169.520004,169.520004,1881000
1987-09-29,169.520004,169.690002,168.889999,169.059998,169.059998,1735000
1987-09-30,169.050003,170.809998,168.679993,170.809998,170.809998,1831000
1987-10-01,170.820007,171.399994,170.25,171.399994,171.399994,1932000
1987-10-02,171.399994,172.08999599999999,171.399994,172.080002,172.080002,1891000
1987-10-05,172.08999599999999,172.550003,172.08999599999999,172.53999299999998,172.53999299999998,1597000
1987-10-06,172.550003,172.619995,170.130005,170.21000700000002,170.21000700000002,1756000
1987-10-07,170.21000700000002,170.21000700000002,168.479996,168.869995,168.869995,1863000
1987-10-08,168.869995,168.979996,166.779999,167.059998,167.059998,1987000
1987-10-09,167.059998,167.110001,166.009995,166.119995,166.119995,1583000
1987-10-12,166.110001,166.110001,163.389999,163.860001,163.860001,1419000
1987-10-13,163.860001,164.419998,163.630005,164.139999,164.139999,1729000
1987-10-14,164.149994,164.16000400000001,161.58999599999999,161.78999299999998,161.78999299999998,2074000
1987-10-15,161.800003,161.800003,159.600006,159.66000400000001,159.66000400000001,2632000
1987-10-16,159.66000400000001,159.66000400000001,152.610001,152.740005,152.740005,3385000
1987-10-19,152.740005,152.740005,133.600006,133.600006,133.600006,6043000
1987-10-20,133.600006,133.600006,120.209999,121.389999,121.389999,6081000
1987-10-21,121.389999,130.770004,121.389999,130.649994,130.649994,4496000
1987-10-22,130.649994,130.649994,124.470001,124.57,124.57,3922000
1987-10-23,124.58000200000001,124.58000200000001,121.360001,121.589996,121.589996,2456000
1987-10-26,121.58000200000001,121.58000200000001,110.32,110.33000200000001,110.33000200000001,3088000
1987-10-27,110.32,113.120003,108.370003,108.510002,108.510002,2602000
1987-10-28,105.459999,108.5,105.459999,106.08000200000001,106.08000200000001,2794000
1987-10-29,106.07,110.800003,106.059998,110.800003,110.800003,2581000
